Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,1450,1460,1464,1434,"13,31M",-0.006849315068493
18.02.2021,1460,1444,1467,1439,"11,83M",0.011080332409972
17.02.2021,1443,1467,1473,1439,"16,04M",-0.016359918200409
16.02.2021,1465,1500,1501,1464,"15,37M",-0.023333333333333
15.02.2021,1495,1530,1536,1495,"21,87M",-0.022875816993464
12.02.2021,1512,1477,1513,1472,"15,27M",0.023696682464455
11.02.2021,1470,1473,1492,1469,"11,61M",-0.0020366598778
10.02.2021,1464,1466,1482,1458,"15,39M",-0.001364256480218
09.02.2021,1452,1488,1492,1452,"15,39M",-0.024193548387097
08.02.2021,1485,1478,1516,1476,"24,72M",0.004736129905277
05.02.2021,1462,1434,1467,1427,"20,09M",0.01952580195258
04.02.2021,1426,1423,1433,1396,"18,41M",0.002108222066058
03.02.2021,1426,1370,1436,1370,"33,52M",0.040875912408759
02.02.2021,1355,1348,1360,1343,"9,54M",0.005192878338279
01.02.2021,1344,1350,1357,1332,"8,38M",-0.004444444444444
29.01.2021,1340,1352,1371,1340,"15,07M",-0.00887573964497
28.01.2021,1366,1350,1375,1331,"14,28M",0.011851851851852
27.01.2021,1355,1367,1379,1342,"14,02M",-0.008778346744696
26.01.2021,1362,1340,1363,1339,"11,13M",0.016417910447761
25.01.2021,1342,1360,1363,1327,"14,92M",-0.013235294117647
22.01.2021,1347,1377,1379,1344,"18,73M",-0.021786492374728
21.01.2021,1380,1389,1395,1372,"30,89M",-0.006479481641469
20.01.2021,1372,1360,1388,1344,"40,96M",0.008823529411765
19.01.2021,1326,1327,1342,1321,"12,02M",-0.000753579502638
18.01.2021,1327,1307,1327,1303,"9,53M",0.015302218821729
15.01.2021,1313,1329,1331,1304,"11,94M",-0.012039127163281
14.01.2021,1328,1338,1356,1326,"12,74M",-0.007473841554559
13.01.2021,1335,1305,1335,1298,"13,27M",0.022988505747127
12.01.2021,1305,1332,1339,1301,"13,11M",-0.02027027027027
11.01.2021,1332,1337,1344,1311,"10,72M",-0.003739715781601
08.01.2021,1337,1351,1355,1331,"10,99M",-0.010362694300518
07.01.2021,1340,1345,1355,1333,"14,21M",-0.003717472118959
06.01.2021,1340,1321,1344,1314,"12,04M",0.01438304314913
05.01.2021,1317,1328,1333,1311,"10,96M",-0.00828313253012
04.01.2021,1331,1314,1331,1304,"15,93M",0.012937595129376
30.12.2020,1304,1310,1316,1299,"8,25M",-0.004580152671756
29.12.2020,1307,1298,1309,1293,"12,03M",0.00693374422188
28.12.2020,1295,1278,1295,1273,"9,71M",0.013302034428795
23.12.2020,1267,1255,1267,1251,"5,13M",0.009561752988048
22.12.2020,1250,1231,1250,1230,"6,99M",0.015434606011373
21.12.2020,1229,1243,1247,1212,"14,26M",-0.011263073209976
18.12.2020,1264,1278,1281,1258,"14,76M",-0.010954616588419
17.12.2020,1281,1258,1283,1253,"14,19M",0.018282988871224
16.12.2020,1255,1262,1273,1255,"11,51M",-0.00554675118859
15.12.2020,1251,1284,1284,1251,"15,41M",-0.025700934579439
14.12.2020,1283,1278,1294,1275,"8,15M",0.003912363067293
11.12.2020,1268,1266,1274,1255,"7,10M",0.001579778830964
10.12.2020,1267,1276,1285,1263,"8,98M",-0.00705329153605
09.12.2020,1271,1272,1281,1261,"7,50M",-0.000786163522013
08.12.2020,1263,1276,1278,1250,"7,87M",-0.010188087774295
07.12.2020,1275,1289,1293,1268,"9,30M",-0.010861132660978
04.12.2020,1283,1259,1288,1255,"12,55M",0.019062748212867
03.12.2020,1257,1260,1265,1243,"10,07M",-0.002380952380952
02.12.2020,1255,1260,1270,1246,"11,73M",-0.003968253968254
01.12.2020,1264,1288,1290,1263,"11,13M",-0.018633540372671
30.11.2020,1278,1315,1315,1278,"14,25M",-0.028136882129278
27.11.2020,1315,1310,1332,1299,"16,38M",0.00381679389313
26.11.2020,1309,1257,1314,1257,"23,82M",0.041368337311058
25.11.2020,1256,1239,1265,1237,"16,75M",0.013720742534302
24.11.2020,1235,1237,1240,1228,"14,03M",-0.001616814874697
23.11.2020,1227,1236,1242,1227,"9,38M",-0.007281553398058
20.11.2020,1225,1224,1232,1221,"8,03M",0.000816993464052
19.11.2020,1225,1219,1242,1214,"10,28M",0.004922067268253
18.11.2020,1219,1221,1232,1215,"10,60M",-0.001638001638002
17.11.2020,1222,1234,1238,1214,"11,66M",-0.009724473257699
16.11.2020,1234,1235,1249,1228,"13,75M",-0.00080971659919
13.11.2020,1225,1211,1230,1211,"10,10M",0.011560693641619
12.11.2020,1218,1211,1235,1207,"11,61M",0.005780346820809
11.11.2020,1229,1219,1229,1195,"12,67M",0.008203445447088
10.11.2020,1209,1213,1219,1194,"14,81M",-0.003297609233306
09.11.2020,1213,1153,1223,1145,"21,18M",0.0520381613183
06.11.2020,1134,1143,1157,1132,"6,10M",-0.007874015748032
05.11.2020,1148,1161,1167,1148,"12,65M",-0.011197243755383
04.11.2020,1156,1107,1162,1100,"13,37M",0.044263775971093
03.11.2020,1122,1114,1127,1109,"8,32M",0.007181328545781
02.11.2020,1107,1094,1107,1086,"8,06M",0.011882998171847
30.10.2020,1092,1059,1092,1054,"7,72M",0.031161473087819
29.10.2020,1068,1082,1089,1048,"13,73M",-0.012939001848429
28.10.2020,1082,1112,1122,1077,"15,52M",-0.026978417266187
27.10.2020,1130,1144,1145,1125,"7,78M",-0.012237762237762
26.10.2020,1140,1140,1150,1136,"6,35M",0
