Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,34940,35200,35390,34800,"526,22K",-0.007386363636364
18.02.2021,35500,35900,36200,35380,"424,02K",-0.011142061281337
17.02.2021,35870,36970,36970,35810,"365,57K",-0.029753854476603
16.02.2021,37000,37230,37500,36940,"287,92K",-0.00617781359119
15.02.2021,37230,37520,37810,37200,"352,45K",-0.00772921108742
12.02.2021,37490,36500,37510,36500,"450,98K",0.027123287671233
11.02.2021,36650,36480,36950,36480,"299,27K",0.004660087719298
10.02.2021,36530,36640,36660,36080,"571,22K",-0.003002183406114
09.02.2021,36590,36010,36730,35550,"602,93K",0.016106637045265
08.02.2021,36110,36330,36520,35690,"484,32K",-0.006055601431324
05.02.2021,36230,35600,36370,35450,"632,56K",0.017696629213483
04.02.2021,35390,34250,35680,34250,"524,04K",0.033284671532847
03.02.2021,34600,34590,34850,34300,"624,78K",0.000289100896213
02.02.2021,34160,33590,34210,33360,"430,18K",0.016969336111938
01.02.2021,33430,32900,33770,32870,"446,37K",0.016109422492401
29.01.2021,32730,33060,33520,32620,"652,95K",-0.009981851179673
28.01.2021,33850,33600,33870,32230,"785,69K",0.007440476190476
27.01.2021,34100,33360,34210,33210,"539,77K",0.022182254196643
26.01.2021,33550,33100,33920,32900,"433,38K",0.013595166163142
25.01.2021,33190,33840,33920,33160,"329,79K",-0.019208037825059
22.01.2021,33580,33710,33910,33230,"327,43K",-0.00385642242658
21.01.2021,33880,34200,34470,33840,"387,05K",-0.009356725146199
20.01.2021,34120,34210,34420,33370,"705,84K",-0.002630809704765
19.01.2021,34350,34240,34380,34000,"418,46K",0.00321261682243
18.01.2021,34190,33800,34460,33600,"327,78K",0.011538461538462
15.01.2021,34000,34060,34150,33600,"572,58K",-0.001761597181445
14.01.2021,34160,33900,34330,33560,"465,86K",0.007669616519174
13.01.2021,33910,33490,33910,33270,"472,72K",0.01254105703195
12.01.2021,33620,33550,33890,33280,"438,00K",0.002086438152012
11.01.2021,33680,33660,34400,33400,"596,82K",0.000594177064765
08.01.2021,33840,32790,33840,32770,"591,21K",0.032021957913998
07.01.2021,32680,33110,33240,32660,"429,19K",-0.012987012987013
06.01.2021,33020,33750,33750,32820,"533,61K",-0.02162962962963
05.01.2021,33560,33800,34060,33380,"379,99K",-0.007100591715976
04.01.2021,33940,34230,34550,33830,"390,61K",-0.00847210049664
30.12.2020,34040,33780,34160,33600,"337,02K",0.007696862048549
29.12.2020,33800,33650,33870,33370,"282,30K",0.00445765230312
28.12.2020,33500,33500,33570,33270,"291,45K",0
23.12.2020,33240,34180,34290,33120,"506,49K",-0.027501462843768
22.12.2020,33730,33450,33730,33280,"416,41K",0.008370702541106
21.12.2020,33190,33570,33660,32530,"518,84K",-0.01131963062258
18.12.2020,33950,33320,34080,33320,"683,06K",0.01890756302521
17.12.2020,33450,33760,34010,33410,"368,70K",-0.009182464454976
16.12.2020,33670,32910,33750,32840,"612,09K",0.023093284715892
15.12.2020,32840,33400,33550,32720,"550,64K",-0.016766467065868
14.12.2020,33610,33220,33720,32920,"541,41K",0.011739915713426
11.12.2020,33110,32550,33200,32510,"453,97K",0.017204301075269
10.12.2020,32550,32330,32700,32070,"493,35K",0.006804825239715
09.12.2020,32330,32760,32790,31890,"480,76K",-0.013125763125763
08.12.2020,32600,32330,32670,32240,"418,72K",0.00835137643056
07.12.2020,32480,32340,32750,32300,"548,24K",0.004329004329004
04.12.2020,32340,32300,32510,31980,"535,62K",0.001238390092879
03.12.2020,32380,32630,32850,32210,"668,76K",-0.007661661048115
02.12.2020,32730,32380,33040,32170,"774,60K",0.010809141445337
01.12.2020,32380,33570,33790,32360,"1,19M",-0.035448316949658
30.11.2020,33570,34240,35130,33570,"9,36M",-0.019567757009346
27.11.2020,34280,33500,34280,33500,"1,02M",0.023283582089552
26.11.2020,33480,33290,33680,33040,"645,68K",0.005707419645539
25.11.2020,33100,33180,33660,33050,"1,05M",-0.002411091018686
24.11.2020,33000,34520,34590,32870,"1,28M",-0.044032444959444
23.11.2020,34400,34210,34570,33840,"894,85K",0.005553931598948
20.11.2020,34210,34080,34650,34000,"854,14K",0.00381455399061
19.11.2020,34200,35300,35550,34040,"1,46M",-0.031161473087819
18.11.2020,35530,35500,35910,35280,"738,56K",0.000845070422535
17.11.2020,35410,36000,36250,35410,"760,99K",-0.016388888888889
16.11.2020,36070,35250,36350,34870,"941,62K",0.023262411347518
13.11.2020,35010,35560,35750,34560,"901,98K",-0.015466816647919
12.11.2020,35740,34660,36060,34510,"985,66K",0.031159838430467
11.11.2020,35140,35130,35720,34980,"860,24K",0.000284656988329
10.11.2020,34900,34000,35090,33300,"1,13M",0.026470588235294
09.11.2020,34000,35400,36540,33510,"1,81M",-0.03954802259887
06.11.2020,34880,35110,35330,34290,"662,22K",-0.006550840216463
05.11.2020,35240,34610,35460,34560,"915,25K",0.018202831551575
04.11.2020,34450,33410,34590,33260,"1,00M",0.031128404669261
03.11.2020,33500,32650,33720,32480,"1,00M",0.026033690658499
02.11.2020,32360,31390,32560,31210,"942,03K",0.03090156100669
30.10.2020,31210,30540,31290,30300,"830,54K",0.021938441388343
29.10.2020,30590,30190,31230,29900,"1,16M",0.01324942033786
28.10.2020,30080,31050,32030,28960,"1,75M",-0.031239935587762
27.10.2020,32000,32110,32140,31670,"608,06K",-0.003425724073497
26.10.2020,31920,32020,32460,31920,"457,64K",-0.003123048094941
23.10.2020,32270,32000,32480,31880,"624,76K",0.0084375
22.10.2020,32130,32000,32390,31850,"591,78K",0.0040625
21.10.2020,32170,32390,32470,32040,"578,61K",-0.006792219820932
20.10.2020,32390,32210,32750,32150,"799,57K",0.005588326606644
19.10.2020,32190,32560,32600,32170,"1,05M",-0.011363636363636
16.10.2020,32380,32220,32670,31820,"693,26K",0.004965859714463
15.10.2020,31980,31820,32370,31510,"630,66K",0.005028284098052
14.10.2020,32200,32160,32630,32070,"524,67K",0.001243781094527
13.10.2020,32200,32330,32500,31980,"562,12K",-0.004021033096195
12.10.2020,32450,32020,32530,31830,"542,48K",0.013429106808245
09.10.2020,31910,31170,31990,31040,"472,87K",0.023740776387552
08.10.2020,31210,31100,31460,31010,"608,18K",0.003536977491961
07.10.2020,30710,30560,30890,30480,"453,15K",0.004908376963351
06.10.2020,30540,31630,31650,30480,"756,66K",-0.034460954789757
05.10.2020,31440,31400,31670,30930,"419,00K",0.001273885350318
02.10.2020,31240,30680,31400,30430,"430,95K",0.018252933507171
01.10.2020,30870,30560,31030,30530,"575,91K",0.010143979057592
30.09.2020,30550,31040,31280,30450,"877,20K",-0.015786082474227
29.09.2020,31380,30610,31440,30440,"947,80K",0.02515517804639
28.09.2020,30770,29380,30810,29380,"1,46M",0.047311095983662
25.09.2020,28990,28610,29010,28210,"680,35K",0.013282069206571
24.09.2020,28770,28360,28880,28350,"578,04K",0.014456981664316
23.09.2020,28900,28990,29150,28500,"489,08K",-0.003104518799586
22.09.2020,28960,29370,29370,28030,"787,85K",-0.013959822948587
21.09.2020,28880,30050,30180,28660,"704,17K",-0.038935108153078
18.09.2020,30050,30120,30420,29980,"758,14K",-0.002324037184595
17.09.2020,30150,30010,30510,29830,"595,09K",0.004665111629457
16.09.2020,30360,29850,30400,29600,"638,63K",0.017085427135678
15.09.2020,29850,29600,30040,29140,"503,70K",0.008445945945946
14.09.2020,29690,29750,29870,29480,"689,55K",-0.002016806722689
11.09.2020,29510,28660,29700,28650,"619,11K",0.029658060013957
10.09.2020,28740,28610,28840,28350,"465,25K",0.004543865781195
09.09.2020,28680,28500,28860,27990,"566,69K",0.006315789473684
08.09.2020,28500,28800,28880,27880,"660,96K",-0.010416666666667
07.09.2020,28800,28200,28870,28000,"500,82K",0.021276595744681
04.09.2020,28020,28370,29450,27800,"981,61K",-0.012336975678534
03.09.2020,27930,28960,29170,27900,"593,00K",-0.035566298342542
02.09.2020,28900,27810,29180,27810,"730,60K",0.039194534340165
01.09.2020,27710,28050,28190,27550,"529,72K",-0.012121212121212
31.08.2020,27920,27590,27980,27500,"381,52K",0.011960855382385
28.08.2020,27500,27910,27910,27350,"269,96K",-0.014690075241849
27.08.2020,27790,27620,28030,27530,"513,53K",0.006154960173787
26.08.2020,27700,27800,27980,27570,"330,84K",-0.003597122302158
25.08.2020,27920,27800,27980,27450,"662,32K",0.00431654676259
24.08.2020,27700,27990,28220,27660,"346,85K",-0.010360843158271
21.08.2020,27750,28020,28120,27440,"339,04K",-0.009635974304069
20.08.2020,27970,28000,28250,27900,"294,85K",-0.001071428571429
