Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,1861,1799,1873,1775,"18,32M",0.034463590883824
18.02.2021,1790,1821,1855,1781,"17,48M",-0.017023613399231
17.02.2021,1821,1847,1875,1818,"14,23M",-0.014076881429345
16.02.2021,1855,1889,1890,1835,"18,14M",-0.017998941238751
15.02.2021,1883,1905,1908,1871,"16,78M",-0.011548556430446
12.02.2021,1862,1865,1879,1814,"20,60M",-0.001608579088472
11.02.2021,1865,1908,1919,1865,"14,44M",-0.022536687631027
10.02.2021,1900,1898,1930,1882,"27,29M",0.001053740779768
09.02.2021,1870,1946,1970,1863,"36,51M",-0.039054470709147
08.02.2021,1910,1840,1914,1829,"46,41M",0.03804347826087
05.02.2021,1778,1709,1806,1704,"47,68M",0.040374488004681
04.02.2021,1698,1635,1700,1602,"35,29M",0.038532110091743
03.02.2021,1630,1673,1674,1592,"29,60M",-0.025702331141662
02.02.2021,1544,1543,1556,1522,"13,98M",0.000648088139987
01.02.2021,1533,1538,1559,1526,"10,64M",-0.003250975292588
29.01.2021,1520,1533,1539,1481,"25,73M",-0.008480104370515
28.01.2021,1559,1516,1561,1500,"14,36M",0.028364116094987
27.01.2021,1524,1579,1592,1522,"15,22M",-0.034832172260925
26.01.2021,1571,1526,1585,1510,"10,36M",0.029488859764089
25.01.2021,1528,1584,1599,1526,"13,03M",-0.035353535353535
22.01.2021,1576,1618,1620,1564,"13,53M",-0.025957972805933
21.01.2021,1620,1662,1665,1618,"13,62M",-0.025270758122744
20.01.2021,1649,1635,1663,1632,"12,66M",0.008562691131498
19.01.2021,1621,1654,1656,1615,"11,71M",-0.019951632406288
18.01.2021,1645,1594,1648,1584,"10,47M",0.031994981179423
15.01.2021,1609,1618,1639,1579,"15,03M",-0.005562422744129
14.01.2021,1620,1631,1663,1619,"16,27M",-0.006744328632741
13.01.2021,1645,1668,1668,1625,"16,47M",-0.01378896882494
12.01.2021,1666,1674,1687,1656,"15,62M",-0.004778972520908
11.01.2021,1663,1626,1669,1617,"21,41M",0.022755227552276
08.01.2021,1630,1680,1702,1617,"27,35M",-0.029761904761905
07.01.2021,1648,1560,1666,1541,"36,65M",0.056410256410257
06.01.2021,1553,1490,1555,1475,"30,37M",0.042281879194631
05.01.2021,1474,1451,1492,1451,"13,07M",0.015851137146795
04.01.2021,1462,1497,1501,1448,"14,07M",-0.023380093520374
30.12.2020,1485,1497,1503,1485,"7,56M",-0.008016032064128
29.12.2020,1490,1503,1508,1482,"9,23M",-0.008649367930805
28.12.2020,1500,1500,1523,1492,"13,80M",0
23.12.2020,1480,1434,1480,1428,"13,49M",0.03207810320781
22.12.2020,1425,1406,1432,1401,"9,61M",0.013513513513514
21.12.2020,1393,1406,1426,1370,"20,10M",-0.009246088193457
18.12.2020,1452,1452,1483,1449,"13,20M",0
17.12.2020,1467,1469,1472,1449,"9,23M",-0.001361470388019
16.12.2020,1457,1476,1485,1453,"13,49M",-0.012872628726287
15.12.2020,1477,1464,1480,1451,"9,50M",0.008879781420765
14.12.2020,1464,1480,1497,1464,"13,95M",-0.010810810810811
11.12.2020,1467,1520,1520,1462,"19,20M",-0.034868421052632
10.12.2020,1517,1529,1542,1470,"32,46M",-0.007848266841073
09.12.2020,1511,1510,1550,1502,"32,57M",0.000662251655629
08.12.2020,1474,1461,1480,1452,"8,61M",0.008898015058179
07.12.2020,1464,1470,1480,1444,"11,22M",-0.004081632653061
04.12.2020,1472,1483,1504,1459,"17,17M",-0.007417397167903
03.12.2020,1484,1464,1492,1451,"12,45M",0.013661202185792
02.12.2020,1470,1480,1486,1414,"25,10M",-0.006756756756757
01.12.2020,1486,1475,1513,1467,"17,52M",0.007457627118644
30.11.2020,1465,1498,1503,1461,"23,90M",-0.022029372496662
27.11.2020,1511,1477,1532,1474,"19,56M",0.023019634394042
26.11.2020,1485,1525,1528,1485,"17,79M",-0.026229508196721
25.11.2020,1525,1525,1538,1480,"28,09M",0
24.11.2020,1520,1540,1558,1471,"47,62M",-0.012987012987013
23.11.2020,1516,1544,1574,1495,"59,43M",-0.018134715025907
20.11.2020,1485,1450,1493,1433,"51,11M",0.024137931034483
19.11.2020,1426,1405,1446,1387,"38,19M",0.014946619217082
18.11.2020,1416,1326,1426,1316,"41,76M",0.067873303167421
17.11.2020,1335,1336,1357,1295,"37,74M",-0.000748502994012
16.11.2020,1319,1257,1339,1254,"40,82M",0.049323786793954
13.11.2020,1239,1186,1245,1181,"22,03M",0.04468802698145
12.11.2020,1194,1190,1222,1172,"17,70M",0.003361344537815
11.11.2020,1204,1199,1219,1165,"24,13M",0.004170141784821
10.11.2020,1186,1196,1250,1156,"41,53M",-0.008361204013378
09.11.2020,1196,1072,1196,1060,"54,10M",0.115671641791045
06.11.2020,1048,1084,1102,1045,"20,11M",-0.033210332103321
05.11.2020,1083,1146,1146,1081,"23,68M",-0.054973821989529
04.11.2020,1107,1055,1107,1041,"20,60M",0.049289099526066
03.11.2020,1082,1073,1117,1059,"22,26M",0.00838769804287
02.11.2020,1055,1018,1055,1002,"19,70M",0.036345776031434
30.10.2020,1017,1010,1036,1005,"15,91M",0.006930693069307
