Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,12265,11785,12400,11785,"6,07M",0.040729741196436
18.02.2021,11775,12000,12085,11740,"3,56M",-0.01875
17.02.2021,11940,12160,12215,11900,"3,48M",-0.018092105263158
16.02.2021,12200,12125,12360,12065,"2,60M",0.006185567010309
15.02.2021,12125,12290,12380,12125,"1,93M",-0.013425549227014
12.02.2021,12120,11920,12160,11815,"2,47M",0.016778523489933
11.02.2021,11980,11890,12065,11845,"2,74M",0.007569386038688
10.02.2021,11880,11920,11975,11790,"3,18M",-0.003355704697987
09.02.2021,11855,11885,11980,11745,"4,20M",-0.002524190155658
08.02.2021,11890,11850,12015,11745,"4,35M",0.00337552742616
05.02.2021,11825,11990,12085,11790,"5,40M",-0.013761467889908
04.02.2021,11860,11500,11960,11425,"6,55M",0.031304347826087
03.02.2021,11570,11695,11755,11315,"7,21M",-0.010688328345447
02.02.2021,11275,10900,11345,10855,"5,61M",0.034403669724771
01.02.2021,10705,10650,10715,10490,"3,06M",0.005164319248826
29.01.2021,10555,10450,10725,10380,"3,38M",0.010047846889952
28.01.2021,10695,10355,10735,10140,"3,39M",0.032834379526799
27.01.2021,10500,10610,10770,10355,"6,23M",-0.010367577756833
26.01.2021,10675,10650,10835,10610,"4,01M",0.002347417840376
25.01.2021,10655,11320,11360,10585,"3,16M",-0.058745583038869
22.01.2021,11200,11210,11255,11050,"3,36M",-0.000892060660125
21.01.2021,11260,11400,11540,11210,"4,44M",-0.012280701754386
20.01.2021,11310,11325,11395,11210,"2,32M",-0.001324503311258
19.01.2021,11240,11210,11350,11100,"3,00M",0.002676181980375
18.01.2021,11125,10975,11205,10915,"1,97M",0.013667425968109
15.01.2021,11020,11230,11380,10925,"2,95M",-0.018699910952805
14.01.2021,11255,11225,11350,11125,"2,96M",0.002672605790646
13.01.2021,11160,11130,11265,11085,"2,38M",0.002695417789757
12.01.2021,11150,11100,11205,11005,"2,34M",0.004504504504505
11.01.2021,11040,10920,11050,10875,"2,64M",0.010989010989011
08.01.2021,11030,11290,11300,10990,"3,90M",-0.023029229406555
07.01.2021,11015,11050,11140,10770,"5,00M",-0.00316742081448
06.01.2021,10995,10380,11085,10345,"7,27M",0.059248554913295
05.01.2021,10310,10200,10350,10140,"2,78M",0.01078431372549
04.01.2021,10280,10490,10500,10240,"4,43M",-0.020019065776931
30.12.2020,10325,10495,10545,10325,"5,42M",-0.016198189614102
29.12.2020,10435,10580,10610,10315,"2,92M",-0.013705103969754
28.12.2020,10530,10500,10585,10310,"2,97M",0.002857142857143
23.12.2020,10365,10140,10410,10105,"6,39M",0.022189349112426
22.12.2020,10035,9952,10035,9894,"4,18M",0.008340032154341
21.12.2020,9884,9540,9934,9456,"6,54M",0.036058700209644
18.12.2020,9776,9326,9808,9318,"6,57M",0.048252198155694
17.12.2020,9414,9410,9464,9346,"2,78M",0.000425079702444
16.12.2020,9358,9450,9508,9304,"3,40M",-0.00973544973545
15.12.2020,9416,9170,9430,9116,"4,67M",0.026826608505998
14.12.2020,9128,9054,9198,9022,"3,60M",0.008173183123481
11.12.2020,8988,8980,9060,8908,"2,09M",0.000890868596882
10.12.2020,8994,9180,9224,8882,"3,22M",-0.020261437908497
09.12.2020,9066,9172,9206,9056,"3,18M",-0.01155691234191
08.12.2020,9150,9102,9222,8980,"3,31M",0.005273566249176
07.12.2020,9156,9348,9370,9154,"3,02M",-0.020539152759949
04.12.2020,9400,9138,9400,9138,"3,81M",0.028671481724666
03.12.2020,9178,9136,9242,9128,"3,63M",0.004597197898424
02.12.2020,9130,9160,9202,9032,"2,92M",-0.003275109170306
01.12.2020,9270,9258,9322,9132,"3,53M",0.001296176279974
30.11.2020,9168,9172,9358,9168,"7,54M",-0.000436109899695
27.11.2020,9194,9092,9320,9092,"6,05M",0.011218653761549
26.11.2020,9240,9398,9398,9236,"2,51M",-0.016812087678229
25.11.2020,9392,9472,9540,9168,"7,98M",-0.008445945945946
24.11.2020,9472,9120,9476,9120,"5,97M",0.03859649122807
23.11.2020,9060,8988,9096,8896,"4,31M",0.008010680907877
20.11.2020,8890,8874,8972,8816,"4,30M",0.001803020058598
19.11.2020,8890,8962,9018,8886,"3,75M",-0.008033920999777
18.11.2020,9040,8900,9100,8806,"7,71M",0.015730337078652
17.11.2020,8736,8788,8870,8706,"4,45M",-0.005917159763314
16.11.2020,8814,8602,8866,8508,"6,33M",0.024645431295048
13.11.2020,8532,8118,8560,8102,"5,02M",0.0509977827051
12.11.2020,8174,8170,8388,8128,"3,35M",0.000489596083231
11.11.2020,8308,8110,8400,7962,"6,18M",0.024414303329223
10.11.2020,8086,8204,8450,7968,"9,01M",-0.014383227693808
09.11.2020,8214,8042,8368,7920,"8,56M",0.021387714498881
06.11.2020,7870,7702,7966,7684,"6,33M",0.021812516229551
05.11.2020,7724,7450,7798,7404,"6,00M",0.036778523489933
04.11.2020,7360,7188,7490,7072,"4,72M",0.02392877017251
03.11.2020,7234,7000,7252,6998,"4,95M",0.033428571428572
02.11.2020,6900,6702,6930,6610,"3,09M",0.029543419874664
30.10.2020,6660,6500,6686,6240,"3,10M",0.024615384615385
29.10.2020,6622,6674,6718,6512,"3,42M",-0.00779142942763
28.10.2020,6624,6720,6778,6570,"4,71M",-0.014285714285714
27.10.2020,6880,7110,7110,6850,"3,01M",-0.032348804500703
26.10.2020,7068,7050,7206,7050,"2,46M",0.002553191489362
23.10.2020,7268,7120,7288,7120,"4,29M",0.020786516853933
22.10.2020,7136,7134,7240,7070,"3,95M",0.000280347631063
21.10.2020,7170,7288,7288,7136,"4,00M",-0.016190998902305
20.10.2020,7288,7200,7340,7200,"2,25M",0.012222222222222
19.10.2020,7286,7350,7402,7174,"2,52M",-0.008707482993197
16.10.2020,7334,7154,7370,7112,"4,01M",0.025160749231199
15.10.2020,7062,7112,7112,6898,"3,80M",-0.0070303712036
14.10.2020,7218,7156,7272,7120,"2,88M",0.008664058133035
13.10.2020,7180,7180,7198,7072,"4,23M",0
12.10.2020,7082,7122,7142,7050,"2,54M",-0.005616399887672
09.10.2020,7148,7050,7224,6974,"4,55M",0.013900709219858
08.10.2020,6968,6980,7000,6896,"2,97M",-0.001719197707736
07.10.2020,6976,6866,6978,6828,"2,71M",0.016020972909991
06.10.2020,6904,6860,6920,6756,"2,74M",0.006413994169096
05.10.2020,6800,6700,6860,6676,"4,41M",0.014925373134328
02.10.2020,6590,6536,6596,6394,"3,13M",0.008261933904529
01.10.2020,6642,6700,6764,6594,"3,38M",-0.00865671641791
30.09.2020,6648,6606,6716,6556,"3,53M",0.006357856494096
29.09.2020,6702,6696,6724,6580,"3,36M",0.00089605734767
28.09.2020,6696,6548,6750,6536,"3,54M",0.022602321319487
25.09.2020,6422,6496,6512,6280,"2,71M",-0.011391625615764
24.09.2020,6460,6338,6538,6330,"3,50M",0.019248974439886
23.09.2020,6508,6464,6660,6386,"4,16M",0.006806930693069
22.09.2020,6378,6322,6430,6242,"4,73M",0.008857956342929
21.09.2020,6280,6680,6694,6254,"7,68M",-0.059880239520958
18.09.2020,6830,6996,7000,6786,"5,97M",-0.023727844482562
17.09.2020,7008,6774,7020,6774,"3,46M",0.034543844109832
16.09.2020,6910,6758,6910,6670,"3,59M",0.022491861497485
15.09.2020,6758,6800,6912,6740,"4,26M",-0.006176470588235
14.09.2020,6830,7100,7128,6736,"6,37M",-0.038028169014085
11.09.2020,6998,7036,7138,6950,"4,31M",-0.005400795906765
10.09.2020,7038,7142,7330,6894,"7,65M",-0.014561747409689
09.09.2020,7124,7096,7168,6920,"4,29M",0.003945885005637
08.09.2020,7086,7004,7122,6824,"5,42M",0.011707595659623
07.09.2020,7000,6884,7000,6838,"2,41M",0.016850668216153
04.09.2020,6868,6700,6972,6654,"3,87M",0.025074626865672
03.09.2020,6738,6980,7026,6664,"3,93M",-0.034670487106017
02.09.2020,6888,6666,6972,6646,"6,49M",0.033303330333033
01.09.2020,6592,6714,6714,6404,"3,25M",-0.018170985999404
31.08.2020,6634,6750,6838,6616,"3,52M",-0.017185185185185
28.08.2020,6684,6684,6714,6542,"2,72M",0
27.08.2020,6614,6616,6702,6608,"2,18M",-0.000302297460701
26.08.2020,6640,6528,6642,6502,"1,55M",0.017156862745098
25.08.2020,6566,6746,6820,6552,"3,13M",-0.026682478505781
24.08.2020,6712,6566,6722,6504,"2,47M",0.022235759975632
21.08.2020,6522,6480,6636,6394,"5,80M",0.006481481481481
20.08.2020,6418,6480,6534,6364,"2,54M",-0.009567901234568
19.08.2020,6592,6458,6592,6388,"1,82M",0.020749458036544
18.08.2020,6450,6446,6564,6350,"2,00M",0.000620539869687
17.08.2020,6506,6520,6592,6420,"1,93M",-0.002147239263804
14.08.2020,6528,6570,6630,6442,"2,75M",-0.006392694063927
13.08.2020,6604,6682,6784,6600,"3,81M",-0.011673151750973
12.08.2020,6660,6748,6800,6638,"2,72M",-0.013040901007706
11.08.2020,6800,6558,6810,6558,"4,65M",0.036901494358036
10.08.2020,6490,6320,6496,6300,"3,11M",0.026898734177215
07.08.2020,6228,6294,6350,6158,"1,84M",-0.010486177311726
06.08.2020,6306,6388,6486,6286,"2,64M",-0.012836568566061
05.08.2020,6430,6262,6430,6254,"2,63M",0.026828489300543
