Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,15.06,14.93,15.19,14.8,"1,28M",0.008707300736772
18.02.2021,14.99,15.24,15.35,14.96,"1,18M",-0.016404199475066
17.02.2021,15.31,15.47,15.55,15.24,"1,23M",-0.010342598577893
16.02.2021,15.61,15.73,15.84,15.57,"799,79K",-0.007628734901462
15.02.2021,15.77,15.91,16.01,15.74,"1,23M",-0.00879949717159
12.02.2021,15.75,15.65,15.75,15.31,"1,68M",0.006389776357827
11.02.2021,15.72,15.96,16.07,15.69,"1,19M",-0.015037593984963
10.02.2021,15.96,15.9,16,15.62,"1,14M",0.00377358490566
09.02.2021,15.81,16.08,16.13,15.78,"1,45M",-0.016791044776119
08.02.2021,16.11,15.92,16.21,15.8,"2,77M",0.011934673366834
05.02.2021,15.88,15.81,16.03,15.65,"3,05M",0.004427577482606
04.02.2021,15.67,15.45,15.78,15.3,"2,32M",0.014239482200647
03.02.2021,15.45,15.65,15.65,14.98,"4,87M",-0.012779552715655
02.02.2021,14.56,14.22,14.63,14.09,"2,84M",0.023909985935302
01.02.2021,14.26,13.1,14.6,13.1,"5,38M",0.088549618320611
29.01.2021,13.1,13.08,13.28,12.89,"2,01M",0.001529051987768
28.01.2021,13.26,13.07,13.51,13.06,"1,60M",0.014537107880643
27.01.2021,13.22,13.49,13.49,13.01,"1,83M",-0.020014825796887
26.01.2021,13.52,13.23,13.58,13.14,"1,56M",0.021919879062736
25.01.2021,13.3,13.27,13.4,13.06,"1,43M",0.002260738507913
22.01.2021,13.25,13.25,13.32,12.98,"1,68M",0
21.01.2021,13.27,13.57,13.73,13.26,"1,48M",-0.02210759027266
20.01.2021,13.54,13.76,13.85,13.53,"961,76K",-0.015988372093023
19.01.2021,13.73,13.75,13.97,13.64,"1,72M",-0.001454545454545
18.01.2021,13.65,13.62,13.72,13.41,"1,25M",0.002202643171806
15.01.2021,13.64,13.93,13.93,13.52,"2,11M",-0.020818377602297
14.01.2021,13.87,14.11,14.22,13.87,"1,76M",-0.017009213323884
13.01.2021,14.08,13.98,14.32,13.97,"1,22M",0.007153075822604
12.01.2021,13.97,13.93,14.18,13.73,"1,49M",0.002871500358938
11.01.2021,13.93,13.96,14.09,13.76,"1,77M",-0.002148997134671
08.01.2021,14.02,14.16,14.3,13.98,"1,37M",-0.009887005649718
07.01.2021,14.15,14.5,14.5,14.01,"1,26M",-0.024137931034483
06.01.2021,14.23,14.3,14.35,14.1,"1,34M",-0.004895104895105
05.01.2021,14.15,14.31,14.47,14.13,"1,35M",-0.011180992313068
04.01.2021,14.38,14.83,15,14.35,"1,21M",-0.030343897505057
30.12.2020,14.72,14.73,14.81,14.41,"1,51M",-0.000678886625933
29.12.2020,14.76,14.47,14.85,14.31,"1,76M",0.020041465100207
28.12.2020,14.39,14.65,14.75,14.31,"809,12K",-0.017747440273038
23.12.2020,14.59,14.57,14.67,14.39,"1,10M",0.001372683596431
22.12.2020,14.59,14.27,14.59,13.93,"1,27M",0.022424667133847
21.12.2020,14.14,14.15,14.25,13.8,"1,38M",-0.000706713780919
18.12.2020,14.44,14.7,14.85,14.4,"2,30M",-0.017687074829932
17.12.2020,14.77,15.03,15.11,14.77,"1,68M",-0.01729873586161
16.12.2020,15.06,14.94,15.2,14.9,"1,37M",0.008032128514056
15.12.2020,14.94,14.75,14.97,14.46,"1,78M",0.012881355932203
14.12.2020,14.5,15.31,15.38,14.43,"3,67M",-0.052906596995428
11.12.2020,15.47,15.21,15.5,15.06,"1,09M",0.017094017094017
10.12.2020,15.24,15.45,15.68,15.14,"1,85M",-0.013592233009709
09.12.2020,15.38,15.48,15.58,15.33,"1,41M",-0.006459948320413
08.12.2020,15.47,15.5,15.59,15.28,"787,68K",-0.001935483870968
07.12.2020,15.55,15.63,15.63,15.38,"847,63K",-0.00511836212412
04.12.2020,15.64,15.69,15.88,15.43,"1,83M",-0.003186743148502
03.12.2020,15.51,15.27,15.56,15.09,"1,90M",0.015717092337918
02.12.2020,15.27,15.59,15.6,15.16,"1,70M",-0.020525978191148
01.12.2020,15.69,15.47,15.82,15.29,"1,41M",0.014221073044602
30.11.2020,15.28,15.27,15.63,15.11,"2,47M",0.000654878847413
27.11.2020,15.27,15.15,15.4,15.11,"1,00M",0.007920792079208
