Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,19860,19640,19900,19555,"609,45K",0.011201629327902
18.02.2021,19595,19760,19970,19575,"809,84K",-0.00835020242915
17.02.2021,19760,20100,20170,19685,"831,05K",-0.016915422885572
16.02.2021,20040,20260,20260,20020,"502,48K",-0.010858835143139
15.02.2021,20230,20110,20370,20080,"1,02M",0.00596718050721
12.02.2021,20000,20000,20090,19785,"758,83K",0
11.02.2021,20040,20030,20190,19980,"596,37K",0.000499251123315
10.02.2021,20090,20080,20240,19880,"1,22M",0.000498007968127
09.02.2021,20040,20110,20130,19880,"1,04M",-0.003480855295873
08.02.2021,20040,19660,20140,19615,"2,78M",0.019328585961343
05.02.2021,19415,19220,19675,19105,"2,03M",0.010145681581686
04.02.2021,19105,18280,19145,18260,"1,91M",0.045131291028446
03.02.2021,18265,18605,18755,18260,"1,59M",-0.018274657350175
02.02.2021,18060,18050,18275,17980,"559,59K",0.000554016620499
01.02.2021,17955,17620,18205,17555,"1,22M",0.019012485811578
29.01.2021,17360,17465,17620,17295,"548,12K",-0.006012024048096
28.01.2021,17705,17310,17705,17165,"743,49K",0.022819179664934
27.01.2021,17450,17970,17970,17345,"918,01K",-0.028937117417919
26.01.2021,17845,17535,17875,17495,"754,55K",0.017678927858569
25.01.2021,17600,18025,18075,17515,"787,73K",-0.023578363384189
22.01.2021,17890,18230,18245,17800,"903,83K",-0.01865057597367
21.01.2021,18280,18640,18745,18250,"620,93K",-0.01931330472103
20.01.2021,18545,18450,18675,18385,"757,81K",0.005149051490515
19.01.2021,18420,18555,18580,18260,"858,83K",-0.007275666936136
18.01.2021,18495,18360,18495,18195,"554,14K",0.007352941176471
15.01.2021,18410,18690,18715,18410,"998,62K",-0.01498127340824
14.01.2021,18580,18845,18925,18540,"1,22M",-0.014062085433802
13.01.2021,18915,18405,19050,18385,"2,99M",0.027709861450693
12.01.2021,18210,18155,18655,18045,"2,20M",0.003029468465987
11.01.2021,17825,17805,17950,17735,"472,32K",0.001123279977534
08.01.2021,17835,17980,18090,17660,"695,22K",-0.008064516129032
07.01.2021,17870,17925,18000,17680,"865,69K",-0.003068340306834
06.01.2021,17855,17570,17890,17510,"657,72K",0.016220830961867
05.01.2021,17570,17750,17895,17470,"821,45K",-0.010140845070423
04.01.2021,17755,17930,17970,17710,"700,04K",-0.009760178471835
30.12.2020,17770,17945,17950,17755,"430,56K",-0.009752020061298
29.12.2020,17880,18100,18100,17750,"468,28K",-0.012154696132597
28.12.2020,17965,18050,18190,17915,"621,43K",-0.004709141274238
23.12.2020,17885,17790,18030,17790,"1,14M",0.005340078695897
22.12.2020,17740,17170,17770,17170,"947,46K",0.033197437390798
21.12.2020,17070,17135,17175,16655,"1,39M",-0.003793405310767
18.12.2020,17325,17330,17535,17230,"963,12K",-0.000288517022504
17.12.2020,17565,17700,17825,17555,"653,79K",-0.007627118644068
16.12.2020,17560,17560,17705,17525,"726,00K",0
15.12.2020,17535,17505,17760,17375,"613,16K",0.001713796058269
14.12.2020,17650,17420,17855,17365,"827,42K",0.013203214695752
11.12.2020,17215,17530,17635,17215,"898,41K",-0.017969195664575
10.12.2020,17520,17640,17745,17460,"617,52K",-0.006802721088435
09.12.2020,17670,17730,17785,17575,"627,28K",-0.003384094754653
08.12.2020,17610,17650,17695,17495,"560,99K",-0.002266288951841
07.12.2020,17690,17700,17765,17415,"567,56K",-0.000564971751412
04.12.2020,17680,17680,17830,17620,"840,14K",0
03.12.2020,17680,17640,17720,17400,"583,31K",0.002267573696145
02.12.2020,17555,18015,18015,17445,"1,17M",-0.025534276991396
01.12.2020,18020,17630,18040,17630,"1,04M",0.022121384004538
30.11.2020,17670,17750,17950,17640,"785,96K",-0.004507042253521
27.11.2020,17810,17805,17980,17740,"647,35K",0.000280819994384
26.11.2020,17780,18240,18275,17770,"1,29M",-0.025219298245614
25.11.2020,18200,17730,18260,17580,"2,02M",0.026508742244783
24.11.2020,17620,17840,17840,17525,"1,41M",-0.012331838565023
23.11.2020,17600,17860,17920,17550,"998,59K",-0.014557670772676
20.11.2020,17650,17650,17870,17340,"1,08M",0
19.11.2020,17620,17960,18140,17620,"1,72M",-0.018930957683742
18.11.2020,18050,17545,18085,17495,"2,47M",0.028783129096609
17.11.2020,17580,17480,17720,17365,"1,85M",0.005720823798627
16.11.2020,17490,17090,17625,16960,"2,78M",0.023405500292569
13.11.2020,16850,16395,17080,16395,"1,77M",0.027752363525465
12.11.2020,16520,16455,16790,16390,"1,14M",0.003950167122455
11.11.2020,16555,16630,16800,16365,"1,58M",-0.004509921828022
10.11.2020,16550,16775,16850,16455,"1,45M",-0.013412816691505
09.11.2020,16750,16100,16980,16040,"2,44M",0.040372670807454
06.11.2020,15825,15905,16070,15665,"703,51K",-0.005029864822383
05.11.2020,16010,15800,16055,15770,"1,23M",0.013291139240506
04.11.2020,15735,15150,15765,15035,"840,99K",0.038613861386139
03.11.2020,15500,15100,15520,15035,"963,65K",0.026490066225166
02.11.2020,14975,14500,15035,14325,"687,96K",0.032758620689655
30.10.2020,14495,13955,14520,13925,"833,13K",0.038695807954138
29.10.2020,14170,14370,14485,13955,"1,25M",-0.013917884481559
28.10.2020,14410,14780,14785,14250,"1,50M",-0.025033829499324
27.10.2020,15000,15360,15395,14985,"822,43K",-0.0234375
26.10.2020,15340,15330,15600,15270,"714,22K",0.000652315720809
23.10.2020,15785,15570,15840,15570,"576,85K",0.013808606294156
22.10.2020,15575,15630,15690,15360,"609,56K",-0.003518873960333
21.10.2020,15720,16200,16200,15680,"639,00K",-0.02962962962963
20.10.2020,16080,16010,16200,15750,"629,35K",0.004372267332917
19.10.2020,16175,16000,16320,15910,"735,92K",0.0109375
16.10.2020,16105,15970,16200,15740,"900,25K",0.008453350031309
15.10.2020,15900,16245,16255,15750,"1,15M",-0.02123730378578
14.10.2020,16510,16050,16650,16030,"880,06K",0.028660436137072
13.10.2020,16125,16405,16495,16080,"807,22K",-0.017067967083206
12.10.2020,16360,16215,16440,16190,"574,24K",0.008942337341967
09.10.2020,16240,15925,16455,15925,"1,08M",0.01978021978022
08.10.2020,15910,15780,15960,15780,"502,36K",0.008238276299113
07.10.2020,15755,15800,15980,15740,"543,88K",-0.002848101265823
06.10.2020,15810,15630,15940,15465,"741,63K",0.011516314779271
05.10.2020,15590,15320,15625,15260,"563,17K",0.017624020887729
02.10.2020,15125,15160,15280,14975,"741,05K",-0.002308707124011
01.10.2020,15260,15530,15610,15230,"515,60K",-0.017385705086929
30.09.2020,15420,15355,15590,15300,"507,67K",0.004233148811462
29.09.2020,15440,15600,15670,15435,"557,54K",-0.01025641025641
28.09.2020,15660,15250,15715,15210,"900,39K",0.026885245901639
25.09.2020,15085,15455,15590,14910,"1,09M",-0.023940472339049
24.09.2020,15465,15550,15750,15340,"937,29K",-0.005466237942122
23.09.2020,15720,15885,16115,15720,"529,59K",-0.01038715769594
22.09.2020,15750,15850,16075,15710,"551,03K",-0.006309148264984
21.09.2020,15780,16370,16455,15740,"1,10M",-0.036041539401344
18.09.2020,16540,16765,16770,16490,"613,71K",-0.013420817178646
17.09.2020,16810,16435,16940,16405,"804,98K",0.022817158503194
16.09.2020,16655,16570,16660,16465,"638,58K",0.005129752564876
15.09.2020,16485,16360,16560,16165,"668,03K",0.007640586797066
14.09.2020,16465,16375,16485,16260,"581,71K",0.005496183206107
11.09.2020,16250,16160,16360,16120,"605,39K",0.005569306930693
10.09.2020,16120,16065,16235,15995,"539,69K",0.003423591658886
09.09.2020,16065,15880,16125,15880,"802,66K",0.011649874055416
08.09.2020,15820,16200,16270,15715,"804,64K",-0.023456790123457
07.09.2020,16180,15990,16220,15925,"433,91K",0.011882426516573
04.09.2020,15940,15850,16140,15765,"663,44K",0.005678233438486
03.09.2020,15940,16285,16520,15865,"849,53K",-0.02118513969911
02.09.2020,16325,16175,16380,16060,"985,52K",0.009273570324575
01.09.2020,16060,16280,16350,15910,"988,43K",-0.013513513513514
31.08.2020,16205,16520,16635,16130,"832,49K",-0.01906779661017
28.08.2020,16490,16850,16850,16400,"648,90K",-0.021364985163205
27.08.2020,16650,16705,16845,16610,"691,79K",-0.003292427416941
26.08.2020,16805,16735,16905,16680,"512,13K",0.004182850313714
25.08.2020,16785,16950,17100,16760,"642,78K",-0.009734513274336
24.08.2020,16860,16355,16915,16330,"946,42K",0.030877407520636
21.08.2020,16265,16445,16530,16165,"491,87K",-0.010945576162968
20.08.2020,16435,16485,16570,16350,"488,34K",-0.003033060357901
19.08.2020,16660,16625,16660,16415,"549,11K",0.002105263157895
18.08.2020,16580,16700,16790,16480,"764,28K",-0.007185628742515
17.08.2020,16770,16880,16965,16670,"452,97K",-0.006516587677725
14.08.2020,16850,16890,16980,16580,"773,38K",-0.002368265245708
13.08.2020,16895,17015,17210,16895,"640,43K",-0.007052600646488
12.08.2020,17030,17110,17220,16955,"795,39K",-0.004675628287551
