Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,2164,2126,2176,2122,"12,81M",0.017873941674506
18.02.2021,2126,2142,2167,2114,"12,22M",-0.007469654528478
17.02.2021,2139,2150,2170,2126,"12,59M",-0.005116279069767
16.02.2021,2160,2180,2187,2126,"15,84M",-0.009174311926606
15.02.2021,2188,2217,2217,2185,"13,38M",-0.013080739738385
12.02.2021,2185,2185,2194,2148,"11,30M",0
11.02.2021,2182,2173,2199,2161,"10,87M",0.004141739530603
10.02.2021,2173,2180,2219,2151,"23,88M",-0.003211009174312
09.02.2021,2174,2180,2186,2130,"21,26M",-0.002752293577982
08.02.2021,2155,2069,2164,2061,"42,55M",0.041565973900435
05.02.2021,2030,2016,2097,2015,"30,85M",0.006944444444444
04.02.2021,2009,1926,2012,1903,"26,29M",0.043094496365524
03.02.2021,1925,1970,1982,1912,"29,69M",-0.022842639593909
02.02.2021,1855,1828,1859,1820,"15,04M",0.014770240700219
01.02.2021,1819,1832,1841,1808,"11,03M",-0.007096069868996
29.01.2021,1813,1827,1839,1793,"17,10M",-0.007662835249042
28.01.2021,1844,1766,1851,1762,"15,49M",0.044167610419026
27.01.2021,1785,1824,1832,1770,"11,58M",-0.021381578947369
26.01.2021,1809,1777,1819,1770,"11,81M",0.018007878446821
25.01.2021,1781,1834,1846,1772,"12,29M",-0.028898582333697
22.01.2021,1829,1865,1865,1811,"14,23M",-0.019302949061662
21.01.2021,1882,1898,1906,1870,"9,87M",-0.008429926238145
20.01.2021,1896,1873,1908,1873,"9,36M",0.012279765082755
19.01.2021,1872,1899,1904,1865,"12,84M",-0.014218009478673
18.01.2021,1882,1859,1895,1854,"13,34M",0.012372243141474
15.01.2021,1878,1896,1911,1867,"11,63M",-0.009493670886076
14.01.2021,1894,1900,1913,1878,"12,59M",-0.003157894736842
13.01.2021,1906,1916,1918,1888,"16,03M",-0.005219206680585
12.01.2021,1926,1926,1959,1926,"11,79M",0
11.01.2021,1921,1934,1960,1906,"12,62M",-0.006721820062048
08.01.2021,1940,1970,1990,1936,"20,26M",-0.015228426395939
07.01.2021,1956,1918,1965,1900,"30,34M",0.019812304483837
06.01.2021,1898,1814,1911,1791,"32,85M",0.046306504961411
05.01.2021,1796,1785,1829,1785,"13,08M",0.006162464985994
04.01.2021,1797,1820,1820,1779,"11,52M",-0.012637362637363
30.12.2020,1808,1817,1824,1804,"8,97M",-0.004953219592735
29.12.2020,1810,1810,1820,1789,"7,75M",0
28.12.2020,1806,1837,1837,1801,"8,70M",-0.016875340228634
23.12.2020,1805,1785,1805,1765,"13,02M",0.011204481792717
22.12.2020,1786,1740,1786,1740,"13,07M",0.026436781609195
21.12.2020,1730,1740,1768,1703,"21,51M",-0.005747126436782
18.12.2020,1783,1800,1816,1783,"14,58M",-0.009444444444444
17.12.2020,1809,1804,1821,1797,"10,15M",0.002771618625277
16.12.2020,1801,1820,1857,1792,"15,51M",-0.010439560439561
15.12.2020,1817,1785,1821,1778,"8,65M",0.017927170868347
14.12.2020,1791,1790,1825,1786,"12,06M",0.000558659217877
11.12.2020,1775,1810,1824,1768,"15,18M",-0.019337016574586
10.12.2020,1813,1846,1870,1808,"20,72M",-0.017876489707476
09.12.2020,1851,1840,1875,1833,"16,04M",0.005978260869565
08.12.2020,1828,1820,1852,1820,"8,46M",0.004395604395604
07.12.2020,1834,1840,1849,1819,"12,71M",-0.003260869565217
04.12.2020,1849,1865,1878,1841,"17,40M",-0.00857908847185
03.12.2020,1867,1820,1875,1814,"17,51M",0.025824175824176
02.12.2020,1830,1870,1870,1783,"31,42M",-0.021390374331551
01.12.2020,1876,1850,1898,1844,"18,20M",0.014054054054054
30.11.2020,1850,1850,1878,1821,"17,88M",0
27.11.2020,1856,1846,1874,1846,"12,43M",0.005417118093174
26.11.2020,1852,1883,1888,1842,"14,47M",-0.016463090812533
25.11.2020,1883,1900,1905,1839,"29,41M",-0.008947368421053
24.11.2020,1890,1895,1906,1834,"33,14M",-0.002638522427441
23.11.2020,1867,1962,1969,1836,"64,05M",-0.04841997961264
20.11.2020,1939,1880,1956,1877,"32,31M",0.031382978723404
19.11.2020,1870,1869,1890,1862,"21,35M",0.000535045478866
18.11.2020,1895,1862,1914,1850,"24,61M",0.017722878625134
17.11.2020,1867,1838,1867,1798,"20,48M",0.015778019586507
16.11.2020,1821,1837,1850,1803,"29,00M",-0.00870985302123
13.11.2020,1793,1767,1805,1765,"16,32M",0.014714204867006
12.11.2020,1786,1740,1793,1735,"18,99M",0.026436781609195
11.11.2020,1766,1801,1804,1761,"20,18M",-0.019433647973348
10.11.2020,1800,1768,1832,1731,"37,85M",0.018099547511312
09.11.2020,1768,1680,1805,1666,"50,98M",0.052380952380952
06.11.2020,1648,1648,1704,1633,"26,86M",0
05.11.2020,1649,1660,1666,1628,"17,54M",-0.006626506024096
04.11.2020,1645,1603,1652,1596,"21,41M",0.026200873362446
03.11.2020,1642,1625,1658,1616,"22,25M",0.010461538461539
02.11.2020,1612,1551,1612,1534,"18,20M",0.03932946486138
30.10.2020,1551,1495,1557,1490,"17,52M",0.037458193979933
29.10.2020,1513,1546,1566,1476,"24,12M",-0.021345407503234
28.10.2020,1549,1580,1597,1540,"26,05M",-0.019620253164557
27.10.2020,1617,1665,1675,1615,"18,82M",-0.028828828828829
26.10.2020,1650,1643,1682,1622,"27,56M",0.004260499087036
23.10.2020,1679,1632,1704,1632,"34,36M",0.028799019607843
22.10.2020,1646,1625,1661,1602,"14,10M",0.012923076923077
21.10.2020,1635,1700,1700,1630,"29,66M",-0.038235294117647
20.10.2020,1671,1610,1704,1600,"34,09M",0.037888198757764
19.10.2020,1622,1664,1668,1592,"23,72M",-0.025240384615385
16.10.2020,1656,1623,1669,1599,"29,11M",0.020332717190388
15.10.2020,1610,1596,1668,1565,"34,83M",0.008771929824561
14.10.2020,1611,1598,1676,1593,"24,64M",0.008135168961202
13.10.2020,1604,1655,1655,1569,"31,73M",-0.030815709969789
12.10.2020,1655,1680,1709,1651,"18,75M",-0.014880952380952
09.10.2020,1670,1685,1705,1664,"17,57M",-0.008902077151335
08.10.2020,1692,1670,1709,1655,"31,63M",0.013173652694611
07.10.2020,1661,1645,1712,1622,"39,99M",0.009726443768997
06.10.2020,1658,1585,1663,1556,"40,92M",0.046056782334385
05.10.2020,1570,1612,1625,1533,"42,98M",-0.02605459057072
02.10.2020,1587,1479,1609,1477,"69,99M",0.073022312373225
01.10.2020,1505,1480,1526,1436,"56,16M",0.016891891891892
30.09.2020,1445,1376,1453,1366,"36,30M",0.050145348837209
29.09.2020,1390,1374,1398,1368,"18,93M",0.011644832605531
28.09.2020,1389,1425,1434,1357,"33,70M",-0.025263157894737
25.09.2020,1373,1350,1411,1340,"42,78M",0.017037037037037
24.09.2020,1342,1252,1380,1239,"49,86M",0.071884984025559
23.09.2020,1268,1329,1340,1267,"22,59M",-0.045899172310008
22.09.2020,1317,1322,1355,1292,"19,54M",-0.003782148260212
21.09.2020,1309,1378,1378,1306,"30,07M",-0.050072568940494
18.09.2020,1390,1413,1421,1387,"44,98M",-0.016277423920736
17.09.2020,1421,1419,1428,1403,"16,52M",0.001409443269908
16.09.2020,1445,1461,1461,1423,"13,89M",-0.010951403148528
15.09.2020,1455,1457,1472,1436,"15,17M",-0.001372683596431
14.09.2020,1459,1498,1502,1442,"23,59M",-0.026034712950601
11.09.2020,1481,1507,1517,1472,"27,69M",-0.017252820172528
10.09.2020,1510,1408,1533,1403,"58,81M",0.072443181818182
09.09.2020,1408,1398,1408,1373,"21,45M",0.007153075822604
08.09.2020,1397,1420,1449,1395,"29,01M",-0.016197183098592
07.09.2020,1420,1434,1440,1391,"17,46M",-0.00976290097629
04.09.2020,1420,1382,1449,1375,"46,36M",0.027496382054993
03.09.2020,1368,1400,1414,1364,"22,86M",-0.022857142857143
02.09.2020,1385,1410,1414,1375,"20,24M",-0.017730496453901
01.09.2020,1408,1430,1430,1377,"17,40M",-0.015384615384615
31.08.2020,1412,1436,1454,1412,"15,20M",-0.016713091922006
28.08.2020,1434,1444,1454,1422,"19,12M",-0.006925207756233
27.08.2020,1428,1420,1441,1396,"16,03M",0.005633802816901
26.08.2020,1423,1436,1450,1421,"15,22M",-0.009052924791086
25.08.2020,1438,1450,1472,1436,"29,00M",-0.008275862068966
24.08.2020,1438,1430,1440,1404,"22,02M",0.005594405594406
21.08.2020,1410,1410,1419,1390,"18,37M",0
20.08.2020,1409,1418,1426,1401,"15,51M",-0.006346967559944
19.08.2020,1441,1400,1443,1396,"19,08M",0.029285714285714
18.08.2020,1401,1375,1423,1365,"18,12M",0.018909090909091
17.08.2020,1390,1420,1434,1386,"15,12M",-0.02112676056338
14.08.2020,1424,1425,1429,1373,"31,30M",-0.000701754385965
13.08.2020,1436,1388,1464,1385,"39,05M",0.034582132564842
12.08.2020,1387,1398,1416,1383,"22,95M",-0.007868383404864
11.08.2020,1398,1328,1412,1327,"44,74M",0.052710843373494
10.08.2020,1307,1283,1316,1276,"17,24M",0.018706157443492
07.08.2020,1272,1310,1310,1238,"28,80M",-0.029007633587786
06.08.2020,1296,1317,1337,1278,"17,91M",-0.015945330296128
05.08.2020,1324,1320,1334,1298,"19,86M",0.003030303030303
04.08.2020,1304,1255,1309,1254,"22,95M",0.039043824701195
03.08.2020,1248,1267,1275,1229,"23,04M",-0.014996053670087
31.07.2020,1271,1281,1295,1270,"17,35M",-0.007806401249024
30.07.2020,1276,1347,1356,1260,"26,60M",-0.052709725315516
29.07.2020,1348,1388,1393,1329,"17,30M",-0.028818443804035
28.07.2020,1381,1377,1392,1362,"16,36M",0.002904865649964
27.07.2020,1372,1421,1421,1360,"22,86M",-0.03448275862069
24.07.2020,1426,1418,1442,1411,"24,69M",0.005641748942172
23.07.2020,1428,1480,1484,1421,"22,54M",-0.035135135135135
22.07.2020,1475,1490,1518,1467,"30,36M",-0.01006711409396
21.07.2020,1482,1534,1566,1477,"56,76M",-0.033898305084746
20.07.2020,1475,1450,1524,1422,"62,35M",0.017241379310345
17.07.2020,1398,1400,1408,1372,"17,53M",-0.001428571428571
16.07.2020,1401,1383,1413,1381,"21,38M",0.013015184381779
15.07.2020,1390,1378,1402,1358,"26,45M",0.008708272859216
14.07.2020,1367,1342,1393,1340,"26,50M",0.018628912071535
13.07.2020,1354,1360,1367,1323,"18,45M",-0.004411764705882
10.07.2020,1334,1300,1334,1298,"18,67M",0.026153846153846
09.07.2020,1309,1373,1377,1307,"20,75M",-0.046613255644574
08.07.2020,1359,1374,1398,1357,"19,16M",-0.010917030567686
07.07.2020,1390,1391,1403,1376,"15,98M",-0.000718907260963
06.07.2020,1404,1380,1411,1375,"30,94M",0.017391304347826
03.07.2020,1347,1374,1378,1337,"14,76M",-0.019650655021834
02.07.2020,1363,1314,1378,1312,"32,24M",0.037290715372907
01.07.2020,1298,1329,1331,1275,"21,64M",-0.023325808878856
30.06.2020,1328,1365,1373,1311,"19,98M",-0.027106227106227
29.06.2020,1362,1280,1367,1278,"23,67M",0.0640625
26.06.2020,1285,1346,1353,1285,"16,38M",-0.045319465081724
25.06.2020,1334,1302,1340,1288,"22,32M",0.02457757296467
24.06.2020,1305,1375,1394,1305,"20,47M",-0.050909090909091
23.06.2020,1378,1350,1386,1339,"17,88M",0.020740740740741
22.06.2020,1340,1320,1356,1313,"13,12M",0.015151515151515
19.06.2020,1337,1369,1370,1331,"26,29M",-0.023374726077429
18.06.2020,1352,1373,1398,1347,"22,23M",-0.015294974508376
17.06.2020,1377,1392,1423,1357,"35,38M",-0.010775862068966
