Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,28.8,28.3,28.84,28.22,"441,64K",0.017667844522968
18.02.2021,28.42,28.66,29.02,28.36,"385,72K",-0.008374040474529
17.02.2021,28.74,28.9,28.92,28.48,"459,23K",-0.005536332179931
16.02.2021,28.82,29.24,29.3,28.8,"358,38K",-0.014363885088919
15.02.2021,29.24,29.06,29.54,28.94,"593,26K",0.006194081211287
12.02.2021,28.88,28.9,28.94,28.54,"373,66K",-0.000692041522491
11.02.2021,28.68,29,29.14,28.66,"543,29K",-0.011034482758621
10.02.2021,28.62,29.1,29.6,28.42,"976,82K",-0.016494845360825
09.02.2021,29.06,29,29.1,28.76,"417,16K",0.002068965517241
08.02.2021,28.92,28.6,29.28,28.44,"579,80K",0.011188811188811
05.02.2021,28.36,28,28.66,27.78,"611,77K",0.012857142857143
04.02.2021,27.86,27.58,28.08,27.1,"529,28K",0.01015228426396
03.02.2021,27.34,27.16,27.72,26.86,"928,20K",0.006627393225331
02.02.2021,26.38,26.2,26.52,26.14,"200,11K",0.006870229007634
01.02.2021,26.1,25.76,26.16,25.74,"169,04K",0.013198757763975
29.01.2021,25.62,25.56,25.78,25.4,"260,27K",0.002347417840376
28.01.2021,25.9,25.48,25.94,25.34,"227,45K",0.016483516483517
27.01.2021,25.54,26.36,26.36,25.5,"326,19K",-0.031107738998483
26.01.2021,26.3,25.82,26.36,25.82,"247,95K",0.018590240123935
25.01.2021,25.9,26.64,26.84,25.88,"271,67K",-0.027777777777778
22.01.2021,26.6,26.88,26.88,26.4,"317,80K",-0.010416666666667
21.01.2021,26.84,27.14,27.22,26.84,"231,44K",-0.01105379513633
20.01.2021,27.08,26.92,27.16,26.88,"174,58K",0.00594353640416
19.01.2021,26.92,27.28,27.34,26.92,"177,76K",-0.013196480938416
18.01.2021,27.24,27.14,27.36,27.06,"212,78K",0.003684598378777
15.01.2021,27.14,27.06,27.54,26.96,"421,82K",0.002956393200296
14.01.2021,26.96,27.16,27.3,26.94,"178,59K",-0.007363770250368
13.01.2021,27.28,27.16,27.38,26.94,"250,38K",0.004418262150221
