Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,7400,7390,7465,7365,"1,02M",0.001353179972936
18.02.2021,7380,7515,7575,7360,"1,70M",-0.017964071856288
17.02.2021,7490,7620,7635,7475,"1,27M",-0.017060367454068
16.02.2021,7595,7665,7675,7560,"1,33M",-0.009132420091324
15.02.2021,7665,7730,7775,7625,"1,73M",-0.008408796895213
12.02.2021,7645,7690,7720,7605,"1,39M",-0.005851755526658
11.02.2021,7645,7635,7770,7615,"1,59M",0.001309757694826
10.02.2021,7665,7690,7720,7575,"1,59M",-0.003250975292588
09.02.2021,7640,7730,7760,7635,"1,30M",-0.011642949547219
08.02.2021,7730,7540,7760,7530,"2,24M",0.025198938992043
05.02.2021,7455,7350,7495,7330,"2,19M",0.014285714285714
04.02.2021,7310,7120,7370,7065,"1,54M",0.026685393258427
03.02.2021,7080,7160,7240,6990,"3,74M",-0.011173184357542
02.02.2021,6790,6775,6805,6730,"883,07K",0.002214022140221
01.02.2021,6710,6615,6710,6590,"1,40M",0.014361300075586
29.01.2021,6545,6560,6630,6500,"1,66M",-0.002286585365854
28.01.2021,6600,6615,6695,6555,"3,11M",-0.002267573696145
27.01.2021,6685,6875,6875,6640,"1,42M",-0.027636363636364
26.01.2021,6855,6880,6885,6800,"1,56M",-0.003633720930233
25.01.2021,6855,7130,7130,6840,"1,19M",-0.038569424964937
22.01.2021,7065,7165,7200,7035,"1,34M",-0.013956734124215
21.01.2021,7195,7380,7380,7175,"1,22M",-0.025067750677507
20.01.2021,7315,7345,7380,7285,"691,14K",-0.004084411164057
19.01.2021,7315,7360,7365,7270,"788,13K",-0.006114130434783
18.01.2021,7325,7340,7380,7210,"1,69M",-0.002043596730245
15.01.2021,7355,7295,7470,7250,"2,44M",0.008224811514736
14.01.2021,7195,7250,7295,7195,"1,02M",-0.007586206896552
13.01.2021,7245,7350,7370,7200,"1,56M",-0.014285714285714
12.01.2021,7335,7160,7420,7150,"3,23M",0.024441340782123
