Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,21280,20990,21360,20870,"480,39K",0.013816102906146
18.02.2021,21020,21370,21440,20970,"412,30K",-0.016378100140384
17.02.2021,21360,21600,21680,21170,"592,57K",-0.011111111111111
16.02.2021,21520,21990,21990,21520,"655,05K",-0.02137335152342
15.02.2021,21760,21360,21810,21280,"990,23K",0.0187265917603
12.02.2021,21230,21090,21330,20940,"910,72K",0.006638217164533
11.02.2021,20970,21380,21380,20770,"806,37K",-0.019176800748363
10.02.2021,21090,21500,21520,20870,"985,68K",-0.019069767441861
09.02.2021,21250,21530,21740,20910,"1,59M",-0.013005109150023
08.02.2021,21380,20700,21480,20660,"1,40M",0.032850241545894
05.02.2021,20450,20640,20770,20430,"828,28K",-0.009205426356589
04.02.2021,20560,20450,20620,20090,"1,23M",0.005378973105134
03.02.2021,20400,20620,20890,20400,"788,04K",-0.010669253152279
02.02.2021,20190,20100,20390,20000,"532,74K",0.004477611940299
01.02.2021,19980,19780,20130,19700,"613,54K",0.010111223458039
29.01.2021,20330,20270,20420,20020,"765,01K",0.002960039467193
28.01.2021,20520,20000,20650,19745,"1,15M",0.026
27.01.2021,20130,20770,21010,19955,"1,19M",-0.030813673567646
26.01.2021,20730,20440,20860,20440,"806,77K",0.014187866927593
25.01.2021,20510,20980,21140,20330,"740,12K",-0.022402287893232
22.01.2021,20820,21200,21200,20570,"782,82K",-0.017924528301887
21.01.2021,21240,21640,21790,21160,"1,27M",-0.018484288354898
20.01.2021,21590,21850,21860,21490,"776,45K",-0.011899313501144
19.01.2021,21610,21370,22070,21260,"982,69K",0.01123069723912
18.01.2021,21480,21210,21540,21150,"556,51K",0.012729844413013
15.01.2021,21300,21320,21570,21030,"853,38K",-0.00093808630394
14.01.2021,21260,21650,21730,21220,"600,08K",-0.018013856812933
13.01.2021,21570,21850,21900,21480,"449,06K",-0.012814645308925
12.01.2021,21770,21420,21930,21420,"630,56K",0.016339869281046
11.01.2021,21400,21820,21900,21270,"699,18K",-0.019248395967003
08.01.2021,21770,22320,22380,21590,"950,55K",-0.024641577060932
07.01.2021,22190,21920,22240,21610,"1,64M",0.012317518248175
06.01.2021,21500,20200,21670,20120,"2,16M",0.064356435643564
05.01.2021,19915,20010,20250,19770,"716,35K",-0.004747626186907
04.01.2021,20210,19600,20290,19600,"1,01M",0.031122448979592
30.12.2020,19500,19450,19615,19350,"344,88K",0.002570694087404
29.12.2020,19410,19535,19640,19365,"339,86K",-0.006398771435884
28.12.2020,19460,19585,19680,19370,"261,19K",-0.006382435537401
23.12.2020,19315,19565,19645,19300,"390,17K",-0.012777919754664
22.12.2020,19480,19190,19480,19155,"397,29K",0.015112037519542
