Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,9.684,9.912,9.984,9.604,"3,66M",-0.023002421307506
18.02.2021,9.776,9.718,9.832,9.284,"4,37M",0.005968306235851
17.02.2021,9.764,9.9,9.946,9.742,"2,07M",-0.013737373737374
16.02.2021,9.922,9.85,10.035,9.846,"2,85M",0.007309644670051
15.02.2021,9.85,9.816,9.864,9.74,"981,70K",0.003463732681336
12.02.2021,9.78,9.706,9.81,9.7,"1,28M",0.007624150010303
11.02.2021,9.718,9.68,9.82,9.68,"1,33M",0.003925619834711
10.02.2021,9.676,9.75,9.752,9.638,"1,55M",-0.007589743589744
09.02.2021,9.736,9.64,9.792,9.638,"1,55M",0.009958506224066
08.02.2021,9.648,9.668,9.77,9.31,"2,48M",-0.002068680182044
05.02.2021,9.668,9.29,9.69,9.278,"4,63M",0.040688912809473
04.02.2021,9.258,9.178,9.276,9.136,"1,77M",0.00871649596862
03.02.2021,9.182,9.25,9.322,9.152,"2,30M",-0.007351351351351
02.02.2021,9.14,8.92,9.16,8.908,"2,46M",0.024663677130045
01.02.2021,8.882,8.956,8.956,8.852,"1,52M",-0.008262617239839
29.01.2021,8.876,8.862,8.946,8.83,"1,53M",0.001579778830964
28.01.2021,8.96,8.89,9.008,8.826,"1,62M",0.007874015748032
27.01.2021,8.9,8.95,8.988,8.794,"1,52M",-0.005586592178771
26.01.2021,8.942,8.8,8.988,8.8,"1,44M",0.016136363636364
25.01.2021,8.808,8.866,8.876,8.788,"1,07M",-0.006541845251523
22.01.2021,8.814,8.88,8.964,8.754,"1,50M",-0.007432432432433
21.01.2021,8.89,8.812,8.932,8.812,"2,23M",0.008851566046301
20.01.2021,8.784,8.772,8.858,8.75,"1,71M",0.001367989056088
19.01.2021,8.794,8.898,8.912,8.772,"1,46M",-0.011688019779726
18.01.2021,8.85,8.7,8.872,8.694,"1,48M",0.017241379310345
15.01.2021,8.724,8.766,8.786,8.664,"1,89M",-0.004791238877481
14.01.2021,8.722,8.798,8.798,8.698,"1,52M",-0.008638326892476
13.01.2021,8.774,8.656,8.828,8.626,"1,80M",0.013632162661738
12.01.2021,8.678,8.8,8.82,8.67,"1,74M",-0.013863636363636
11.01.2021,8.72,8.86,8.97,8.714,"1,97M",-0.015801354401806
08.01.2021,8.856,8.85,8.94,8.75,"2,22M",0.000677966101695
07.01.2021,8.844,8.9,8.912,8.816,"1,85M",-0.006292134831461
06.01.2021,8.898,9.05,9.05,8.886,"2,60M",-0.016795580110497
05.01.2021,8.972,9.22,9.234,8.954,"2,93M",-0.026898047722343
04.01.2021,9.22,9.378,9.402,9.196,"1,87M",-0.016847941991896
30.12.2020,9.34,9.466,9.484,9.34,"1,03M",-0.013310796534967
29.12.2020,9.462,9.34,9.462,9.298,"1,33M",0.013062098501071
28.12.2020,9.284,9.264,9.332,9.23,"1,02M",0.002158894645941
23.12.2020,9.196,9.21,9.218,9.046,"1,75M",-0.001520086862107
22.12.2020,9.204,9.226,9.288,9.08,"1,49M",-0.002384565358769
21.12.2020,9.184,9.17,9.252,9.102,"2,27M",0.001526717557252
18.12.2020,9.256,9.232,9.378,9.208,"5,17M",0.00259965337955
17.12.2020,9.27,9.212,9.284,9.19,"1,87M",0.006296135475467
