Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,169.5,178.2,179,169,"234,31K",-0.048821548821549
18.02.2021,178.8,182.9,184.8,177,"176,42K",-0.022416621104429
17.02.2021,183.5,184.2,185.9,182,"100,62K",-0.003800217155266
16.02.2021,186.4,185.4,187,184.7,"85,45K",0.005393743257821
15.02.2021,185.3,186,187,183.8,"107,97K",-0.003763440860215
12.02.2021,185.6,184.5,186.2,184.1,"73,80K",0.005962059620596
11.02.2021,184.5,182.4,186.7,181.3,"101,76K",0.011513157894737
10.02.2021,182.2,183.2,185,180.8,"157,90K",-0.005458515283843
09.02.2021,182.9,178,182.9,177.8,"180,82K",0.027528089887641
08.02.2021,177.7,179.3,179.6,177,"123,18K",-0.008923591745678
05.02.2021,179.1,176.1,179.3,175.8,"134,65K",0.017035775127768
04.02.2021,176.2,176.5,178.2,174.1,"132,36K",-0.001699716713881
03.02.2021,176.5,181.7,181.7,175.9,"151,62K",-0.028618602091359
02.02.2021,179.4,180,181.9,176.5,"187,48K",-0.003333333333333
01.02.2021,180,181.1,184.4,180,"201,67K",-0.006073992269464
29.01.2021,180.6,175,182.1,174.6,"265,50K",0.032
28.01.2021,177.7,186.9,187.6,175.8,"293,33K",-0.049224184055645
27.01.2021,188.3,178.8,194.5,178.4,"450,20K",0.053131991051454
26.01.2021,178.8,179.6,179.8,174.6,"153,17K",-0.00445434298441
25.01.2021,179.7,175.6,183.2,175.4,"272,56K",0.023348519362187
22.01.2021,175,173.7,175,171.7,"135,76K",0.00748416810593
21.01.2021,173.7,171.1,173.7,171.1,"157,58K",0.015195791934541
20.01.2021,171.1,171,173.9,169.4,"153,57K",0.000584795321637
19.01.2021,171.2,166.6,172.1,166.3,"340,90K",0.027611044417767
18.01.2021,166.2,162.2,166.5,162.2,"196,96K",0.024660912453761
15.01.2021,162.6,162.5,162.7,161,"185,00K",0.000615384615385
14.01.2021,162.5,163.9,163.9,161.4,"144,70K",-0.008541793776693
13.01.2021,163.7,159.4,164.1,159,"241,44K",0.026976160602258
12.01.2021,159.4,159.9,161.2,157.2,"170,41K",-0.003126954346467
11.01.2021,159.5,161.7,164.3,159.2,"140,35K",-0.013605442176871
08.01.2021,161.8,160.5,162.6,160,"186,52K",0.00809968847352
07.01.2021,160.8,162,163.6,160.2,"204,83K",-0.007407407407407
06.01.2021,161.8,168.3,168.3,161.2,"291,16K",-0.038621509209745
05.01.2021,168.5,169.7,170.5,167.2,"122,96K",-0.007071302298173
04.01.2021,169.6,170.4,172.8,167.5,"241,07K",-0.004694835680751
30.12.2020,170.1,168.1,170.3,167.4,"144,76K",0.011897679952409
29.12.2020,167.9,167.6,169.7,167.3,"99,43K",0.001789976133652
28.12.2020,167.3,168.2,169.9,167,"150,55K",-0.005350772889417
23.12.2020,167.4,170.9,170.9,167.4,"108,59K",-0.020479812755998
22.12.2020,170.2,172.2,173.1,169.4,"104,03K",-0.011614401858304
21.12.2020,171.7,171.1,173.9,169.2,"179,24K",0.003506721215663
18.12.2020,170.7,167.6,171.3,167.5,"230,25K",0.018496420047733
17.12.2020,167.1,167.2,169.3,166.3,"126,30K",-0.000598086124402
16.12.2020,166.7,168.9,169,166.3,"174,71K",-0.013025458851392
15.12.2020,167.6,169.6,170,166.7,"185,29K",-0.011792452830189
14.12.2020,170.7,169.3,171.4,168,"157,13K",0.008269344359126
11.12.2020,170.5,169.6,171.2,169.2,"151,66K",0.005306603773585
10.12.2020,169.7,169.5,171.8,168.5,"237,47K",0.00117994100295
09.12.2020,168.5,171.4,171.5,168,"141,13K",-0.016919486581097
08.12.2020,171.2,170.6,171.9,169.3,"119,04K",0.003516998827667
07.12.2020,170,168.9,171.9,168.2,"181,13K",0.006512729425696
04.12.2020,168.4,170.1,172.8,168.4,"168,57K",-0.009994121105232
03.12.2020,170,170.5,173.4,170,"131,92K",-0.002932551319648
02.12.2020,171,170,173.6,169.3,"187,82K",0.005882352941176
01.12.2020,172.2,179.5,179.9,172.2,"216,28K",-0.04066852367688
30.11.2020,176.6,172,177.5,172,"668,94K",0.026744186046512
27.11.2020,172.8,170.6,175,170.6,"221,27K",0.012895662368113
26.11.2020,169.2,168.6,171.6,167.1,"219,69K",0.00355871886121
25.11.2020,167.5,165.1,169,163.2,"294,11K",0.014536644457904
24.11.2020,165.1,174.5,174.9,163,"527,33K",-0.053868194842407
23.11.2020,173.5,174.2,176.2,171.9,"211,01K",-0.004018369690011
20.11.2020,173.7,172,173.8,171.8,"161,14K",0.009883720930233
19.11.2020,172.6,170.5,175.7,170.5,"312,14K",0.012316715542522
18.11.2020,169.9,174.5,176.2,169.9,"282,76K",-0.026361031518625
17.11.2020,173.5,172.5,178.2,171.1,"276,93K",0.005797101449275
16.11.2020,173.3,174.8,176,167,"385,69K",-0.008581235697941
13.11.2020,173.8,172.9,174.8,171.2,"183,38K",0.005205320994795
12.11.2020,173,172.8,178,170.5,"275,18K",0.001157407407407
11.11.2020,172.4,167,173.9,162.1,"458,04K",0.032335329341317
10.11.2020,166,168,172.3,159.7,"675,55K",-0.011904761904762
09.11.2020,168,202.8,207.6,165.4,"666,17K",-0.171597633136095
06.11.2020,201.2,199.8,202.6,195.2,"192,06K",0.007007007007007
05.11.2020,199.7,194.6,203.2,194.6,"224,66K",0.026207605344296
04.11.2020,194.2,186.6,195.6,186.6,"203,90K",0.040728831725616
03.11.2020,187.1,187.1,188.7,185,"175,47K",0
02.11.2020,185.7,188.9,189.4,184.5,"161,14K",-0.016940179989413
30.10.2020,188.5,186.4,189.9,186.2,"103,31K",0.011266094420601
29.10.2020,187.3,188.6,192.6,186.2,"154,87K",-0.006892895015907
28.10.2020,188.6,189.6,194.5,188.3,"269,04K",-0.005274261603376
27.10.2020,191,191,193.3,187.5,"227,77K",0
26.10.2020,189,187.3,193.7,187.3,"159,60K",0.009076348104645
23.10.2020,188,191.5,192,187.8,"159,07K",-0.018276762402089
22.10.2020,192.6,193.9,194.9,189.3,"139,93K",-0.006704486848891
21.10.2020,194.9,191.8,195.6,189,"201,77K",0.016162669447341
20.10.2020,191.1,193.7,194.4,189.7,"152,12K",-0.013422818791946
19.10.2020,193.6,196.3,197.5,193.3,"144,25K",-0.013754457463067
16.10.2020,194.6,189,197.4,189,"229,81K",0.02962962962963
15.10.2020,189,190.7,193.4,187.1,"203,55K",-0.008914525432617
14.10.2020,191.3,187.4,194.2,187,"183,97K",0.020811099252935
13.10.2020,187.5,188.8,189.8,185.1,"125,25K",-0.006885593220339
12.10.2020,190.1,187.4,190.4,185.7,"149,17K",0.014407684098186
09.10.2020,188,182.2,188,182,"141,35K",0.031833150384193
08.10.2020,182.5,186,187.9,182.5,"180,44K",-0.018817204301075
07.10.2020,186.9,184.5,187,183.9,"244,31K",0.013008130081301
06.10.2020,184.4,185,188.4,182.2,"377,88K",-0.003243243243243
05.10.2020,184,179.6,185.5,178.1,"181,24K",0.024498886414254
02.10.2020,178.1,176.1,180.8,175.2,"187,05K",0.011357183418512
01.10.2020,176.8,174.5,179.5,173.5,"243,27K",0.013180515759312
30.09.2020,171.9,172.6,173.8,170.3,"146,58K",-0.004055619930475
29.09.2020,173.3,171,173.7,168.8,"129,53K",0.013450292397661
28.09.2020,170.2,171,172.5,167.1,"146,13K",-0.004678362573099
25.09.2020,170.5,166.8,170.8,164.4,"199,20K",0.022182254196643
24.09.2020,167.7,167.2,167.9,163.3,"158,62K",0.00299043062201
23.09.2020,169.3,169,170.4,165,"215,16K",0.001775147928994
22.09.2020,169,169.4,174.4,164.8,"200,01K",-0.002361275088548
21.09.2020,169.4,167.7,173.7,163.8,"546,78K",0.010137149672034
18.09.2020,167.4,158.5,169.5,158.5,"404,38K",0.05615141955836
17.09.2020,158.2,159.9,160.6,157,"101,35K",-0.010631644777986
16.09.2020,160.9,161,162.9,159.4,"252,08K",-0.000621118012422
15.09.2020,157,154.7,159.7,154.3,"108,16K",0.014867485455721
14.09.2020,155.4,155.5,157.5,153.4,"120,42K",-0.00064308681672
11.09.2020,154.7,150.5,154.9,150.5,"131,02K",0.027906976744186
10.09.2020,150.7,152.3,152.7,148.8,"173,03K",-0.010505581089954
09.09.2020,152.3,144.6,154.4,143.9,"482,46K",0.053250345781466
08.09.2020,144.3,147.6,148.7,141,"160,76K",-0.022357723577236
07.09.2020,144.5,143.2,144.5,141.5,"128,30K",0.009078212290503
04.09.2020,141.8,142,147.6,140.5,"214,80K",-0.001408450704225
03.09.2020,142.6,152,153.7,142.6,"237,38K",-0.061842105263158
02.09.2020,151,153,153.9,149.1,"125,41K",-0.013071895424837
01.09.2020,152.1,152.2,155.6,151.5,"212,43K",-0.00065703022339
31.08.2020,151.5,146.8,153.5,145.6,"216,45K",0.032016348773842
28.08.2020,145.8,154,154.6,143.1,"460,29K",-0.053246753246753
27.08.2020,153.2,168.2,168.5,153,"513,17K",-0.089179548156956
26.08.2020,167.7,164.4,168.2,163,"150,39K",0.02007299270073
25.08.2020,163.9,164.2,165.3,162.5,"93,67K",-0.001827040194884
24.08.2020,163.5,163.6,166.7,161.9,"137,90K",-0.000611246943765
21.08.2020,163,163.6,165.1,161.5,"117,69K",-0.003667481662592
20.08.2020,162.9,161.5,165.8,161,"102,68K",0.008668730650155
19.08.2020,162.2,159.2,163.9,158.8,"111,77K",0.018844221105528
18.08.2020,159.1,162.3,162.3,157.7,"116,74K",-0.019716574245225
17.08.2020,162.8,156.4,163.6,155.7,"138,04K",0.040920716112532
14.08.2020,156.1,158.6,160.6,156,"177,26K",-0.015762925598991
13.08.2020,159.5,160.5,161.9,156.3,"147,19K",-0.006230529595016
12.08.2020,160.2,157.5,160.2,156.5,"133,27K",0.017142857142857
11.08.2020,157.5,154,157.9,153.4,"181,40K",0.022727272727273
10.08.2020,152.8,158.9,158.9,152.2,"182,16K",-0.038388923851479
07.08.2020,158.6,154,158.6,154,"133,13K",0.02987012987013
06.08.2020,154.4,157,160.5,153.7,"195,14K",-0.01656050955414
05.08.2020,157.6,160.7,161.7,155.5,"387,12K",-0.01929060360921
04.08.2020,160.6,167.7,168.7,158.1,"203,71K",-0.042337507453787
03.08.2020,167.5,165.2,170,165.2,"92,75K",0.013922518159806
31.07.2020,166,167,170.3,164.6,"132,92K",-0.005988023952096
30.07.2020,167.5,169,174.6,166,"269,68K",-0.00887573964497
29.07.2020,173.3,170.6,173.9,169,"143,98K",0.015826494724502
28.07.2020,170.6,170,171.3,167.8,"116,04K",0.003529411764706
27.07.2020,170.8,160.5,171.9,160.2,"161,96K",0.064174454828661
24.07.2020,162.7,166,167.6,160.7,"310,61K",-0.019879518072289
23.07.2020,169.3,170,170.3,165,"446,70K",-0.004117647058823
22.07.2020,175,177.4,179.5,173.1,"250,11K",-0.013528748590755
21.07.2020,178.3,181.7,182.1,176.7,"157,22K",-0.018712162905889
20.07.2020,180.9,177.9,182.2,176.6,"120,78K",0.016863406408095
17.07.2020,178.2,178.1,180.5,177.1,"124,17K",0.000561482313307
16.07.2020,178.1,173.9,178.5,173.1,"116,18K",0.024151811385854
15.07.2020,175.8,174.1,177.5,172.5,"180,75K",0.009764503159104
14.07.2020,173.2,172.4,174.4,170.3,"170,11K",0.004640371229698
13.07.2020,173.7,174.5,174.5,168.4,"162,43K",-0.00458452722063
10.07.2020,172.9,171.3,176.6,170.4,"160,52K",0.009340338587274
09.07.2020,171.5,178.9,179.7,170.3,"273,84K",-0.041363890441588
08.07.2020,179.2,178.2,182,178,"155,30K",0.005611672278339
07.07.2020,178.5,174.2,179.8,174,"235,57K",0.024684270952928
06.07.2020,174.7,172,174.7,169.8,"148,35K",0.015697674418605
03.07.2020,171.1,171.4,173.3,169.9,"119,97K",-0.001750291715286
02.07.2020,171.3,172.1,174.8,169.3,"289,76K",-0.004648460197559
01.07.2020,171,171.3,173.6,168.6,"182,41K",-0.001751313485114
30.06.2020,170.4,169.7,171.5,166.3,"215,91K",0.004124926340601
29.06.2020,169.7,172.3,174.9,168.2,"197,09K",-0.015089959373187
26.06.2020,171.4,174.3,177.2,171.1,"220,92K",-0.016637980493402
25.06.2020,173,170.3,174.9,169.7,"266,30K",0.015854374633001
24.06.2020,170.3,174.8,175.8,170.3,"165,36K",-0.025743707093822
23.06.2020,175.8,171.9,176,169,"319,93K",0.022687609075044
22.06.2020,170.7,167,174.9,165.4,"311,90K",0.022155688622755
19.06.2020,167.4,169.1,169.8,164.7,"359,52K",-0.010053222945003
18.06.2020,169.5,169.6,173.5,167.9,"188,71K",-0.000589622641509
17.06.2020,170.3,170.3,173,167.4,"216,91K",0
16.06.2020,170.8,172,172.3,167.2,"306,59K",-0.006976744186046
