Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,8196,8176,8260,8062,"21,38M",0.002446183953033
18.02.2021,8200,8293,8320,8177,"22,70M",-0.01121427710117
17.02.2021,8303,8327,8349,8228,"18,17M",-0.002882190464753
16.02.2021,8303,8452,8468,8303,"19,32M",-0.017628963558921
15.02.2021,8465,8530,8530,8464,"14,91M",-0.007620164126612
12.02.2021,8468,8431,8500,8361,"18,11M",0.004388566006405
11.02.2021,8462,8318,8500,8288,"21,84M",0.017311853811012
10.02.2021,8318,8337,8410,8255,"23,75M",-0.002278997241214
09.02.2021,8284,8500,8515,8278,"26,16M",-0.025411764705882
08.02.2021,8500,8488,8549,8366,"23,99M",0.001413760603205
05.02.2021,8447,8600,8627,8412,"31,82M",-0.017790697674419
04.02.2021,8556,8560,8582,8416,"23,20M",-0.000467289719626
03.02.2021,8552,8387,8581,8321,"32,59M",0.019673303922738
02.02.2021,8200,8238,8285,8146,"20,72M",-0.004612770089828
01.02.2021,8221,8246,8292,8162,"15,03M",-0.003031772980839
29.01.2021,8191,8251,8347,8184,"26,52M",-0.007271845836868
28.01.2021,8401,8140,8440,8073,"26,38M",0.032063882063882
27.01.2021,8241,8347,8410,8113,"26,27M",-0.012699173355697
26.01.2021,8400,8334,8439,8313,"18,14M",0.007919366450684
25.01.2021,8335,8400,8419,8211,"20,31M",-0.007738095238095
22.01.2021,8345,8420,8453,8041,"24,76M",-0.008907363420428
21.01.2021,8459,8621,8660,8453,"22,13M",-0.018791323512354
20.01.2021,8578,8592,8600,8436,"28,49M",-0.001629422718808
19.01.2021,8574,8620,8648,8558,"18,62M",-0.005336426914153
18.01.2021,8585,8680,8724,8531,"22,46M",-0.01094470046083
15.01.2021,8859,8875,8914,8824,"28,80M",-0.001802816901408
14.01.2021,8833,8901,8977,8833,"36,56M",-0.007639591057185
13.01.2021,8925,8803,8967,8793,"23,01M",0.013858911734636
12.01.2021,8803,8990,9047,8793,"31,07M",-0.020800889877642
11.01.2021,8948,8871,8961,8772,"29,82M",0.008679968436478
08.01.2021,8938,8856,8964,8809,"29,66M",0.009259259259259
07.01.2021,8777,9000,9002,8777,"29,99M",-0.024777777777778
06.01.2021,8929,8460,8949,8417,"44,57M",0.055437352245863
05.01.2021,8395,8410,8440,8324,"23,04M",-0.001783590963139
04.01.2021,8457,8350,8546,8300,"27,11M",0.012814371257485
30.12.2020,8276,8301,8328,8251,"14,16M",-0.003011685339116
29.12.2020,8276,8362,8403,8275,"13,02M",-0.01028462090409
28.12.2020,8345,8324,8347,8260,"13,41M",0.002522825564632
23.12.2020,8271,8170,8288,8143,"23,53M",0.012362301101591
22.12.2020,8071,7898,8071,7862,"28,29M",0.021904279564447
21.12.2020,7856,8071,8095,7735,"32,65M",-0.026638582579606
18.12.2020,8160,8170,8260,8111,"40,30M",-0.001223990208078
17.12.2020,8173,8196,8310,8170,"26,97M",-0.002806246949732
16.12.2020,8162,8106,8256,8063,"21,42M",0.006908462867012
15.12.2020,8045,8073,8124,8010,"21,83M",-0.003468351294438
14.12.2020,8122,8124,8222,8106,"18,47M",-0.000246184145741
11.12.2020,8049,8208,8250,8049,"19,09M",-0.01937134502924
