Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,9198,9051,9380,8890,"27,91M",0.016241299303944
18.02.2021,9097,9229,9315,9044,"21,83M",-0.014302741358761
17.02.2021,9163,9075,9229,9069,"23,54M",0.00969696969697
16.02.2021,9079,9150,9229,9073,"19,05M",-0.00775956284153
15.02.2021,9123,8990,9164,8968,"26,06M",0.014794215795328
12.02.2021,8879,8750,8879,8630,"13,45M",0.014742857142857
11.02.2021,8777,8860,8870,8702,"13,53M",-0.009367945823928
10.02.2021,8844,8806,8858,8705,"17,41M",0.004315239609357
09.02.2021,8775,8790,8900,8710,"23,03M",-0.001706484641638
08.02.2021,8681,8680,8736,8574,"26,60M",0.000115207373272
05.02.2021,8611,8627,8725,8486,"24,35M",-0.001854642401762
04.02.2021,8570,8513,8640,8479,"20,89M",0.006695641959356
03.02.2021,8489,8510,8517,8329,"25,68M",-0.002467685076381
02.02.2021,8311,8270,8362,8230,"18,08M",0.004957678355502
01.02.2021,8200,8409,8409,8155,"20,24M",-0.024854322749435
29.01.2021,8352,8414,8494,8352,"15,98M",-0.007368671262182
28.01.2021,8548,8458,8589,8336,"15,90M",0.010640813431071
27.01.2021,8547,8454,8594,8384,"15,64M",0.011000709723208
26.01.2021,8528,8302,8596,8225,"16,65M",0.027222356058781
25.01.2021,8353,8600,8620,8305,"16,26M",-0.028720930232558
22.01.2021,8542,8572,8585,8402,"19,27M",-0.003499766682221
21.01.2021,8668,8930,8940,8668,"15,36M",-0.029339305711086
20.01.2021,8901,8840,8908,8810,"11,79M",0.006900452488688
19.01.2021,8827,8854,8920,8789,"9,53M",-0.003049469166478
18.01.2021,8856,8729,8889,8690,"8,64M",0.014549203803414
15.01.2021,8831,9043,9071,8669,"21,82M",-0.0234435474953
14.01.2021,9005,9000,9119,8965,"17,62M",0.000555555555556
13.01.2021,9060,9088,9173,9032,"16,51M",-0.003080985915493
12.01.2021,9054,9030,9160,8978,"17,78M",0.00265780730897
11.01.2021,8978,8957,9045,8818,"13,65M",0.002344535000558
08.01.2021,9030,9120,9140,8956,"15,55M",-0.009868421052632
07.01.2021,9068,9140,9143,8919,"19,95M",-0.007877461706783
06.01.2021,9048,8840,9110,8782,"31,33M",0.023529411764706
05.01.2021,8761,8430,8761,8408,"23,42M",0.03926453143535
04.01.2021,8448,8604,8756,8397,"19,73M",-0.01813110181311
30.12.2020,8548,8593,8627,8534,"9,08M",-0.005236820667986
29.12.2020,8562,8620,8629,8527,"9,59M",-0.006728538283063
28.12.2020,8596,8660,8698,8582,"8,20M",-0.007390300230947
23.12.2020,8584,8390,8617,8370,"12,59M",0.023122765196663
22.12.2020,8360,8212,8360,8180,"13,15M",0.018022406234778
21.12.2020,8244,8320,8399,8058,"28,25M",-0.009134615384615
18.12.2020,8621,8669,8769,8600,"20,44M",-0.00553697081555
17.12.2020,8711,8832,8849,8688,"15,50M",-0.01370018115942
16.12.2020,8756,8800,8880,8627,"14,86M",-0.005
15.12.2020,8752,8618,8776,8575,"12,72M",0.015548851241587
14.12.2020,8678,8901,8977,8645,"18,31M",-0.025053364790473
11.12.2020,8808,8919,8945,8737,"15,76M",-0.012445341405987
10.12.2020,8936,8874,8992,8733,"17,86M",0.006986702727068
09.12.2020,8843,8888,9009,8811,"23,62M",-0.00506300630063
08.12.2020,8790,8675,8838,8675,"11,63M",0.013256484149856
07.12.2020,8767,8750,8806,8625,"17,56M",0.001942857142857
04.12.2020,8744,8550,8816,8532,"29,68M",0.022690058479532
03.12.2020,8452,8464,8498,8356,"14,38M",-0.001417769376181
02.12.2020,8499,8379,8558,8283,"17,98M",0.014321518080917
01.12.2020,8415,8300,8470,8211,"15,49M",0.013855421686747
30.11.2020,8303,8473,8577,8303,"26,23M",-0.020063731854125
27.11.2020,8582,8501,8646,8460,"16,88M",0.009528290789319
26.11.2020,8558,8680,8700,8517,"16,11M",-0.014055299539171
25.11.2020,8672,8760,8828,8566,"26,81M",-0.010045662100457
24.11.2020,8620,8466,8739,8452,"34,19M",0.018190408693598
23.11.2020,8330,8223,8375,8223,"22,24M",0.013012282621914
20.11.2020,8125,8081,8193,8071,"18,40M",0.005444870684321
19.11.2020,8077,8077,8129,7974,"21,50M",0
18.11.2020,8194,8068,8209,7995,"22,02M",0.015617253346554
17.11.2020,8086,7960,8126,7800,"22,59M",0.015829145728643
16.11.2020,7968,7780,8095,7737,"34,90M",0.024164524421594
13.11.2020,7660,7508,7698,7485,"18,29M",0.020245071923282
12.11.2020,7618,7491,7673,7453,"21,51M",0.016953677746629
11.11.2020,7592,7797,7880,7562,"26,71M",-0.026292163652687
10.11.2020,7678,7416,7738,7305,"40,46M",0.035329018338727
09.11.2020,7378,6649,7440,6590,"53,59M",0.109640547450744
06.11.2020,6542,6550,6645,6469,"17,35M",-0.001221374045802
05.11.2020,6596,6620,6654,6528,"19,04M",-0.003625377643505
04.11.2020,6597,6360,6619,6329,"24,49M",0.037264150943396
03.11.2020,6514,6446,6540,6415,"26,51M",0.010549177784673
02.11.2020,6362,6000,6362,5939,"25,47M",0.060333333333333
