Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,66.1,64.82,66.34,64.7,"234,26K",0.019746991669238
18.02.2021,64.48,65.46,65.98,64.28,"220,55K",-0.014970974641002
17.02.2021,65.32,66.84,67,65.1,"259,60K",-0.022740873728307
16.02.2021,67.16,67.92,68.04,66.98,"221,79K",-0.011189634864547
15.02.2021,67.9,67.72,68.28,67.6,"159,60K",0.002658003544005
12.02.2021,67.5,67.12,67.5,66.16,"229,42K",0.005661501787843
11.02.2021,66.96,68.32,68.54,66.82,"270,21K",-0.019906323185012
10.02.2021,67.9,68.76,68.82,67.66,"299,57K",-0.012507271669575
09.02.2021,68.54,68.72,68.92,68.22,"282,29K",-0.002619324796275
08.02.2021,68.74,68.62,69.26,67.72,"377,66K",0.001748761294083
05.02.2021,67.94,67.32,68.46,67.06,"555,59K",0.009209744503862
04.02.2021,66.86,64.66,67.54,64.66,"554,04K",0.034024126198577
03.02.2021,64.52,66.6,66.96,64.42,"519,44K",-0.031231231231231
02.02.2021,64.6,62.9,64.76,62.76,"500,93K",0.027027027027027
01.02.2021,62.26,61.56,62.5,61.4,"267,54K",0.01137102014295
29.01.2021,61.38,62,62.74,61.38,"383,13K",-0.01
28.01.2021,62.88,61.22,62.92,59.9,"337,93K",0.027115321790265
27.01.2021,61.76,64.36,64.36,61.24,"499,00K",-0.040397762585457
26.01.2021,64.16,62.52,64.82,62.52,"283,66K",0.026231605886116
25.01.2021,62.98,65.42,66.08,62.6,"321,44K",-0.037297462549679
22.01.2021,64.74,65,65.26,64,"345,81K",-0.004
21.01.2021,65.7,67,67.3,65.7,"275,82K",-0.019402985074627
20.01.2021,66.9,66.52,66.94,65.66,"381,24K",0.005712567648828
19.01.2021,66.18,67.3,67.42,66.08,"423,78K",-0.016641901931649
18.01.2021,66.82,64.84,67.2,64.8,"349,78K",0.030536705737199
15.01.2021,65.1,66.34,66.56,64.56,"314,13K",-0.018691588785047
14.01.2021,66.26,65.84,66.98,65.36,"429,62K",0.006379100850547
13.01.2021,65.48,66,66.36,64.88,"366,36K",-0.007878787878788
12.01.2021,66,66.12,66.44,65.72,"265,23K",-0.001814882032668
11.01.2021,66,67.16,67.56,65.42,"475,47K",-0.017272185824896
08.01.2021,67.16,68.08,68.52,66.88,"416,07K",-0.013513513513514
07.01.2021,67.78,67.2,68.18,66.76,"498,70K",0.008630952380952
06.01.2021,66.8,66.38,66.96,65.2,"289,42K",0.006327206990057
05.01.2021,65.56,66.6,67.04,65.56,"512,02K",-0.015615615615616
04.01.2021,66.5,67,67.14,66.28,"578,76K",-0.007462686567164
30.12.2020,66.22,66.76,66.96,66.22,"317,56K",-0.008088675853805
29.12.2020,66.48,66.88,66.96,66.24,"345,85K",-0.005980861244019
28.12.2020,66.6,66.54,66.8,65.9,"275,45K",0.000901713255185
23.12.2020,65.66,65.84,65.96,64.88,"389,94K",-0.00273390036452
22.12.2020,65.36,62.68,65.62,62.48,"461,22K",0.042756860242502
21.12.2020,62.14,62,62.54,61.48,"838,96K",0.002258064516129
18.12.2020,62.56,61.86,62.74,61.7,"692,32K",0.011315874555448
17.12.2020,61.9,61.52,62.28,61.52,"402,59K",0.006176853055917
16.12.2020,61.4,60.44,61.4,60.44,"414,65K",0.015883520847121
15.12.2020,60.32,59.5,60.48,59.42,"279,92K",0.013781512605042
14.12.2020,59.64,60.34,60.34,59.52,"246,15K",-0.011600928074246
11.12.2020,59.2,59.96,59.98,59,"291,89K",-0.012675116744496
10.12.2020,60.2,60.32,60.72,59.46,"325,31K",-0.001989389920424
09.12.2020,60.16,60.3,60.74,59.7,"283,93K",-0.002321724709784
08.12.2020,59.7,58.82,60.4,58.62,"310,23K",0.014960897653859
07.12.2020,59.54,59.8,59.98,59.06,"211,05K",-0.004347826086956
04.12.2020,59.82,59.7,60.22,59.68,"275,84K",0.002010050251256
03.12.2020,59.7,59.32,59.88,58.96,"212,07K",0.006405933917734
02.12.2020,59.44,59.36,59.56,58.1,"296,31K",0.001347708894879
01.12.2020,59.44,58.56,59.44,58.46,"291,56K",0.015027322404372
30.11.2020,58.38,58.3,59.46,58.18,"1,32M",0.001372212692968
27.11.2020,58.72,58.02,59.06,57.92,"244,30K",0.012064805239573
26.11.2020,58.24,58.78,58.8,57.56,"238,01K",-0.009186798230691
25.11.2020,58.62,59.4,59.7,58.16,"467,62K",-0.013131313131313
24.11.2020,59.1,57.62,59.1,57.6,"516,32K",0.025685525859077
23.11.2020,56.92,57.4,57.72,56.78,"285,62K",-0.008362369337979
20.11.2020,56.7,56.88,57.38,56.48,"486,72K",-0.003164556962025
19.11.2020,56.86,57.36,57.48,56.64,"704,52K",-0.008716875871688
18.11.2020,58.14,56.9,58.14,56.56,"492,81K",0.021792618629174
17.11.2020,57.12,56.22,57.42,56.1,"347,70K",0.016008537886873
16.11.2020,56.44,55.3,56.88,54.62,"529,23K",0.020614828209765
13.11.2020,54.56,52.94,54.86,52.94,"331,55K",0.030600680015112
12.11.2020,53.32,53.98,54.54,53.06,"324,91K",-0.012226750648388
11.11.2020,54.5,53.8,55.06,53.66,"399,72K",0.013011152416357
10.11.2020,53.98,53.32,54.02,52.66,"579,88K",0.012378094523631
09.11.2020,53.42,51.3,54.42,50.92,"907,23K",0.041325536062378
06.11.2020,50.52,50.42,51.06,49.8,"262,00K",0.001983339944467
05.11.2020,50.84,49.97,50.94,49.61,"451,46K",0.017410446267761
04.11.2020,49.72,47.95,49.95,47.59,"471,83K",0.036913451511992
03.11.2020,48.72,47.46,48.72,47.27,"435,52K",0.026548672566372
02.11.2020,47.12,45.01,47.13,44.5,"435,67K",0.046878471450789
30.10.2020,44.6,43.8,44.88,43.34,"717,82K",0.018264840182649
29.10.2020,43.99,44.08,44.8,43.57,"454,21K",-0.002041742286751
28.10.2020,44.08,46,46.28,43.89,"651,40K",-0.041739130434783
27.10.2020,46.72,48.39,48.39,46.58,"373,31K",-0.034511262657574
26.10.2020,48.24,47.22,48.7,47.21,"465,83K",0.021601016518425
23.10.2020,48.65,47.37,48.85,47.21,"527,39K",0.027021321511505
22.10.2020,47.45,46,47.45,45.73,"398,18K",0.031521739130435
21.10.2020,46.32,48.12,48.12,46.32,"305,29K",-0.037406483790524
20.10.2020,47.75,47.33,48.12,46.85,"261,61K",0.008873864356645
19.10.2020,47.55,47.09,47.88,47,"310,22K",0.009768528349968
16.10.2020,46.71,45.58,46.75,45.25,"488,83K",0.024791575252304
15.10.2020,45.39,46.66,46.66,45.07,"511,99K",-0.027218174024861
14.10.2020,47.22,47.23,47.64,47.13,"274,34K",-0.000211729832733
