Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,163.75,163.2,165,163.1,"347,40K",0.003370098039216
18.02.2021,163.85,165.8,165.95,163.6,"363,65K",-0.011761158021713
17.02.2021,166,166,166.4,164.15,"393,68K",0
16.02.2021,167.15,168.3,168.85,166.85,"264,26K",-0.006833036244801
15.02.2021,168.3,170.1,170.25,167.8,"246,06K",-0.010582010582011
12.02.2021,168.75,168.15,169.4,166.65,"237,33K",0.0035682426405
11.02.2021,168.8,170.05,171.5,168.65,"318,95K",-0.007350779182593
10.02.2021,171.4,173.5,173.5,170.1,"332,49K",-0.012103746397695
09.02.2021,172.3,172.4,173.2,170.9,"383,91K",-0.000580046403712
08.02.2021,172,168.9,172.75,168.5,"499,55K",0.018354055654233
05.02.2021,168.1,169.65,170.5,167.6,"546,22K",-0.00913645741232
04.02.2021,169.35,165.3,170.4,163,"775,96K",0.024500907441016
03.02.2021,164.9,174,174.15,164.75,"1,17M",-0.052298850574713
02.02.2021,171.15,179,181.9,170.15,"1,14M",-0.043854748603352
01.02.2021,176.4,173.9,177.5,172.85,"506,34K",0.014376078205866
29.01.2021,172.25,168.6,173.1,168.25,"559,08K",0.021648873072361
28.01.2021,171.1,171.5,171.8,168.6,"382,07K",-0.002332361516035
27.01.2021,171.55,172.8,173.75,169.1,"490,08K",-0.007233796296296
26.01.2021,172.8,172.85,174.75,171.05,"386,92K",-0.000289268151576
25.01.2021,173.75,175.05,175.45,172,"338,02K",-0.007426449585833
22.01.2021,174.85,176.55,177.7,174.4,"351,16K",-0.009629000283206
21.01.2021,177.05,176.65,178,174.9,"326,41K",0.002264364562695
20.01.2021,175.6,172.35,175.6,172.35,"359,16K",0.01885697708152
19.01.2021,172.9,176.15,176.8,172.7,"586,00K",-0.018450184501845
18.01.2021,176.3,174.75,176.55,171.5,"246,78K",0.008869814020029
15.01.2021,176.05,178.55,179.6,175.15,"460,11K",-0.014001680201624
14.01.2021,180.65,181.65,184,180.65,"372,71K",-0.005505092210295
13.01.2021,180.7,178.4,181.45,177.9,"316,83K",0.012892376681614
12.01.2021,179.5,179.4,179.75,177.45,"332,88K",0.000557413600892
11.01.2021,179.75,178.3,180.8,176.85,"335,56K",0.008132361189007
08.01.2021,180.25,181.1,182.15,178.25,"408,14K",-0.00469353948095
07.01.2021,179.7,180,181,177.7,"486,38K",-0.001666666666667
06.01.2021,181.25,185.35,185.35,179.85,"579,40K",-0.0221203129215
05.01.2021,183.8,186.45,187.2,183.75,"453,11K",-0.01421292571735
04.01.2021,187.6,190.9,191.3,186.55,"408,98K",-0.017286537454165
30.12.2020,188.65,190.3,190.6,188.65,"244,07K",-0.008670520231214
29.12.2020,189.05,188.35,190.75,188.1,"366,47K",0.003716485266791
28.12.2020,187.05,187.5,188.45,186.9,"204,88K",-0.0024
23.12.2020,186.65,186.8,187.45,186.25,"282,14K",-0.000802997858672
22.12.2020,186.25,183.3,186.25,182.15,"328,98K",0.016093835242771
21.12.2020,181.55,181.6,183.55,179.85,"404,10K",-0.000275330396476
18.12.2020,184.15,182.5,184.8,182.05,"541,23K",0.009041095890411
17.12.2020,183.5,184,184,182.2,"345,98K",-0.002717391304348
16.12.2020,182.45,182.25,184.6,181.55,"445,68K",0.001097393689986
15.12.2020,181.6,179.4,182.25,178.9,"514,60K",0.012263099219621
14.12.2020,178.9,177.3,180.05,176.85,"324,15K",0.009024252679075
11.12.2020,176.75,174.9,176.75,173.65,"320,80K",0.010577472841624
10.12.2020,176.2,178.6,179.4,175.9,"383,03K",-0.013437849944009
09.12.2020,179.55,176,180.1,176,"540,72K",0.020170454545455
08.12.2020,174.65,173.05,174.9,172.65,"208,96K",0.009245882692863
07.12.2020,174.05,173.85,174.3,171.4,"291,72K",0.001150417026172
04.12.2020,174.2,177.5,177.5,173.15,"598,81K",-0.018591549295775
03.12.2020,177.8,177.4,178.5,176.8,"310,07K",0.002254791431793
02.12.2020,177.4,177,177.9,175.85,"327,69K",0.00225988700565
01.12.2020,177.15,178.45,178.6,177,"296,94K",-0.007284953768563
30.11.2020,176.8,177,179.1,176.8,"426,79K",-0.001129943502825
27.11.2020,178.55,176.65,178.9,176.45,"272,53K",0.010755731672799
26.11.2020,176.8,178.2,178.65,176.8,"211,47K",-0.007856341189674
25.11.2020,177.4,177.3,178.45,176.75,"384,47K",0.000564015792442
24.11.2020,177.85,178,178.35,175.85,"394,79K",-0.000842696629214
23.11.2020,176.5,179,179.45,176.5,"305,11K",-0.013966480446927
20.11.2020,178.5,179.85,180.3,178.1,"302,17K",-0.007506255212677
19.11.2020,179.95,180.5,182.05,179.1,"401,05K",-0.003047091412742
18.11.2020,179.75,177.05,181.2,177.05,"436,45K",0.015249929398475
17.11.2020,177.2,175.15,178.35,174.65,"419,54K",0.011704253497003
16.11.2020,175,176.05,177.45,173.9,"484,55K",-0.00596421471173
13.11.2020,174.5,175.7,176.5,174.5,"388,26K",-0.006829823562891
12.11.2020,176.35,176,178.75,175.25,"345,73K",0.001988636363636
11.11.2020,177.45,173.5,178.65,173.05,"561,41K",0.022766570605187
10.11.2020,173.1,175.55,177.25,170,"862,28K",-0.013956137852464
09.11.2020,178.55,176.5,182.95,175.95,"815,68K",0.011614730878187
06.11.2020,174.8,174.95,175.75,172.7,"427,77K",-0.000857387825093
05.11.2020,174.55,174.5,177.8,172.3,"774,66K",0.000286532951289
04.11.2020,172.15,166,174.4,164.9,"917,60K",0.037048192771084
03.11.2020,168.3,157.7,168.5,157.15,"992,07K",0.067216233354471
02.11.2020,157.2,153.15,157.2,152.35,"374,95K",0.026444662095984
30.10.2020,153.15,150.5,153.75,150.5,"425,03K",0.017607973421927
29.10.2020,152.85,151.5,154.05,150.65,"334,54K",0.008910891089109
28.10.2020,151.85,154.05,154.9,151.55,"624,46K",-0.014281077572217
27.10.2020,156.95,157.25,158.75,155.95,"319,62K",-0.001907790143084
26.10.2020,156.35,158,158.35,156.35,"312,24K",-0.010443037974684
23.10.2020,160.5,160.1,161.75,157.8,"343,24K",0.002498438475953
22.10.2020,161,158.5,161.3,157.6,"312,14K",0.015772870662461
21.10.2020,159.8,163.5,163.5,159.8,"376,81K",-0.02262996941896
20.10.2020,162.8,162,163.6,161.6,"190,76K",0.004938271604938
19.10.2020,162.85,164.5,166.1,162.3,"247,35K",-0.010030395136778
16.10.2020,163.85,160.25,165.2,159.9,"547,21K",0.022464898595944
15.10.2020,158.45,156.35,159.1,155,"546,29K",0.013431403901503
14.10.2020,157.6,157.5,158.4,157.05,"257,60K",0.000634920634921
13.10.2020,157.35,156.05,158.3,155.5,"328,94K",0.008330663248959
12.10.2020,156.85,155.2,157.1,153.9,"313,64K",0.010631443298969
09.10.2020,154.85,153.8,154.9,151.8,"386,54K",0.006827048114434
08.10.2020,154.55,156.75,157.2,153.7,"388,63K",-0.014035087719298
07.10.2020,156.75,152.9,156.75,152.35,"474,53K",0.025179856115108
06.10.2020,152.4,154.75,154.75,152.2,"323,48K",-0.015185783521809
05.10.2020,153.8,155.25,155.4,152.7,"296,94K",-0.009339774557166
02.10.2020,155.4,155.25,156.65,154.1,"236,11K",0.000966183574879
01.10.2020,156.9,157.7,158.45,155.95,"313,95K",-0.005072923272035
30.09.2020,156.65,155.2,157.5,154.95,"301,36K",0.009342783505155
29.09.2020,156.15,157.4,157.7,155.35,"243,92K",-0.007941550190597
28.09.2020,157.35,156.5,157.85,155.85,"300,70K",0.005431309904153
25.09.2020,155.05,156.65,156.8,153.2,"354,80K",-0.010213852537504
24.09.2020,157.05,154.2,157.6,154.2,"335,95K",0.018482490272374
23.09.2020,156.3,157.2,157.7,155.6,"342,88K",-0.005725190839695
22.09.2020,156.05,156.05,157.1,154.45,"253,99K",0
21.09.2020,154.45,158.2,158.85,154,"360,46K",-0.023704171934261
18.09.2020,159.1,160,161.3,159,"508,96K",-0.005625
17.09.2020,160.5,158.6,161.05,158.1,"237,63K",0.011979823455233
16.09.2020,160.85,162.9,164.05,160.3,"311,94K",-0.012584407612032
15.09.2020,162.2,161.2,164.2,160.65,"294,92K",0.006203473945409
14.09.2020,161.4,162.95,163.2,160.7,"188,31K",-0.009512120282295
11.09.2020,162,159.95,162.3,159.95,"287,29K",0.012816505157862
10.09.2020,160.2,160.05,161.25,158.6,"290,52K",0.000937207122774
09.09.2020,160.9,157.85,161.25,157.6,"349,76K",0.019322141273361
