Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,14.85,14.66,14.89,14.575,"1,88M",0.012960436562074
18.02.2021,14.675,14.86,14.98,14.675,"2,05M",-0.012449528936743
17.02.2021,14.9,15.02,15.075,14.855,"2,08M",-0.007989347536618
16.02.2021,15.055,15.19,15.245,14.97,"1,76M",-0.008887425938117
15.02.2021,15.185,15.2,15.415,15.14,"2,03M",-0.000986842105263
12.02.2021,15.065,14.785,15.09,14.575,"2,23M",0.018938112952317
11.02.2021,14.785,15.055,15.12,14.755,"2,02M",-0.017934241115908
10.02.2021,15.005,14.78,15.085,14.55,"3,21M",0.015223274695535
09.02.2021,14.625,14.98,15.04,14.565,"5,79M",-0.02369826435247
08.02.2021,14.95,14.795,15.09,14.705,"2,94M",0.010476512335248
05.02.2021,14.6,14.585,14.77,14.45,"2,88M",0.001028453890984
04.02.2021,14.46,13.675,14.59,13.59,"4,48M",0.057404021937843
03.02.2021,13.615,13.895,13.935,13.49,"3,42M",-0.020151133501259
02.02.2021,13.385,13.22,13.41,13.18,"2,06M",0.012481089258699
01.02.2021,13.11,12.955,13.125,12.935,"1,30M",0.011964492473948
29.01.2021,12.875,12.99,13.04,12.875,"1,86M",-0.008852963818322
28.01.2021,13.135,12.88,13.215,12.805,"1,66M",0.019798136645963
27.01.2021,12.955,13.13,13.19,12.9,"2,25M",-0.013328255902513
26.01.2021,13.195,13.12,13.295,12.975,"1,13M",0.005716463414634
25.01.2021,13.04,13.355,13.4,13.005,"1,46M",-0.023586671658555
22.01.2021,13.305,13.32,13.4,13.07,"2,00M",-0.001126126126126
21.01.2021,13.41,13.555,13.585,13.325,"1,99M",-0.010697159719661
20.01.2021,13.465,13.49,13.63,13.385,"1,40M",-0.001853224610823
19.01.2021,13.49,13.92,13.935,13.45,"1,86M",-0.030890804597701
18.01.2021,13.84,13.685,13.885,13.68,"1,35M",0.01132626963829
15.01.2021,13.685,13.885,14,13.6,"2,94M",-0.014404033129276
14.01.2021,13.84,13.94,13.94,13.73,"2,28M",-0.007173601147776
13.01.2021,13.89,13.975,13.99,13.76,"1,88M",-0.00608228980322
12.01.2021,14,13.82,14.04,13.745,"2,47M",0.013024602026049
11.01.2021,13.735,13.8,13.995,13.66,"2,55M",-0.004710144927536
08.01.2021,13.605,13.78,13.925,13.555,"1,93M",-0.012699564586357
07.01.2021,13.735,13.59,13.75,13.455,"2,65M",0.010669610007358
06.01.2021,13.455,13.59,13.62,13.28,"2,63M",-0.009933774834437
05.01.2021,13.44,13.685,13.76,13.41,"2,32M",-0.017902813299233
04.01.2021,13.69,13.5,13.74,13.38,"2,51M",0.014074074074074
30.12.2020,13.4,13.42,13.56,13.4,"1,32M",-0.001490312965723
29.12.2020,13.385,13.515,13.575,13.295,"1,27M",-0.009618941916389
28.12.2020,13.425,13.285,13.51,13.24,"1,99M",0.010538200978547
23.12.2020,13.235,13.14,13.255,13.09,"1,88M",0.007229832572298
22.12.2020,13.05,12.84,13.065,12.8,"1,85M",0.016355140186916
21.12.2020,12.81,12.51,12.84,12.4,"2,85M",0.023980815347722
18.12.2020,12.795,13.025,13.07,12.75,"4,99M",-0.017658349328215
17.12.2020,13.075,13.15,13.165,12.955,"1,58M",-0.005703422053232
16.12.2020,13.015,13.18,13.355,12.925,"2,33M",-0.012518968133536
15.12.2020,13.185,13.08,13.26,13.08,"2,02M",0.00802752293578
