Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,15.58,15.49,15.67,15.455,"4,06M",0.005810200129116
18.02.2021,15.43,15.63,15.65,15.4,"4,86M",-0.012795905310301
17.02.2021,15.655,15.67,15.73,15.555,"4,43M",-0.000957243139758
16.02.2021,15.75,15.82,15.845,15.69,"2,90M",-0.004424778761062
15.02.2021,15.825,15.78,15.91,15.73,"3,87M",0.002851711026616
12.02.2021,15.665,15.71,15.765,15.505,"3,06M",-0.002864417568428
11.02.2021,15.7,15.69,15.77,15.64,"3,01M",0.0006373486297
10.02.2021,15.76,15.89,15.9,15.635,"4,90M",-0.008181246066709
09.02.2021,15.82,15.77,15.865,15.605,"5,32M",0.003170577045022
08.02.2021,15.72,15.65,15.83,15.565,"7,22M",0.004472843450479
05.02.2021,15.535,15.495,15.75,15.425,"7,23M",0.002581477896096
04.02.2021,15.42,14.965,15.455,14.915,"7,98M",0.030404276645506
03.02.2021,14.95,14.92,15.12,14.745,"10,94M",0.00201072386059
02.02.2021,14.475,14.32,14.48,14.26,"4,19M",0.010824022346369
01.02.2021,14.255,14.195,14.28,14.11,"3,54M",0.004226840436774
29.01.2021,14.09,14.23,14.25,14.015,"7,92M",-0.009838369641602
28.01.2021,14.42,14.24,14.42,14.07,"6,67M",0.012640449438202
27.01.2021,14.38,14.545,14.6,14.275,"4,41M",-0.011344104503266
26.01.2021,14.545,14.405,14.605,14.385,"3,68M",0.009718847622353
25.01.2021,14.405,14.645,14.66,14.31,"4,58M",-0.01638784568112
22.01.2021,14.51,14.65,14.65,14.295,"5,87M",-0.009556313993174
21.01.2021,14.655,14.9,15.04,14.655,"6,48M",-0.016442953020134
20.01.2021,14.81,14.54,14.89,14.505,"8,81M",0.018569463548831
19.01.2021,14.505,14.5,14.56,14.4,"4,37M",0.000344827586207
18.01.2021,14.46,14.3,14.46,14.22,"3,11M",0.011188811188811
15.01.2021,14.365,14.43,14.63,14.27,"4,65M",-0.004504504504504
14.01.2021,14.4,14.58,14.64,14.4,"4,67M",-0.012345679012346
