Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,3058,3076,3080,3034,"3,33M",-0.005851755526658
18.02.2021,3076,3092,3114,3064,"3,61M",-0.005174644243208
17.02.2021,3090,3104,3122,3080,"4,00M",-0.004510309278351
16.02.2021,3102,3160,3174,3092,"5,12M",-0.018354430379747
15.02.2021,3154,3144,3158,3110,"4,48M",0.003180661577608
12.02.2021,3120,3110,3126,3064,"3,27M",0.003215434083601
11.02.2021,3112,3082,3120,3068,"3,44M",0.009733939000649
10.02.2021,3074,3084,3084,3046,"3,70M",-0.003242542153048
09.02.2021,3058,3104,3110,3042,"4,38M",-0.014819587628866
08.02.2021,3110,3060,3126,3044,"5,05M",0.016339869281046
05.02.2021,3038,3022,3058,3010,"5,64M",0.00529450694904
04.02.2021,3008,3000,3012,2948,"4,56M",0.002666666666667
03.02.2021,3000,2944,3026,2940,"8,60M",0.019021739130435
02.02.2021,2910,2910,2922,2888,"2,70M",0
01.02.2021,2900,2896,2906,2874,"3,04M",0.001381215469613
29.01.2021,2884,2848,2910,2832,"6,56M",0.012640449438202
28.01.2021,2882,2830,2882,2794,"5,47M",0.018374558303887
27.01.2021,2838,2878,2934,2832,"3,71M",-0.013898540653232
26.01.2021,2884,2882,2890,2856,"2,80M",0.000693962526024
25.01.2021,2872,2866,2884,2826,"3,72M",0.002093510118632
22.01.2021,2846,2900,2900,2828,"5,25M",-0.018620689655173
21.01.2021,2900,3000,3010,2896,"9,68M",-0.033333333333333
20.01.2021,2990,3066,3070,2964,"9,30M",-0.024787997390737
19.01.2021,3050,3104,3104,3046,"4,11M",-0.017396907216495
18.01.2021,3096,3064,3110,3040,"3,66M",0.010443864229765
15.01.2021,3060,3098,3100,3026,"5,51M",-0.012265978050355
14.01.2021,3088,3170,3180,3088,"5,38M",-0.025867507886435
13.01.2021,3160,3078,3222,3076,"8,46M",0.026640675763483
12.01.2021,3070,3100,3110,3054,"3,93M",-0.009677419354839
11.01.2021,3100,3040,3108,3010,"5,65M",0.019736842105263
08.01.2021,3028,3040,3042,3010,"2,95M",-0.003947368421053
07.01.2021,3006,3052,3054,3006,"2,92M",-0.015072083879423
06.01.2021,3034,2994,3038,2966,"3,64M",0.013360053440214
05.01.2021,2974,3044,3050,2966,"4,66M",-0.02299605781866
04.01.2021,3052,3000,3084,2980,"4,60M",0.017333333333333
30.12.2020,2980,2996,3012,2968,"1,66M",-0.005340453938585
29.12.2020,2996,3000,3024,2980,"2,13M",-0.001333333333333
28.12.2020,2988,2950,3006,2944,"1,47M",0.012881355932203
23.12.2020,2938,2920,2940,2912,"1,76M",0.006164383561644
22.12.2020,2908,2880,2912,2862,"2,36M",0.009722222222222
21.12.2020,2850,2900,2904,2812,"5,28M",-0.017241379310345
18.12.2020,2950,2980,3006,2950,"6,62M",-0.01006711409396
17.12.2020,2986,2932,3000,2922,"4,70M",0.018417462482947
16.12.2020,2928,2902,2960,2890,"3,40M",0.008959338387319
15.12.2020,2882,2902,2922,2882,"3,15M",-0.006891798759476
14.12.2020,2916,2914,2942,2888,"2,50M",0.000686341798216
11.12.2020,2880,2918,2932,2878,"3,91M",-0.013022618231666
10.12.2020,2910,2946,2966,2910,"2,98M",-0.012219959266803
09.12.2020,2942,2976,2986,2934,"2,55M",-0.011424731182796
08.12.2020,2960,2974,2978,2922,"2,88M",-0.004707464694015
07.12.2020,2978,3010,3016,2964,"3,21M",-0.01063122923588
04.12.2020,3006,2978,3026,2968,"3,63M",0.009402283411686
03.12.2020,2972,3020,3028,2970,"4,70M",-0.015894039735099
02.12.2020,3010,3030,3068,3010,"4,13M",-0.006600660066007
01.12.2020,3036,3080,3104,3036,"4,77M",-0.014285714285714
30.11.2020,3060,3184,3194,3060,"6,91M",-0.038944723618091
27.11.2020,3176,3100,3224,3100,"6,33M",0.024516129032258
26.11.2020,3088,3094,3116,3076,"2,96M",-0.001939237233355
25.11.2020,3072,3026,3110,3022,"4,38M",0.015201586252479
24.11.2020,3016,3050,3062,3004,"3,89M",-0.011147540983607
23.11.2020,3022,3050,3060,3014,"5,20M",-0.009180327868852
20.11.2020,3050,3026,3064,3024,"3,51M",0.007931262392597
19.11.2020,3036,3036,3068,3026,"4,59M",0
18.11.2020,3040,3050,3078,3036,"3,40M",-0.00327868852459
17.11.2020,3056,3102,3110,3052,"5,20M",-0.014829142488717
16.11.2020,3120,3042,3156,3040,"5,85M",0.025641025641026
13.11.2020,3020,3054,3060,3008,"3,47M",-0.011132940406025
12.11.2020,3036,2990,3066,2978,"5,63M",0.015384615384615
11.11.2020,2984,3000,3004,2956,"3,08M",-0.005333333333333
10.11.2020,2954,2980,3010,2940,"3,70M",-0.008724832214765
09.11.2020,2990,2818,2996,2806,"6,49M",0.061036195883605
06.11.2020,2778,2790,2826,2770,"2,26M",-0.004301075268817
05.11.2020,2808,2820,2876,2808,"3,69M",-0.004255319148936
04.11.2020,2814,2680,2814,2680,"4,23M",0.05
03.11.2020,2746,2752,2752,2690,"4,46M",-0.00218023255814
02.11.2020,2724,2714,2730,2674,"1,99M",0.003684598378777
30.10.2020,2700,2654,2712,2640,"2,62M",0.017332328560663
29.10.2020,2676,2732,2760,2664,"2,92M",-0.020497803806735
28.10.2020,2722,2760,2760,2652,"4,68M",-0.013768115942029
27.10.2020,2792,2836,2836,2766,"2,73M",-0.015514809590973
26.10.2020,2820,2850,2870,2812,"3,39M",-0.010526315789474
23.10.2020,2896,2882,2916,2876,"1,30M",0.004857737682165
22.10.2020,2894,2918,2936,2864,"2,23M",-0.008224811514736
21.10.2020,2918,3022,3022,2916,"3,35M",-0.034414295168763
20.10.2020,3000,2934,3012,2934,"3,01M",0.022494887525562
19.10.2020,2938,2908,2984,2904,"1,90M",0.010316368638239
16.10.2020,2904,2890,2904,2856,"11,69M",0.004844290657439
15.10.2020,2874,2964,2964,2854,"4,61M",-0.030364372469636
14.10.2020,2976,2962,2988,2924,"3,62M",0.00472653612424
13.10.2020,2950,3012,3036,2944,"4,24M",-0.02058432934927
12.10.2020,3012,3054,3064,2988,"4,89M",-0.013752455795678
09.10.2020,3048,3070,3098,3040,"2,15M",-0.007166123778502
08.10.2020,3070,3094,3102,3056,"1,98M",-0.00775694893342
07.10.2020,3062,3102,3118,3062,"2,39M",-0.012894906511928
06.10.2020,3100,3116,3144,3098,"2,42M",-0.005134788189987
05.10.2020,3116,3166,3178,3104,"2,02M",-0.015792798483891
02.10.2020,3158,3100,3186,3100,"3,54M",0.018709677419355
01.10.2020,3106,3170,3170,3080,"4,81M",-0.02018927444795
30.09.2020,3152,3190,3232,3150,"3,21M",-0.011912225705329
29.09.2020,3204,3202,3246,3188,"2,57M",0.000624609618988
28.09.2020,3222,3210,3222,3170,"3,28M",0.003738317757009
25.09.2020,3176,3200,3232,3162,"2,15M",-0.0075
24.09.2020,3196,3192,3252,3188,"1,97M",0.00125313283208
23.09.2020,3224,3254,3254,3218,"1,84M",-0.009219422249539
22.09.2020,3212,3220,3260,3180,"1,74M",-0.002484472049689
21.09.2020,3208,3250,3266,3146,"3,20M",-0.012923076923077
18.09.2020,3266,3302,3326,3262,"8,62M",-0.010902483343428
17.09.2020,3304,3270,3324,3262,"2,17M",0.01039755351682
16.09.2020,3286,3250,3288,3234,"2,47M",0.011076923076923
15.09.2020,3264,3230,3266,3230,"2,05M",0.010526315789474
14.09.2020,3242,3296,3296,3238,"1,59M",-0.016383495145631
11.09.2020,3266,3266,3270,3236,"1,65M",0
10.09.2020,3246,3252,3258,3222,"2,22M",-0.001845018450185
09.09.2020,3266,3222,3266,3218,"2,18M",0.013656114214774
08.09.2020,3216,3230,3250,3162,"2,66M",-0.004334365325077
07.09.2020,3226,3188,3234,3172,"1,75M",0.011919698870765
04.09.2020,3164,3272,3286,3162,"3,62M",-0.033007334963325
03.09.2020,3280,3280,3362,3270,"3,16M",0
02.09.2020,3268,3214,3268,3180,"2,37M",0.016801493466086
01.09.2020,3186,3238,3238,3184,"1,50M",-0.016059295861643
31.08.2020,3202,3232,3244,3166,"2,65M",-0.009282178217822
28.08.2020,3200,3234,3272,3172,"2,32M",-0.010513296227582
27.08.2020,3224,3252,3272,3206,"2,36M",-0.008610086100861
26.08.2020,3250,3304,3324,3248,"3,20M",-0.01634382566586
25.08.2020,3316,3360,3364,3302,"2,11M",-0.013095238095238
24.08.2020,3350,3284,3354,3272,"2,23M",0.020097442143727
21.08.2020,3244,3274,3290,3224,"1,06M",-0.00916310323763
20.08.2020,3268,3288,3298,3254,"1,99M",-0.006082725060827
19.08.2020,3300,3256,3300,3214,"1,89M",0.013513513513514
18.08.2020,3248,3330,3348,3248,"1,61M",-0.024624624624625
17.08.2020,3326,3338,3374,3300,"1,32M",-0.003594967046135
