Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,39980,39400,40260,39140,"198,01K",0.014720812182741
18.02.2021,39200,40140,40560,39200,"190,82K",-0.023418036870952
17.02.2021,40200,40940,41200,40060,"211,68K",-0.018075232046898
16.02.2021,40940,40800,41460,40720,"174,24K",0.00343137254902
15.02.2021,41060,41200,41340,40100,"280,27K",-0.003398058252427
12.02.2021,40920,41200,41640,40220,"314,26K",-0.006796116504854
11.02.2021,40980,40080,41180,40080,"219,80K",0.022455089820359
10.02.2021,40000,40680,40680,39780,"198,51K",-0.016715830875123
09.02.2021,40560,40500,40720,40240,"187,51K",0.001481481481481
08.02.2021,40680,39780,40920,39780,"343,94K",0.02262443438914
05.02.2021,39560,38620,39760,38540,"263,74K",0.024339720352149
04.02.2021,38520,38900,39020,38360,"287,98K",-0.009768637532134
03.02.2021,38900,38340,39000,38240,"278,14K",0.014606155451226
02.02.2021,38260,38100,38280,37900,"259,53K",0.004199475065617
01.02.2021,38080,37120,38240,37120,"304,37K",0.025862068965517
29.01.2021,37040,37960,38240,37000,"558,51K",-0.024236037934668
28.01.2021,38260,37420,38380,36700,"351,37K",0.022447888829503
27.01.2021,37280,39440,39460,37180,"527,15K",-0.054766734279919
26.01.2021,39780,39120,39920,38980,"149,32K",0.016871165644172
25.01.2021,39040,40200,40200,38840,"178,59K",-0.028855721393035
22.01.2021,39880,40120,40540,39540,"163,57K",-0.005982053838485
21.01.2021,40280,40520,40740,40100,"219,75K",-0.005923000987167
20.01.2021,40340,40400,40620,39940,"216,10K",-0.001485148514851
19.01.2021,40400,41220,41220,40120,"184,29K",-0.019893255701116
18.01.2021,41040,40240,41180,40220,"219,95K",0.019880715705765
15.01.2021,40300,41240,41240,39920,"358,49K",-0.022793404461688
14.01.2021,41000,41000,41440,40740,"318,67K",0
13.01.2021,40780,40220,41380,40140,"285,85K",0.013923421183491
12.01.2021,40300,40580,40580,39900,"272,70K",-0.006899950714638
11.01.2021,40440,40100,40580,39820,"268,61K",0.008478802992519
08.01.2021,40100,41900,42040,39720,"596,72K",-0.042959427207637
07.01.2021,41860,41760,42100,41460,"263,40K",0.002394636015326
06.01.2021,41520,40740,41540,40260,"315,33K",0.019145802650957
05.01.2021,40560,40940,41080,40220,"262,34K",-0.009281875915975
04.01.2021,41000,40540,41480,40540,"268,45K",0.011346817957573
30.12.2020,40340,40040,40560,39880,"201,73K",0.007492507492508
29.12.2020,40040,39900,40080,39500,"204,64K",0.003508771929825
28.12.2020,39840,39740,39880,39440,"117,98K",0.002516356316054
23.12.2020,39500,39500,39800,39320,"194,90K",0
22.12.2020,39400,39080,39400,39000,"154,26K",0.008188331627431
21.12.2020,38760,38920,39080,38280,"326,96K",-0.004110996916752
18.12.2020,39400,38800,39620,38780,"450,08K",0.015463917525773
17.12.2020,38980,39260,39300,38900,"250,10K",-0.007131940906775
16.12.2020,39080,38220,39100,38200,"289,68K",0.022501308215594
15.12.2020,38200,37940,38280,37760,"201,75K",0.006852925672114
14.12.2020,38180,37620,38380,37440,"154,54K",0.014885699096226
11.12.2020,37400,37340,37640,37060,"205,47K",0.001606855918586
10.12.2020,37420,38240,38240,37200,"265,35K",-0.021443514644352
09.12.2020,38040,38300,38380,37860,"179,27K",-0.006788511749347
08.12.2020,38080,38000,38300,37900,"175,83K",0.002105263157895
07.12.2020,38080,37760,38360,37700,"306,90K",0.008474576271186
04.12.2020,37760,36880,37760,36880,"297,32K",0.023861171366594
03.12.2020,37040,37000,37300,36860,"175,26K",0.001081081081081
02.12.2020,37000,36360,37440,36240,"306,40K",0.017601760176018
01.12.2020,36960,36540,36960,36180,"187,82K",0.011494252873563
30.11.2020,36380,36360,36980,36360,"204,92K",0.000550055005501
27.11.2020,36580,36140,36700,35980,"175,30K",0.012174875484228
26.11.2020,36120,36260,36500,36120,"134,59K",-0.003861003861004
25.11.2020,36300,36200,36600,36080,"223,76K",0.002762430939227
24.11.2020,36200,36900,37180,36180,"216,39K",-0.018970189701897
23.11.2020,36900,37100,37440,36860,"222,81K",-0.005390835579515
20.11.2020,36980,36600,37240,36560,"161,06K",0.010382513661202
19.11.2020,36580,36800,37060,36580,"230,07K",-0.005978260869565
18.11.2020,37080,36980,37620,36700,"476,25K",0.002704164413196
17.11.2020,36900,36640,37200,36340,"370,51K",0.007096069868996
16.11.2020,36800,35200,37060,34940,"500,95K",0.045454545454546
13.11.2020,35020,35120,35360,34760,"215,49K",-0.002847380410023
12.11.2020,35220,34760,35900,34760,"276,02K",0.013233601841197
11.11.2020,34840,36080,36240,34500,"422,58K",-0.034368070953437
10.11.2020,35960,36500,36580,35340,"319,96K",-0.014794520547945
09.11.2020,36300,35780,36740,35480,"576,58K",0.014533258803801
06.11.2020,35300,34920,35440,34720,"237,90K",0.010882016036655
05.11.2020,35140,34320,35160,34300,"335,35K",0.023892773892774
04.11.2020,34300,33700,34380,33300,"256,27K",0.017804154302671
03.11.2020,33800,32940,33800,32560,"297,70K",0.026108075288403
02.11.2020,32580,32640,32740,32060,"217,65K",-0.001838235294118
30.10.2020,32400,31320,32460,31320,"184,37K",0.03448275862069
29.10.2020,31620,31860,32480,31440,"270,50K",-0.007532956685499
28.10.2020,31760,31900,32380,31600,"278,47K",-0.004388714733542
27.10.2020,32420,32740,32860,32220,"201,69K",-0.009773976786805
26.10.2020,32680,32720,33160,32620,"164,37K",-0.001222493887531
23.10.2020,33140,32520,33620,32500,"233,16K",0.019065190651907
22.10.2020,32640,33000,33120,32440,"269,65K",-0.010909090909091
21.10.2020,33260,33960,33960,33140,"248,48K",-0.020612485276796
20.10.2020,33820,34320,34660,33760,"180,49K",-0.014568764568765
19.10.2020,34300,34780,35080,34300,"202,52K",-0.013801035077631
16.10.2020,34780,34320,35060,34060,"1,44M",0.013403263403263
15.10.2020,34160,34200,34400,33480,"399,49K",-0.001169590643275
14.10.2020,34540,35120,35660,34320,"348,62K",-0.016514806378132
13.10.2020,35120,35000,35420,34900,"423,16K",0.003428571428571
12.10.2020,35240,33000,35240,32960,"628,07K",0.067878787878788
09.10.2020,32900,32640,32920,32520,"123,58K",0.00796568627451
08.10.2020,32740,32540,32980,32520,"167,82K",0.006146281499693
07.10.2020,32460,31940,32740,31940,"213,41K",0.016280525986224
06.10.2020,32180,32500,32640,32100,"218,72K",-0.009846153846154
05.10.2020,32240,31800,32300,31740,"225,97K",0.013836477987421
02.10.2020,31620,31100,31660,31000,"124,04K",0.016720257234727
01.10.2020,31360,31660,31840,31220,"210,20K",-0.009475679090335
30.09.2020,31720,31640,31940,31380,"197,56K",0.002528445006321
29.09.2020,31740,31800,31980,31340,"145,07K",-0.00188679245283
28.09.2020,31720,31300,31820,31100,"256,89K",0.013418530351438
25.09.2020,30960,30920,31060,30460,"202,94K",0.001293661060802
24.09.2020,31060,30660,31220,30660,"143,75K",0.013046314416178
23.09.2020,31180,30640,31380,30640,"214,94K",0.017624020887729
22.09.2020,30740,30600,31020,30460,"166,12K",0.004575163398693
21.09.2020,30100,31600,31620,30040,"286,78K",-0.04746835443038
18.09.2020,31740,31400,32060,31360,"342,53K",0.010828025477707
17.09.2020,31380,30980,31580,30880,"219,79K",0.012911555842479
16.09.2020,31200,31660,31880,31120,"223,76K",-0.01452937460518
15.09.2020,31540,31680,31860,31360,"132,25K",-0.004419191919192
14.09.2020,31660,31600,32200,31520,"303,58K",0.001898734177215
11.09.2020,31460,31200,31480,31020,"132,14K",0.008333333333333
10.09.2020,31260,31100,31440,31080,"141,58K",0.005144694533762
09.09.2020,31200,31200,31580,31020,"219,95K",0
08.09.2020,31100,31600,31600,30460,"411,15K",-0.015822784810127
07.09.2020,31600,31200,31680,31020,"256,21K",0.012820512820513
04.09.2020,31240,31040,31820,30920,"260,34K",0.006443298969072
03.09.2020,31080,31700,32120,30980,"520,23K",-0.019558359621451
02.09.2020,31720,29320,31880,29320,"831,43K",0.081855388813097
01.09.2020,29460,29120,29900,29120,"273,09K",0.011675824175824
31.08.2020,29300,29260,29600,29100,"218,90K",0.001367053998633
28.08.2020,29120,29500,29500,28880,"203,84K",-0.012881355932203
27.08.2020,29440,29520,29960,29420,"216,07K",-0.002710027100271
26.08.2020,29800,29320,29800,29060,"221,17K",0.016371077762619
25.08.2020,29160,30000,30000,29120,"228,53K",-0.028
