Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,2.1085,2.0885,2.121,2.079,"127,89M",0.009576250897774
18.02.2021,2.08,2.087,2.103,2.061,"91,10M",-0.00335409678965
17.02.2021,2.096,2.1055,2.117,2.0815,"113,68M",-0.004511992400855
16.02.2021,2.1125,2.12,2.125,2.0865,"90,02M",-0.003537735849057
15.02.2021,2.1175,2.129,2.134,2.111,"121,95M",-0.005401596993894
12.02.2021,2.096,2.085,2.096,2.0605,"93,48M",0.005275779376499
11.02.2021,2.0865,2.08,2.096,2.07,"109,12M",0.003125
10.02.2021,2.08,2.0995,2.1045,2.0745,"111,02M",-0.009287925696594
09.02.2021,2.087,2.1,2.1025,2.0655,"111,89M",-0.006190476190476
08.02.2021,2.09,2.1,2.136,2.09,"207,75M",-0.004761904761905
05.02.2021,2.061,2.035,2.0955,2.024,"271,39M",0.012776412776413
04.02.2021,2.0085,1.9644,2.038,1.9402,"208,15M",0.022449602932193
03.02.2021,1.9512,2,2.0115,1.9372,"284,81M",-0.0244
02.02.2021,1.871,1.83,1.8856,1.83,"111,58M",0.0224043715847
01.02.2021,1.822,1.822,1.842,1.8104,"85,63M",0
29.01.2021,1.8052,1.804,1.8246,1.7864,"114,46M",0.000665188470067
28.01.2021,1.8336,1.7872,1.842,1.7818,"112,54M",0.025962399283796
27.01.2021,1.8076,1.834,1.8418,1.783,"119,85M",-0.014394765539804
26.01.2021,1.8396,1.82,1.8498,1.805,"97,55M",0.010769230769231
25.01.2021,1.8232,1.8944,1.8968,1.8164,"107,68M",-0.03758445945946
22.01.2021,1.8842,1.8916,1.9052,1.855,"108,16M",-0.003912032142102
21.01.2021,1.9172,1.934,1.939,1.9058,"82,07M",-0.008686659772492
20.01.2021,1.9264,1.918,1.934,1.9132,"70,03M",0.004379562043796
19.01.2021,1.9104,1.9244,1.9308,1.9038,"70,63M",-0.007274994803575
18.01.2021,1.9172,1.8936,1.9276,1.8884,"58,59M",0.012463033375581
15.01.2021,1.902,1.913,1.946,1.886,"109,72M",-0.005750130684788
14.01.2021,1.915,1.9202,1.9384,1.899,"100,03M",-0.002708051244662
13.01.2021,1.9292,1.9286,1.935,1.9038,"73,05M",0.000311106502126
12.01.2021,1.9382,1.95,1.9516,1.927,"86,42M",-0.006051282051282
11.01.2021,1.9428,1.9436,1.9664,1.9166,"79,57M",-0.00041160732661
08.01.2021,1.955,1.98,1.9888,1.9444,"99,29M",-0.012626262626263
07.01.2021,1.968,1.9794,1.98,1.9432,"111,02M",-0.005759321006366
06.01.2021,1.9482,1.91,1.9758,1.9048,"180,78M",0.02
05.01.2021,1.8844,1.883,1.898,1.87,"107,40M",0.000743494423792
04.01.2021,1.9052,1.92,1.9284,1.8768,"97,81M",-0.007708333333333
30.12.2020,1.9126,1.93,1.93,1.9126,"44,77M",-0.009015544041451
29.12.2020,1.9198,1.935,1.937,1.9092,"54,80M",-0.007855297157623
28.12.2020,1.9224,1.94,1.9556,1.9178,"65,00M",-0.009072164948454
23.12.2020,1.913,1.8892,1.9206,1.8762,"83,84M",0.012597925047639
22.12.2020,1.8812,1.88,1.9034,1.8748,"72,37M",0.000638297872341
21.12.2020,1.8676,1.894,1.9,1.8364,"167,52M",-0.013938753959873
18.12.2020,1.9352,1.9312,1.9676,1.9282,"209,18M",0.002071251035626
17.12.2020,1.9444,1.9462,1.956,1.9328,"105,48M",-0.000924879251876
16.12.2020,1.943,1.952,1.9814,1.92,"152,87M",-0.004610655737705
15.12.2020,1.975,1.9336,1.975,1.926,"106,28M",0.021410839884154
14.12.2020,1.9392,1.9602,1.9886,1.9392,"115,93M",-0.010713192531374
11.12.2020,1.9358,1.9608,1.9698,1.914,"109,87M",-0.012749898000816
10.12.2020,1.9608,1.984,2,1.935,"135,11M",-0.011693548387097
09.12.2020,1.976,1.9874,2.003,1.9742,"115,47M",-0.005736137667304
08.12.2020,1.969,1.959,1.9806,1.9572,"63,43M",0.005104645227157
07.12.2020,1.9712,1.982,1.9848,1.954,"111,29M",-0.005449041372351
04.12.2020,1.9906,1.988,2.027,1.9824,"172,49M",0.001307847082495
03.12.2020,1.9862,1.9602,1.989,1.9484,"133,46M",0.013263952657892
02.12.2020,1.971,1.9698,1.9736,1.9272,"139,95M",0.000609198903442
01.12.2020,1.977,1.955,1.99,1.9404,"181,36M",0.011253196930946
30.11.2020,1.9254,1.935,1.9516,1.9124,"149,15M",-0.004961240310078
27.11.2020,1.9446,1.9212,1.955,1.9212,"122,49M",0.012179887570269
26.11.2020,1.9292,1.9498,1.95,1.921,"90,62M",-0.010565186172941
25.11.2020,1.9422,1.954,1.9648,1.895,"187,35M",-0.00603889457523
24.11.2020,1.916,1.891,1.922,1.8862,"194,36M",0.013220518244315
23.11.2020,1.8634,1.886,1.9184,1.8604,"134,75M",-0.011983032873807
20.11.2020,1.8704,1.851,1.8884,1.8464,"124,03M",0.010480821177742
19.11.2020,1.8542,1.8598,1.872,1.845,"130,61M",-0.003011076459834
18.11.2020,1.8734,1.8556,1.885,1.8446,"168,49M",0.009592584608752
