Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,8710,8920,8960,8700,"2,50M",-0.023542600896861
18.02.2021,8925,9190,9285,8865,"3,22M",-0.028835690968444
17.02.2021,9215,9375,9410,9160,"2,08M",-0.017066666666667
16.02.2021,9385,9455,9470,9360,"1,64M",-0.007403490216817
15.02.2021,9455,9360,9515,9340,"2,16M",0.010149572649573
12.02.2021,9280,9200,9315,9150,"1,77M",0.008695652173913
11.02.2021,9200,9040,9280,9040,"1,73M",0.017699115044248
10.02.2021,9075,9080,9090,9000,"1,39M",-0.000550660792952
09.02.2021,9050,9010,9075,8910,"1,49M",0.004439511653718
08.02.2021,8985,9100,9180,8985,"2,29M",-0.012637362637363
05.02.2021,9055,9025,9190,8925,"2,82M",0.003324099722992
04.02.2021,8995,9065,9065,8880,"2,91M",-0.007722007722008
03.02.2021,9030,9160,9305,8905,"5,56M",-0.014192139737991
02.02.2021,8955,8925,9045,8890,"4,26M",0.003361344537815
01.02.2021,8890,8865,8965,8850,"2,97M",0.002820078962211
29.01.2021,8865,8950,9015,8865,"2,19M",-0.009497206703911
28.01.2021,9005,9050,9155,8960,"2,55M",-0.004972375690608
27.01.2021,9085,9330,9330,9080,"2,13M",-0.026259378349411
26.01.2021,9315,9330,9350,9230,"1,23M",-0.001607717041801
25.01.2021,9345,9380,9385,9240,"1,45M",-0.003731343283582
22.01.2021,9340,9190,9350,9145,"1,68M",0.016322089227421
21.01.2021,9210,9300,9425,9160,"1,88M",-0.009677419354839
20.01.2021,9255,9200,9265,9175,"1,05M",0.005978260869565
19.01.2021,9215,9260,9275,9160,"1,15M",-0.004859611231102
18.01.2021,9250,9265,9430,9225,"1,98M",-0.001618996222342
15.01.2021,9265,9235,9295,9165,"2,22M",0.00324851109908
14.01.2021,9240,9375,9380,9220,"2,48M",-0.0144
13.01.2021,9365,9370,9565,9310,"3,15M",-0.000533617929562
12.01.2021,9305,9570,9595,9305,"1,51M",-0.027690700104493
11.01.2021,9550,9490,9695,9475,"1,91M",0.006322444678609
08.01.2021,9495,9520,9605,9465,"1,69M",-0.002626050420168
07.01.2021,9515,9680,9705,9410,"2,24M",-0.017045454545455
