Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,5010,5035,5050,4990,"1,68M",-0.004965243296922
18.02.2021,5025,5070,5105,5010,"1,53M",-0.00887573964497
17.02.2021,5065,5085,5125,5055,"1,67M",-0.0039331366765
16.02.2021,5080,5180,5205,5080,"2,27M",-0.019305019305019
15.02.2021,5180,5195,5220,5140,"1,66M",-0.00288739172281
12.02.2021,5165,5140,5175,5125,"1,12M",0.004863813229572
11.02.2021,5150,5170,5190,5140,"1,11M",-0.003868471953578
10.02.2021,5175,5140,5195,5110,"2,63M",0.006809338521401
09.02.2021,5110,5170,5185,5075,"2,16M",-0.011605415860735
08.02.2021,5175,5145,5195,5125,"3,13M",0.005830903790087
05.02.2021,5115,5125,5160,5110,"2,25M",-0.001951219512195
04.02.2021,5105,5105,5125,5025,"3,02M",0
03.02.2021,5080,4998,5130,4990,"4,16M",0.01640656262505
02.02.2021,4948,4982,4994,4922,"1,93M",-0.006824568446407
01.02.2021,4974,4966,5010,4922,"1,92M",0.001610954490536
29.01.2021,4952,4960,5030,4942,"2,52M",-0.001612903225806
28.01.2021,4998,5015,5050,4954,"2,26M",-0.003389830508475
27.01.2021,5050,5040,5105,4998,"1,83M",0.001984126984127
26.01.2021,5040,5020,5050,4976,"2,01M",0.00398406374502
25.01.2021,5000,4950,5020,4936,"1,94M",0.01010101010101
22.01.2021,4932,4940,4952,4898,"1,80M",-0.001619433198381
21.01.2021,4948,5055,5065,4944,"2,04M",-0.021167161226508
20.01.2021,5030,5020,5030,4982,"1,55M",0.00199203187251
19.01.2021,5005,5095,5110,5005,"1,53M",-0.017664376840039
18.01.2021,5085,5080,5120,5035,"1,67M",0.000984251968504
15.01.2021,5080,5110,5110,5045,"1,48M",-0.00587084148728
14.01.2021,5095,5170,5170,5095,"1,41M",-0.014506769825919
13.01.2021,5165,5020,5180,5020,"2,08M",0.028884462151395
12.01.2021,5025,5120,5135,5025,"2,06M",-0.0185546875
11.01.2021,5125,5130,5175,5115,"1,49M",-0.000974658869396
08.01.2021,5150,5170,5200,5135,"1,63M",-0.003868471953578
07.01.2021,5165,5250,5250,5145,"2,17M",-0.016190476190476
06.01.2021,5230,5195,5230,5140,"2,14M",0.006737247353224
05.01.2021,5130,5170,5190,5115,"1,34M",-0.007736943907157
