Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,6590,6110,6600,6106,"34,53M",0.078559738134206
18.02.2021,5988,6148,6162,5962,"7,13M",-0.026024723487313
17.02.2021,6152,6224,6250,6090,"5,94M",-0.011568123393316
16.02.2021,6224,6238,6308,6174,"8,67M",-0.002244309073421
15.02.2021,6208,6130,6232,6096,"8,35M",0.012724306688418
12.02.2021,6054,6038,6070,5888,"7,54M",0.002649884067572
11.02.2021,6044,6140,6160,5964,"8,27M",-0.015635179153095
10.02.2021,6134,6230,6238,6064,"7,65M",-0.015409309791332
09.02.2021,6158,6166,6290,6102,"8,64M",-0.001297437560817
08.02.2021,6160,6100,6222,6058,"10,90M",0.009836065573771
05.02.2021,6032,6022,6096,5984,"8,07M",0.001660577881103
04.02.2021,6002,5914,6036,5868,"6,97M",0.014879945891106
03.02.2021,5904,5980,5986,5822,"8,72M",-0.012709030100335
02.02.2021,5818,5750,5878,5742,"6,42M",0.011826086956522
01.02.2021,5720,5802,5854,5694,"5,05M",-0.014133057566357
29.01.2021,5736,5750,5920,5720,"12,23M",-0.002434782608696
28.01.2021,5708,5620,5746,5536,"5,51M",0.015658362989324
27.01.2021,5680,5640,5756,5522,"9,16M",0.00709219858156
26.01.2021,5646,5462,5686,5420,"6,02M",0.03368729403149
25.01.2021,5486,5710,5724,5426,"12,63M",-0.03922942206655
22.01.2021,5650,5838,5842,5626,"12,41M",-0.032202809181227
21.01.2021,5866,6154,6186,5844,"11,30M",-0.046798830029249
20.01.2021,6112,5916,6128,5870,"9,16M",0.033130493576741
19.01.2021,5856,5874,5948,5838,"4,33M",-0.003064351378958
18.01.2021,5848,5846,5882,5810,"3,71M",0.000342114266165
15.01.2021,5860,5936,5974,5786,"5,73M",-0.012803234501348
14.01.2021,5914,5850,5964,5824,"6,15M",0.010940170940171
13.01.2021,5870,5920,5946,5832,"7,89M",-0.008445945945946
12.01.2021,5984,5902,6026,5858,"7,42M",0.013893595391393
11.01.2021,5876,5900,5974,5802,"7,88M",-0.00406779661017
08.01.2021,5916,6068,6084,5904,"9,02M",-0.025049439683586
07.01.2021,6010,6124,6140,5934,"8,07M",-0.018615284128021
06.01.2021,6062,6030,6120,5934,"8,02M",0.00530679933665
05.01.2021,5974,5810,6014,5772,"6,96M",0.028227194492255
04.01.2021,5830,5970,6054,5780,"8,85M",-0.023450586264657
30.12.2020,5910,5976,6016,5906,"4,34M",-0.011044176706827
29.12.2020,5980,5978,6002,5918,"5,26M",0.00033456005353
28.12.2020,5922,6000,6078,5904,"6,48M",-0.013
23.12.2020,5880,5786,5880,5642,"9,26M",0.016246111303146
22.12.2020,5752,5706,5780,5662,"5,52M",0.008061689449702
