Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,9080,8984,9192,8958,"4,22M",0.010685663401603
18.02.2021,8974,9000,9116,8950,"7,01M",-0.002888888888889
17.02.2021,9022,8950,9238,8946,"7,66M",0.00804469273743
16.02.2021,8964,9050,9078,8896,"4,28M",-0.009502762430939
15.02.2021,9040,9000,9096,8952,"7,06M",0.004444444444444
12.02.2021,8886,8930,8952,8752,"5,75M",-0.004927211646137
11.02.2021,8922,8920,9084,8834,"10,62M",0.000224215246637
10.02.2021,8800,8658,8976,8582,"11,25M",0.016401016401016
09.02.2021,8544,8530,8608,8350,"5,94M",0.001641266119578
08.02.2021,8466,8346,8520,8302,"6,80M",0.014378145219267
05.02.2021,8200,8100,8344,8100,"5,89M",0.012345679012346
04.02.2021,8090,7934,8096,7870,"7,93M",0.01966221325939
03.02.2021,7858,7850,7938,7722,"10,27M",0.001019108280255
02.02.2021,7558,7442,7576,7424,"2,69M",0.015587207739855
01.02.2021,7408,7450,7514,7372,"2,56M",-0.005637583892617
29.01.2021,7364,7300,7464,7180,"5,93M",0.008767123287671
28.01.2021,7398,7282,7454,7262,"2,41M",0.015929689645702
27.01.2021,7346,7494,7532,7296,"4,62M",-0.019749132639445
26.01.2021,7472,7288,7524,7288,"3,76M",0.025246981339188
25.01.2021,7296,7448,7462,7264,"4,13M",-0.020408163265306
22.01.2021,7412,7350,7426,7244,"4,68M",0.00843537414966
21.01.2021,7406,7524,7550,7404,"3,10M",-0.015683147262095
20.01.2021,7502,7420,7518,7390,"2,87M",0.011051212938005
19.01.2021,7380,7530,7558,7380,"3,97M",-0.0199203187251
18.01.2021,7512,7440,7514,7404,"2,10M",0.009677419354839
15.01.2021,7470,7496,7586,7444,"3,64M",-0.003468516542156
14.01.2021,7500,7496,7534,7442,"2,52M",0.000533617929562
13.01.2021,7508,7544,7558,7454,"2,64M",-0.004772004241782
12.01.2021,7556,7470,7676,7470,"4,10M",0.011512717536814
11.01.2021,7490,7502,7586,7398,"3,15M",-0.001599573447081
