Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,53.32,53,54.44,51.78,"2,19M",0.006037735849057
18.02.2021,50.58,50.2,51.12,49.36,"646,85K",0.007569721115538
17.02.2021,50.64,51.46,51.7,50.38,"875,56K",-0.015934706568208
16.02.2021,51.82,52.14,52.38,51.58,"488,66K",-0.006137322593019
15.02.2021,52.2,51.66,52.32,51.28,"493,30K",0.010452961672474
12.02.2021,51.24,51.78,52.24,51.12,"566,26K",-0.010428736964079
11.02.2021,51.98,51.84,52.08,51.6,"356,61K",0.00270061728395
10.02.2021,51.66,52.34,52.68,51.54,"625,63K",-0.012991975544517
09.02.2021,52.12,51.8,52.32,51.62,"657,48K",0.006177606177606
08.02.2021,51.58,51.14,51.72,50.92,"755,44K",0.008603832616347
05.02.2021,50.84,50.48,51.4,49.94,"937,27K",0.007131537242472
04.02.2021,50.02,47.91,50.1,47.58,"1,07M",0.044040910039658
03.02.2021,47.93,48.89,49.21,47.86,"606,64K",-0.019635917365515
02.02.2021,47.92,47.97,48.33,47.45,"815,45K",-0.001042318115489
01.02.2021,47.46,46.93,47.74,46.81,"654,89K",0.011293415725549
29.01.2021,46.61,47.06,47.78,46.61,"648,77K",-0.009562260943476
28.01.2021,48.09,46.8,48.38,46.71,"554,18K",0.027564102564103
27.01.2021,47.26,48.26,48.61,46.79,"907,02K",-0.020721094073767
26.01.2021,48.15,47.2,48.43,47.07,"571,68K",0.020127118644068
25.01.2021,47.34,49.03,49.03,47.3,"547,78K",-0.034468692637161
22.01.2021,48.67,49.5,49.57,48.24,"592,52K",-0.016767676767677
21.01.2021,49.59,49.03,49.71,48.88,"737,43K",0.011421578625332
20.01.2021,48.67,47.71,49.04,47.68,"695,82K",0.020121567805492
19.01.2021,47.65,48.53,48.53,47.47,"536,28K",-0.018133113538018
18.01.2021,48.43,47.37,48.44,47.37,"523,49K",0.022377031876715
15.01.2021,47.35,47.78,48.01,46.92,"485,20K",-0.008999581414818
14.01.2021,47.78,48.3,48.31,47.6,"657,22K",-0.010766045548654
13.01.2021,48.15,47.2,48.5,47.04,"859,46K",0.020127118644068
12.01.2021,47.04,48,48.17,46.91,"598,72K",-0.02
11.01.2021,48,47.76,48.18,47.48,"779,56K",0.005025125628141
08.01.2021,48.06,48.33,48.44,47.68,"971,01K",-0.005586592178771
07.01.2021,47.82,48.85,48.85,47.57,"920,64K",-0.021084953940635
06.01.2021,48.64,48.99,49,48.17,"679,62K",-0.007144315166361
05.01.2021,48.62,49.81,50.2,48.46,"1,12M",-0.023890784982935
04.01.2021,50,50.26,50.62,49.81,"623,05K",-0.005173099880621
30.12.2020,50.14,50.4,50.48,49.87,"353,60K",-0.00515873015873
29.12.2020,50.3,49.95,50.42,49.4,"658,62K",0.007007007007007
28.12.2020,49.73,48.25,49.89,48.25,"601,19K",0.030673575129534
23.12.2020,48.21,48.69,48.87,48.08,"405,89K",-0.009858287122612
22.12.2020,48.38,47.8,48.73,47.57,"796,39K",0.012133891213389
21.12.2020,47.56,47.91,48.1,47.18,"882,28K",-0.007305364224588
18.12.2020,48.5,48.55,49.12,48.31,"1,16M",-0.001029866117405
17.12.2020,49,49.03,49.55,48.6,"948,15K",-0.0006118702835
16.12.2020,48.71,49,49.24,48.44,"968,76K",-0.005918367346939
15.12.2020,48.8,47.71,48.98,47.71,"843,51K",0.022846363445818
14.12.2020,47.88,47.9,48.25,47.05,"793,17K",-0.000417536534447
11.12.2020,47.58,46.01,47.67,46.01,"1,09M",0.034123016735492
10.12.2020,46.46,46.9,46.95,46.07,"1,08M",-0.009381663113006
09.12.2020,46.61,45.45,46.97,45.01,"1,62M",0.025522552255226
08.12.2020,44.9,44,45.07,44,"1,09M",0.020454545454546
07.12.2020,44,42.13,46,42.13,"2,13M",0.044386422976501
04.12.2020,43.2,42.34,43.33,42.24,"930,79K",0.020311761927256
03.12.2020,42.59,41.71,42.78,41.71,"934,68K",0.02109805801966
02.12.2020,41.71,40.84,41.97,40.84,"707,34K",0.02130264446621
01.12.2020,41.09,41.44,41.58,41.06,"363,16K",-0.008445945945946
30.11.2020,41.16,40.68,41.4,40.67,"1,15M",0.011799410029499
27.11.2020,41.01,41.47,41.56,40.92,"659,02K",-0.011092355919942
26.11.2020,41.46,42,42,41.02,"617,19K",-0.012857142857143
25.11.2020,41.9,42.1,42.5,41.83,"873,25K",-0.004750593824228
24.11.2020,41.97,42.13,42.64,41.68,"1,33M",-0.003797768810824
23.11.2020,41.69,41.5,42.2,41.39,"790,76K",0.004578313253012
20.11.2020,41.16,40.58,41.3,40.56,"591,40K",0.01429275505175
19.11.2020,40.6,40.28,41.15,40.2,"559,05K",0.007944389275074
18.11.2020,40.78,40.97,41.34,40.37,"793,61K",-0.004637539663168
17.11.2020,41.06,40.86,41.58,40.85,"651,55K",0.004894762604014
16.11.2020,41.08,40.25,41.25,40.02,"944,83K",0.020621118012422
13.11.2020,39.81,39.57,40.07,39.31,"525,26K",0.00606520090978
12.11.2020,39.69,39.94,40.64,39.69,"712,14K",-0.006259389083625
11.11.2020,40.49,39.41,40.62,39.41,"882,60K",0.027404212128902
10.11.2020,39.71,39.38,40.03,38.8,"1,21M",0.008379888268156
09.11.2020,39.68,38.04,40.35,37.92,"1,95M",0.043112513144059
06.11.2020,37.55,37.31,37.83,36.92,"568,47K",0.006432591798445
05.11.2020,37.82,36.63,37.94,36.54,"1,18M",0.032487032487033
04.11.2020,36.37,35.5,36.37,35.32,"1,09M",0.024507042253521
03.11.2020,36,35.29,36.08,35.12,"837,19K",0.020119013884953
02.11.2020,35.12,34.43,35.27,34.02,"708,13K",0.020040662213186
30.10.2020,34.36,33.64,34.42,33.33,"684,96K",0.021403091557669
29.10.2020,34.13,35,35.22,33.89,"980,56K",-0.024857142857143
28.10.2020,34.9,36.21,36.84,34.69,"1,38M",-0.036177851422259
27.10.2020,37,37.44,37.44,36.6,"895,87K",-0.011752136752137
26.10.2020,36.9,38.49,38.7,36.77,"1,32M",-0.041309431021045
23.10.2020,38.94,37.77,39.11,37.48,"1,64M",0.030976965845909
22.10.2020,37.3,37.4,37.7,36.67,"742,98K",-0.002673796791444
21.10.2020,37.43,37.9,37.95,37.41,"941,12K",-0.012401055408971
20.10.2020,37.89,36.74,37.99,36.73,"956,56K",0.031301034295046
19.10.2020,36.74,36.85,37.21,36.6,"487,50K",-0.002985074626866
16.10.2020,36.8,36,37.13,36,"1,28M",0.022222222222222
15.10.2020,35.35,36.46,36.81,35.03,"1,08M",-0.030444322545255
14.10.2020,36.9,36.83,37.31,36.47,"602,20K",0.001900624490904
13.10.2020,36.79,36.81,36.86,36.31,"513,01K",-0.00054333061668
12.10.2020,36.96,36.56,37.25,36.54,"641,07K",0.010940919037199
09.10.2020,36.39,35.94,36.72,35.78,"695,09K",0.012520868113523
08.10.2020,36.02,36.8,36.84,35.78,"835,34K",-0.021195652173913
07.10.2020,36.7,36.38,37.13,36.34,"699,03K",0.008796041781198
06.10.2020,36.43,36.43,36.83,36.11,"635,83K",0
05.10.2020,36.17,35.78,36.74,35.59,"839,95K",0.010899944102851
02.10.2020,35.47,35.29,35.59,34.96,"510,99K",0.005100595069425
01.10.2020,35.61,35.26,35.92,35.2,"604,47K",0.009926262053318
30.09.2020,34.98,34.82,35.19,34.54,"650,24K",0.004595060310166
29.09.2020,35.05,35.13,35.37,34.7,"439,77K",-0.002277255906633
28.09.2020,35.18,35.23,35.34,34.72,"518,25K",-0.00141924496168
25.09.2020,34.74,35.39,35.39,34.27,"608,76K",-0.018366770274089
24.09.2020,35.2,34.8,35.4,34.56,"694,26K",0.011494252873563
23.09.2020,35.2,34.87,35.81,34.77,"785,43K",0.009463722397477
22.09.2020,34.52,35.46,35.46,34.41,"665,85K",-0.026508742244783
21.09.2020,35.07,36.25,36.55,34.85,"872,00K",-0.032551724137931
18.09.2020,36.5,36.96,37.19,36.25,"1,51M",-0.012445887445888
17.09.2020,37.22,37.46,37.84,37.21,"648,60K",-0.00640683395622
16.09.2020,37.93,36.98,38.32,36.91,"1,41M",0.025689561925365
15.09.2020,36.74,35.21,37.13,35.21,"1,50M",0.043453564328316
14.09.2020,35.21,35.2,35.43,34.94,"701,87K",0.000284090909091
11.09.2020,34.89,34.33,35.1,34.3,"816,45K",0.016312263326537
10.09.2020,34.31,34.38,34.52,34.03,"612,05K",-0.002036067481094
09.09.2020,34.47,34.2,34.63,33.59,"988,29K",0.007894736842105
08.09.2020,34.2,34.69,34.84,33.5,"796,56K",-0.014125108100317
07.09.2020,34.47,34.06,34.8,33.88,"689,53K",0.012037580739871
04.09.2020,33.77,33.01,34.28,33.01,"809,77K",0.023023326264769
03.09.2020,33.39,33.98,34.35,33.18,"940,98K",-0.017363154796939
02.09.2020,33.48,32.85,34.34,32.74,"1,55M",0.019178082191781
01.09.2020,32.48,32.68,32.93,32.08,"560,79K",-0.006119951040392
31.08.2020,32.45,32.75,33.32,32.4,"726,22K",-0.009160305343511
28.08.2020,32.4,32.62,32.93,32.14,"604,34K",-0.006744328632741
27.08.2020,32.62,32.99,33.11,32.54,"685,21K",-0.011215519854502
26.08.2020,33.16,32.52,33.19,32.42,"424,63K",0.019680196801968
25.08.2020,32.53,32.5,33.03,32.5,"431,01K",0.000923076923077
24.08.2020,32.37,32.3,32.71,32.25,"425,10K",0.002167182662539
21.08.2020,32.04,32.16,32.16,31.22,"514,05K",-0.003731343283582
20.08.2020,32.02,31.96,32.29,31.63,"507,38K",0.001877346683354
19.08.2020,32.23,32.65,33.06,32.19,"558,79K",-0.012863705972435
18.08.2020,32.61,32.72,33.05,32.26,"547,55K",-0.003361858190709
17.08.2020,32.95,32.92,33.59,32.85,"432,77K",0.000911300121507
14.08.2020,32.88,33.22,33.78,32.67,"689,16K",-0.010234798314268
13.08.2020,33.48,33.83,34.08,33.48,"506,27K",-0.010345846881466
12.08.2020,33.89,32.66,33.89,32.65,"814,77K",0.037660747091243
11.08.2020,32.7,32.33,33,32.2,"960,55K",0.011444478812249
10.08.2020,31.97,32.44,32.44,31.77,"376,91K",-0.014488286066585
07.08.2020,32.28,32.03,32.52,31.6,"483,87K",0.007805182641274
06.08.2020,32.07,32.22,32.33,31.76,"1,02M",-0.004655493482309
05.08.2020,32.38,32.07,32.59,31.89,"768,05K",0.009666354848768
04.08.2020,31.9,32.95,32.95,31.7,"856,23K",-0.031866464339909
03.08.2020,32.63,32.55,33.12,32,"711,51K",0.002457757296467
31.07.2020,32.6,33.04,33.31,32.47,"521,08K",-0.013317191283293
30.07.2020,33.17,33.14,33.52,32.82,"951,70K",0.000905250452625
29.07.2020,33.2,32.89,33.36,32.71,"686,92K",0.009425357251444
28.07.2020,32.89,33.65,33.82,32.52,"1,73M",-0.02258543833581
27.07.2020,34.4,33.6,34.68,33.6,"996,98K",0.023809523809524
24.07.2020,33.62,33.58,33.94,33.51,"632,85K",0.001191185229303
23.07.2020,34.14,33.87,34.24,33.52,"842,00K",0.007971656333038
22.07.2020,33.59,34.37,34.48,33.3,"787,04K",-0.022694210066919
21.07.2020,34.5,33.92,35.26,33.9,"1,49M",0.017099056603774
20.07.2020,33.68,33.3,33.76,33.15,"795,80K",0.011411411411412
17.07.2020,33.23,33.92,33.99,33.04,"1,03M",-0.020341981132076
16.07.2020,33.99,34.36,34.54,33.99,"921,54K",-0.010768335273574
15.07.2020,34.58,34.2,34.79,33.89,"836,84K",0.011111111111111
14.07.2020,34.14,34.31,34.4,33.48,"801,60K",-0.00495482366657
13.07.2020,34.65,34.68,34.68,33.94,"494,97K",-0.000865051903114
10.07.2020,34.16,33.84,34.38,33.77,"475,18K",0.009456264775414
09.07.2020,34.16,34.66,35.04,34.16,"594,49K",-0.014425851125216
08.07.2020,34.51,34.7,34.88,34.01,"523,66K",-0.005475504322767
07.07.2020,34.82,34.21,35.19,34.07,"726,48K",0.017831043554516
06.07.2020,34.16,34.5,34.68,33.89,"455,85K",-0.009855072463768
