Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,15.52,15.43,15.77,15.34,"2,32M",0.005832793259883
18.02.2021,15.52,15.93,15.95,15.44,"2,68M",-0.025737602008789
17.02.2021,15.88,15.95,16.1,15.81,"5,16M",-0.004388714733542
16.02.2021,16.6,16.42,16.73,16.42,"1,91M",0.010962241169306
15.02.2021,16.49,16.25,16.49,16.25,"1,99M",0.014769230769231
12.02.2021,16.21,15.92,16.4,15.83,"2,95M",0.01821608040201
11.02.2021,15.9,15.75,15.99,15.1,"3,95M",0.00952380952381
10.02.2021,15.65,15.85,16.02,15.65,"2,01M",-0.012618296529969
09.02.2021,15.85,16.39,16.4,15.78,"2,71M",-0.032946918852959
08.02.2021,16.36,16.14,16.39,16.06,"2,37M",0.01363073110285
05.02.2021,16.03,15.98,16.16,15.81,"2,16M",0.003128911138924
04.02.2021,15.84,15.5,16.03,15.45,"2,13M",0.021935483870968
03.02.2021,15.62,15.75,15.97,15.45,"2,79M",-0.008253968253968
02.02.2021,15.38,15.16,15.44,15.06,"1,71M",0.014511873350924
01.02.2021,15.06,14.76,15.09,14.6,"1,40M",0.020325203252033
29.01.2021,14.65,14.59,14.84,14.53,"1,60M",0.004112405757368
28.01.2021,14.93,14.44,14.99,14.2,"2,50M",0.03393351800554
27.01.2021,14.44,15.03,15.03,14.32,"2,54M",-0.039254823685961
26.01.2021,14.89,14.49,15.06,14.42,"2,05M",0.027605244996549
25.01.2021,14.45,15.19,15.23,14.43,"2,49M",-0.048716260697828
22.01.2021,15.06,15.21,15.23,14.85,"1,72M",-0.009861932938856
21.01.2021,15.28,15.6,15.64,15.28,"1,36M",-0.020512820512821
20.01.2021,15.52,15.32,15.53,15.23,"1,27M",0.013054830287206
19.01.2021,15.23,15.35,15.49,15.2,"964,05K",-0.007817589576547
18.01.2021,15.34,15.19,15.35,15.11,"868,82K",0.009874917709019
15.01.2021,15.25,15.28,15.39,15.02,"2,10M",-0.00196335078534
14.01.2021,15.23,15.56,15.56,15.23,"1,91M",-0.02120822622108
13.01.2021,15.48,15.31,15.58,15.18,"1,51M",0.011103853690399
12.01.2021,15.31,15.72,15.74,15.31,"2,32M",-0.026081424936387
11.01.2021,15.72,15.86,15.91,15.59,"1,51M",-0.008827238335435
08.01.2021,15.85,15.9,16.02,15.73,"1,42M",-0.00314465408805
07.01.2021,15.79,15.84,15.86,15.57,"1,96M",-0.003156565656566
06.01.2021,15.81,16.13,16.17,15.72,"3,52M",-0.01983880967142
05.01.2021,16.13,16.55,16.7,16.07,"2,07M",-0.025377643504532
04.01.2021,16.56,16.35,16.93,16.35,"2,33M",0.012844036697248
30.12.2020,16.34,16.45,16.53,16.34,"764,44K",-0.006686930091185
29.12.2020,16.39,16.44,16.53,16.32,"814,40K",-0.003041362530414
28.12.2020,16.4,16.47,16.57,16.25,"867,00K",-0.004250151791135
23.12.2020,16.35,16.5,16.5,16.28,"1,12M",-0.009090909090909
22.12.2020,16.42,15.98,16.42,15.85,"1,43M",0.027534418022528
21.12.2020,15.9,16.1,16.24,15.5,"2,08M",-0.012422360248447
18.12.2020,16.24,16.38,16.75,16.23,"6,37M",-0.008547008547009
17.12.2020,16.5,16.49,16.6,16.36,"1,98M",0.000606428138266
16.12.2020,16.38,16,16.48,16,"2,44M",0.02375
15.12.2020,15.95,16.14,16.19,15.87,"2,14M",-0.011771995043371
14.12.2020,16.1,16.38,16.4,16.1,"1,99M",-0.017094017094017
11.12.2020,16.24,16.05,16.32,15.9,"2,21M",0.01183800623053
10.12.2020,16.03,16.25,16.28,15.66,"2,19M",-0.013538461538462
09.12.2020,16.28,16.31,16.35,16.03,"1,74M",-0.001839362354384
08.12.2020,16.2,16.15,16.36,16.02,"1,84M",0.003095975232198
07.12.2020,16.15,15.91,16.19,15.77,"2,24M",0.015084852294155
04.12.2020,15.9,15.69,15.9,15.61,"1,35M",0.01338432122371
03.12.2020,15.63,15.48,15.8,15.38,"1,43M",0.00968992248062
02.12.2020,15.4,15.56,15.66,15.35,"1,58M",-0.010282776349614
01.12.2020,15.55,15.85,15.86,15.55,"1,89M",-0.018927444794953
30.11.2020,15.8,15.94,16.15,15.73,"3,67M",-0.008782936010038
27.11.2020,15.89,15.78,15.89,15.74,"1,57M",0.006970849176172
26.11.2020,15.74,15.55,15.78,15.55,"1,11M",0.012218649517685
25.11.2020,15.55,15.47,15.67,15.4,"2,21M",0.005171299288946
24.11.2020,15.4,15.74,15.74,15.32,"2,34M",-0.021601016518424
23.11.2020,15.6,15.73,15.78,15.57,"2,09M",-0.008264462809917
20.11.2020,15.58,15.36,15.66,15.31,"2,07M",0.014322916666667
19.11.2020,15.31,15.14,15.38,14.8,"3,10M",0.011228533685601
18.11.2020,15.22,14.84,15.26,14.72,"4,31M",0.025606469002696
17.11.2020,14.75,14.85,14.9,14.66,"2,54M",-0.006734006734007
16.11.2020,14.81,15.2,15.23,14.55,"5,17M",-0.025657894736842
13.11.2020,14.71,14.9,14.98,14.71,"1,65M",-0.012751677852349
12.11.2020,14.9,14.81,15.14,14.77,"2,29M",0.00607697501688
11.11.2020,14.68,14.9,15.31,14.6,"3,47M",-0.014765100671141
10.11.2020,14.81,15.08,15.15,14.55,"4,11M",-0.01790450928382
09.11.2020,15.07,14.8,15.1,14.27,"7,64M",0.018243243243243
06.11.2020,14.6,14.1,14.74,13.89,"3,12M",0.035460992907802
05.11.2020,14.26,14.61,14.74,14.21,"2,90M",-0.023956194387406
04.11.2020,14.41,13.51,14.44,13.38,"5,45M",0.066617320503331
03.11.2020,13.51,13.25,13.57,13.06,"5,58M",0.019622641509434
02.11.2020,12.85,13.2,13.35,12.55,"5,63M",-0.026515151515152
30.10.2020,13.19,13.24,13.44,13.1,"1,68M",-0.003776435045317
29.10.2020,13.4,13.5,13.55,13.05,"2,40M",-0.007407407407407
28.10.2020,13.41,13.91,13.91,13.27,"3,85M",-0.035945363048167
27.10.2020,14.03,14.35,14.51,14.03,"2,91M",-0.022299651567944
26.10.2020,14.31,14.74,14.82,14.23,"3,14M",-0.029172320217096
23.10.2020,14.92,14.82,14.98,14.73,"1,72M",0.006747638326586
22.10.2020,14.85,14.79,15.03,14.65,"2,24M",0.004056795131846
