Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,4.708,4.59,4.733,4.584,"1,82M",0.025708061002179
18.02.2021,4.601,4.621,4.658,4.588,"1,43M",-0.004328067517853
17.02.2021,4.622,4.686,4.787,4.608,"3,16M",-0.013657703798549
16.02.2021,4.715,4.767,4.812,4.686,"2,61M",-0.010908328088945
15.02.2021,4.745,4.767,4.805,4.704,"2,45M",-0.004615061883784
12.02.2021,4.681,4.677,4.694,4.641,"1,65M",0.000855249091298
11.02.2021,4.675,4.659,4.718,4.655,"1,99M",0.003434213350504
10.02.2021,4.655,4.7,4.756,4.647,"2,61M",-0.009574468085106
09.02.2021,4.693,4.72,4.786,4.678,"4,48M",-0.005720338983051
08.02.2021,4.723,4.69,4.804,4.63,"3,80M",0.007036247334755
05.02.2021,4.676,4.581,4.683,4.516,"5,48M",0.020737830168086
04.02.2021,4.66,4.433,4.715,4.433,"8,84M",0.051206857658471
03.02.2021,4.408,4.446,4.52,4.383,"4,26M",-0.008547008547008
02.02.2021,4.373,4.31,4.405,4.281,"3,07M",0.01461716937355
01.02.2021,4.28,4.313,4.344,4.231,"3,96M",-0.007651286807327
29.01.2021,4.31,4.206,4.353,4.195,"3,11M",0.024726581074655
28.01.2021,4.279,4.25,4.29,4.142,"4,09M",0.006823529411765
27.01.2021,4.269,4.28,4.53,4.269,"8,68M",-0.002570093457944
26.01.2021,4.32,4.228,4.34,4.183,"2,82M",0.021759697256386
25.01.2021,4.194,4.348,4.392,4.165,"3,45M",-0.03541858325667
22.01.2021,4.291,4.428,4.428,4.277,"3,19M",-0.030939476061427
21.01.2021,4.431,4.501,4.533,4.426,"2,68M",-0.015552099533437
20.01.2021,4.479,4.401,4.544,4.401,"3,90M",0.01772324471711
19.01.2021,4.394,4.45,4.452,4.379,"1,40M",-0.012584269662921
18.01.2021,4.43,4.329,4.438,4.305,"2,58M",0.023331023331023
15.01.2021,4.338,4.448,4.484,4.292,"2,16M",-0.024730215827338
14.01.2021,4.44,4.516,4.553,4.44,"2,05M",-0.016829052258636
13.01.2021,4.488,4.507,4.533,4.452,"2,83M",-0.004215664521855
12.01.2021,4.536,4.386,4.56,4.371,"4,57M",0.034199726402189
11.01.2021,4.392,4.419,4.439,4.367,"2,01M",-0.006109979633401
08.01.2021,4.446,4.464,4.471,4.37,"4,81M",-0.004032258064516
07.01.2021,4.44,4.339,4.454,4.295,"4,75M",0.023277252823231
06.01.2021,4.293,4.34,4.383,4.266,"4,30M",-0.010829493087558
05.01.2021,4.288,4.27,4.33,4.24,"5,90M",0.004215456674473
04.01.2021,4.359,4.47,4.509,4.3,"3,49M",-0.024832214765101
30.12.2020,4.433,4.478,4.478,4.415,"1,24M",-0.01004912907548
29.12.2020,4.46,4.514,4.545,4.424,"1,97M",-0.011962782454586
28.12.2020,4.515,4.45,4.59,4.435,"4,06M",0.014606741573034
23.12.2020,4.403,4.4,4.444,4.363,"2,72M",0.000681818181818
22.12.2020,4.351,4.35,4.382,4.315,"2,57M",0.000229885057471
21.12.2020,4.33,4.3,4.332,4.178,"5,26M",0.006976744186047
18.12.2020,4.394,4.648,4.679,4.394,"11,90M",-0.054647160068847
17.12.2020,4.684,4.55,4.747,4.534,"8,21M",0.02945054945055
16.12.2020,4.475,4.441,4.551,4.378,"6,33M",0.007655933348345
15.12.2020,4.4,4.417,4.424,4.279,"7,53M",-0.003848766130858
14.12.2020,4.489,4.408,4.553,4.408,"3,10M",0.018375680580762
11.12.2020,4.408,4.4,4.468,4.292,"3,83M",0.001818181818182
10.12.2020,4.397,4.554,4.59,4.382,"4,79M",-0.0344751866491
