Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,9398,9304,9462,9286,"2,87M",0.010103181427343
18.02.2021,9304,9520,9544,9264,"5,49M",-0.022689075630252
17.02.2021,9482,9854,9890,9456,"7,23M",-0.037751167038766
16.02.2021,9652,9770,9790,9614,"3,62M",-0.012077789150461
15.02.2021,9770,9768,9854,9718,"3,48M",0.00020475020475
12.02.2021,9678,9662,9700,9460,"4,02M",0.001655971848479
11.02.2021,9650,9560,9710,9540,"3,92M",0.009414225941423
10.02.2021,9514,9584,9700,9504,"4,59M",-0.007303839732888
09.02.2021,9570,9500,9648,9346,"5,61M",0.007368421052632
08.02.2021,9456,9302,9498,9274,"6,11M",0.016555579445281
05.02.2021,9220,9080,9290,9022,"7,68M",0.015418502202643
04.02.2021,9012,8870,9066,8706,"7,56M",0.016009019165727
03.02.2021,8870,8648,8908,8576,"13,73M",0.025670675300648
02.02.2021,8280,8340,8372,8260,"3,12M",-0.007194244604317
01.02.2021,8294,8150,8298,8120,"2,08M",0.017668711656442
29.01.2021,8076,8138,8216,8076,"2,38M",-0.007618579503564
28.01.2021,8234,8110,8256,8072,"2,43M",0.015289765721332
27.01.2021,8160,8392,8400,8160,"2,69M",-0.027645376549094
26.01.2021,8362,8208,8392,8208,"1,77M",0.018762183235868
25.01.2021,8208,8332,8404,8172,"2,65M",-0.014882381180989
22.01.2021,8268,8300,8310,8126,"2,62M",-0.003855421686747
21.01.2021,8318,8470,8482,8314,"1,88M",-0.017945690672963
20.01.2021,8396,8410,8468,8374,"2,49M",-0.00166468489893
19.01.2021,8310,8416,8424,8300,"1,58M",-0.012595057034221
18.01.2021,8380,8334,8400,8264,"1,38M",0.005519558435325
15.01.2021,8352,8426,8494,8322,"2,97M",-0.00878234037503
14.01.2021,8352,8434,8474,8352,"2,34M",-0.00972255157695
13.01.2021,8434,8358,8458,8358,"1,67M",0.009093084469969
12.01.2021,8390,8560,8578,8302,"4,79M",-0.019859813084112
11.01.2021,8534,8620,8638,8488,"1,60M",-0.009976798143852
08.01.2021,8594,8740,8770,8562,"2,50M",-0.016704805491991
07.01.2021,8718,8600,8736,8552,"4,70M",0.013720930232558
06.01.2021,8540,8370,8568,8316,"3,21M",0.020310633213859
05.01.2021,8288,8340,8368,8252,"2,51M",-0.006235011990408
04.01.2021,8342,8380,8412,8298,"1,74M",-0.004534606205251
30.12.2020,8320,8364,8390,8320,"1,16M",-0.005260640841703
29.12.2020,8350,8416,8426,8312,"1,55M",-0.007842205323194
28.12.2020,8390,8410,8462,8380,"1,27M",-0.002378121284186
23.12.2020,8368,8356,8408,8304,"1,59M",0.001436093824797
22.12.2020,8334,8206,8344,8190,"1,86M",0.015598342676091
21.12.2020,8166,8204,8222,8002,"4,10M",-0.004631886884447
18.12.2020,8358,8390,8418,8344,"4,20M",-0.003814064362336
17.12.2020,8390,8516,8548,8382,"2,78M",-0.014795678722405
16.12.2020,8478,8360,8536,8358,"3,49M",0.014114832535885
15.12.2020,8344,8330,8382,8298,"2,34M",0.001680672268908
14.12.2020,8350,8410,8478,8350,"2,61M",-0.007134363852556
11.12.2020,8350,8362,8392,8222,"3,15M",-0.001435063381966
10.12.2020,8418,8400,8456,8334,"2,22M",0.002142857142857
09.12.2020,8406,8460,8522,8386,"2,90M",-0.006382978723404
08.12.2020,8394,8396,8440,8370,"1,66M",-0.000238208670796
07.12.2020,8408,8508,8508,8390,"2,05M",-0.011753643629525
04.12.2020,8504,8460,8546,8428,"2,27M",0.005200945626478
03.12.2020,8474,8470,8490,8396,"2,19M",0.00047225501771
02.12.2020,8474,8600,8600,8434,"3,27M",-0.014651162790698
01.12.2020,8612,8614,8690,8592,"2,55M",-0.000232180171813
30.11.2020,8544,8724,8748,8526,"6,56M",-0.020632737276479
27.11.2020,8800,8700,8800,8700,"2,13M",0.011494252873563
26.11.2020,8712,8796,8820,8712,"1,38M",-0.009549795361528
25.11.2020,8796,8820,8864,8682,"3,57M",-0.002721088435374
24.11.2020,8796,8658,8824,8648,"4,26M",0.015939015939016
23.11.2020,8602,8720,8798,8602,"3,81M",-0.013532110091743
20.11.2020,8760,8734,8836,8678,"3,66M",0.002976871994504
19.11.2020,8718,8778,8850,8718,"12,55M",-0.006835269993165
18.11.2020,8854,8760,8976,8752,"6,48M",0.010730593607306
17.11.2020,8760,8620,8760,8614,"4,67M",0.016241299303944
16.11.2020,8614,8682,8758,8504,"6,35M",-0.007832296705828
13.11.2020,8504,8270,8514,8252,"8,16M",0.028295042321645
12.11.2020,8230,8066,8298,8056,"8,30M",0.020332258864369
11.11.2020,7988,8060,8114,7984,"3,36M",-0.00893300248139
10.11.2020,8046,7852,8050,7790,"6,48M",0.024707080998472
09.11.2020,7852,7700,7984,7678,"6,43M",0.01974025974026
06.11.2020,7584,7716,7758,7564,"2,33M",-0.017107309486781
05.11.2020,7710,7500,7750,7476,"4,10M",0.028
04.11.2020,7464,7116,7490,7102,"3,16M",0.048903878583474
03.11.2020,7236,7188,7300,7164,"3,62M",0.006677796327212
02.11.2020,7168,7040,7168,6930,"2,36M",0.018181818181818
30.10.2020,7000,6950,7058,6918,"2,26M",0.007194244604317
29.10.2020,7008,7142,7194,6966,"3,05M",-0.018762251470177
28.10.2020,7104,7350,7350,7080,"3,94M",-0.033469387755102
27.10.2020,7416,7500,7550,7416,"1,97M",-0.0112
26.10.2020,7470,7486,7610,7430,"2,01M",-0.002137323002939
23.10.2020,7592,7582,7728,7580,"1,76M",0.00131891321551
22.10.2020,7606,7570,7618,7476,"1,65M",0.004755614266843
21.10.2020,7594,7768,7774,7584,"2,24M",-0.022399588053553
20.10.2020,7738,7704,7836,7682,"1,84M",0.004413291796469
19.10.2020,7728,7730,7830,7694,"1,36M",-0.00025873221216
16.10.2020,7730,7692,7778,7582,"3,62M",0.004940197607904
15.10.2020,7634,7966,7966,7578,"5,65M",-0.041677127793121
14.10.2020,8036,7870,8052,7838,"2,93M",0.021092757306226
13.10.2020,7870,8010,8050,7830,"2,89M",-0.017478152309613
12.10.2020,8034,8038,8058,7972,"1,51M",-0.000497636227917
09.10.2020,8016,8026,8140,7976,"3,01M",-0.001245950660354
08.10.2020,8014,8040,8098,7962,"2,24M",-0.003233830845771
07.10.2020,8018,8084,8098,7926,"3,23M",-0.008164275111331
06.10.2020,8088,7938,8140,7882,"5,74M",0.018896447467876
05.10.2020,7900,7656,7944,7608,"5,72M",0.031870428422153
02.10.2020,7556,7460,7556,7420,"1,82M",0.012868632707775
01.10.2020,7512,7610,7660,7464,"1,99M",-0.012877792378449
30.09.2020,7568,7540,7654,7502,"2,04M",0.003713527851459
29.09.2020,7576,7708,7722,7570,"1,44M",-0.01712506486767
28.09.2020,7730,7660,7748,7648,"1,59M",0.009138381201044
25.09.2020,7586,7644,7690,7520,"2,19M",-0.007587650444793
24.09.2020,7644,7600,7756,7566,"1,99M",0.005789473684211
23.09.2020,7660,7700,7804,7640,"2,95M",-0.005194805194805
22.09.2020,7598,7520,7760,7484,"3,03M",0.010372340425532
21.09.2020,7492,7760,7790,7450,"5,09M",-0.034536082474227
18.09.2020,7762,7906,7910,7762,"4,44M",-0.018214014672401
17.09.2020,7944,7800,7970,7766,"1,95M",0.018461538461539
16.09.2020,7900,7920,7980,7846,"2,50M",-0.002525252525253
15.09.2020,7924,7990,7990,7866,"2,06M",-0.008260325406758
14.09.2020,7970,8000,8022,7930,"1,34M",-0.00375
11.09.2020,7966,7946,7986,7880,"2,08M",0.002516989680342
10.09.2020,7980,7942,7996,7866,"3,15M",0.004784688995215
09.09.2020,7940,7784,7940,7724,"4,00M",0.020041109969168
08.09.2020,7794,7990,8034,7744,"3,42M",-0.024530663329162
07.09.2020,7958,7776,7980,7730,"3,93M",0.023405349794239
04.09.2020,7692,7660,7786,7632,"2,81M",0.004177545691906
03.09.2020,7676,7850,7906,7644,"2,67M",-0.022165605095541
02.09.2020,7806,7770,7858,7726,"2,31M",0.004633204633205
01.09.2020,7734,7760,7800,7634,"2,45M",-0.003350515463918
31.08.2020,7690,7912,7916,7690,"3,49M",-0.028058645096057
28.08.2020,7850,7906,7926,7816,"1,32M",-0.007083227928156
27.08.2020,7844,7928,7928,7826,"1,98M",-0.010595358224016
26.08.2020,7936,7900,7952,7852,"1,46M",0.004556962025316
