Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,26.74,27.01,27.24,26.3,"2,10M",-0.009996297667531
18.02.2021,27.24,27.89,28.07,27.17,"795,73K",-0.02330584438867
17.02.2021,27.9,28.06,28.23,27.82,"715,91K",-0.005702066999287
16.02.2021,28.23,28.21,28.52,28.21,"466,90K",0.000708968450904
15.02.2021,28.27,28.52,28.7,28.13,"823,83K",-0.008765778401122
12.02.2021,28.4,28.16,28.4,27.96,"515,43K",0.008522727272727
11.02.2021,28.3,28.15,28.43,28.09,"517,56K",0.005328596802842
10.02.2021,28.17,28.3,28.31,27.81,"869,90K",-0.004593639575972
09.02.2021,28.19,28.53,28.62,28.02,"750,44K",-0.011917280056081
08.02.2021,28.58,28.27,28.69,27.75,"1,04M",0.01096568800849
05.02.2021,28.18,28.41,28.61,28.12,"1,20M",-0.00809574093629
04.02.2021,28.32,27.97,28.49,27.88,"1,68M",0.012513407222024
03.02.2021,27.94,27.92,27.97,27.54,"1,33M",0.000716332378223
02.02.2021,27.44,27.38,27.58,27.2,"966,18K",0.002191380569759
01.02.2021,27.22,26.77,27.39,26.72,"933,64K",0.016809861785581
29.01.2021,26.64,27.17,27.34,26.64,"1,06M",-0.019506808980493
28.01.2021,27.34,26.08,27.46,25.9,"1,96M",0.048312883435583
27.01.2021,26.4,26.9,26.93,25.72,"2,40M",-0.018587360594796
26.01.2021,26.87,27.12,27.97,26.42,"2,89M",-0.009218289085546
25.01.2021,27.93,28.22,28.41,27.7,"1,29M",-0.010276399716513
22.01.2021,28,28.26,28.28,27.42,"1,44M",-0.009200283085633
21.01.2021,28.3,28.18,28.59,28.15,"1,19M",0.004258339247693
20.01.2021,28.1,28.5,28.59,27.86,"874,67K",-0.014035087719298
19.01.2021,28.39,28.32,28.52,27.27,"2,48M",0.002471751412429
18.01.2021,28.13,27.79,28.19,27.67,"706,45K",0.012234616768622
15.01.2021,27.8,29.08,29.17,27.63,"2,02M",-0.044016506189821
14.01.2021,29.08,28.91,29.17,28.41,"1,58M",0.005880318228986
13.01.2021,28.87,28.85,29.37,28.66,"1,81M",0.000693240901213
12.01.2021,28.7,29.34,29.78,28.7,"3,31M",-0.021813224267212
11.01.2021,30.54,30.2,30.7,30.02,"1,10M",0.011258278145695
08.01.2021,30.36,30.98,31,29.71,"1,41M",-0.020012911555843
07.01.2021,30.75,30,30.95,29.99,"1,47M",0.025
06.01.2021,29.96,29.61,30,29.39,"759,52K",0.011820330969267
05.01.2021,29.37,29.12,29.64,29.04,"731,69K",0.008585164835165
04.01.2021,29.22,29.41,29.53,29.11,"936,52K",-0.006460387623257
30.12.2020,29.08,28.95,29.14,28.77,"668,73K",0.004490500863558
29.12.2020,28.88,29,29.03,28.53,"652,07K",-0.004137931034483
28.12.2020,28.95,28.45,28.96,28.29,"523,32K",0.017574692442882
23.12.2020,28.2,28,28.28,27.7,"789,01K",0.007142857142857
22.12.2020,27.96,27.75,27.96,27.33,"832,99K",0.007567567567568
21.12.2020,27.59,27.2,27.66,26.89,"744,31K",0.014338235294118
18.12.2020,27.73,27.7,27.76,27.27,"1,10M",0.001083032490975
17.12.2020,27.6,27.36,27.67,27.35,"676,16K",0.008771929824561
16.12.2020,27.27,27.87,28.18,27.05,"1,03M",-0.021528525296017
15.12.2020,27.8,27.47,27.86,27.23,"739,02K",0.012013105205679
14.12.2020,27.52,27.3,27.59,26.85,"734,31K",0.008058608058608
11.12.2020,27.07,26.91,27.25,26.66,"595,96K",0.00594574507618
10.12.2020,27.06,26.92,27.53,26.82,"1,23M",0.00520059435364
09.12.2020,26.75,27,27,26.72,"700,49K",-0.009259259259259
08.12.2020,26.79,26.84,26.98,26.58,"677,40K",-0.001862891207154
07.12.2020,26.71,27.15,27.16,26.57,"672,00K",-0.016206261510129
04.12.2020,27.25,26.57,27.25,26.57,"1,28M",0.025592773805043
03.12.2020,26.69,26.54,27.06,26.45,"1,02M",0.005651846269782
02.12.2020,26.54,26.91,27.31,26.27,"958,29K",-0.013749535488666
01.12.2020,27.07,27.7,27.71,26.94,"1,14M",-0.022743682310469
30.11.2020,27.43,26.73,27.94,26.64,"1,99M",0.026187803965582
27.11.2020,26.9,26.2,26.9,26,"811,77K",0.026717557251908
26.11.2020,26.2,26.65,26.65,26.2,"367,27K",-0.016885553470919
25.11.2020,26.58,26,26.74,26,"1,15M",0.022307692307692
24.11.2020,25.99,26.21,26.32,25.72,"898,95K",-0.008393742846242
23.11.2020,26.01,26,26.2,25.96,"574,81K",0.000384615384615
20.11.2020,25.95,25.37,25.95,25.25,"774,28K",0.022861647615294
19.11.2020,25.4,25.76,25.95,25.4,"909,72K",-0.013975155279503
18.11.2020,26.1,26.1,26.94,26.02,"1,01M",0
17.11.2020,26.06,26.2,26.7,26,"1,04M",-0.005343511450382
16.11.2020,26.42,25.98,26.46,25.42,"1,23M",0.01693610469592
13.11.2020,25.69,24.76,25.77,24.69,"888,53K",0.037560581583199
12.11.2020,24.9,24.97,25.38,24.9,"966,51K",-0.002803364036844
11.11.2020,25.14,25.1,25.27,24.88,"962,88K",0.001593625498008
10.11.2020,25.02,26,26.21,24.96,"1,78M",-0.037692307692308
09.11.2020,26.14,24.99,26.38,24.89,"2,00M",0.046018407362945
06.11.2020,24.56,24.54,24.73,24.23,"1,12M",0.00081499592502
05.11.2020,24.65,24.15,24.84,23.9,"963,66K",0.020703933747412
04.11.2020,24.01,23.31,24.01,22.75,"1,33M",0.03003003003003
03.11.2020,23.86,24.21,24.55,23.8,"1,08M",-0.014456836018174
02.11.2020,24.05,23.45,24.25,23.1,"867,78K",0.025586353944563
30.10.2020,23.34,23.5,23.61,22.63,"1,41M",-0.006808510638298
29.10.2020,23.54,22.86,23.68,22.52,"1,36M",0.029746281714786
28.10.2020,23.05,23.02,23.62,22.96,"1,28M",0.001303214596004
