Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,43.8,43.8,44.21,43.42,"269,29K",0
18.02.2021,43.74,43.99,44.19,43.65,"154,40K",-0.005683109797681
17.02.2021,44,44.02,44.21,43.69,"159,61K",-0.000454338936847
16.02.2021,44.25,44.84,44.84,44.22,"200,15K",-0.013157894736842
15.02.2021,44.84,44.8,44.89,44.44,"189,31K",0.000892857142857
12.02.2021,44.63,45.11,45.28,44.4,"244,83K",-0.010640656173797
11.02.2021,45.29,45.35,46.14,45.16,"260,64K",-0.001323042998898
10.02.2021,45.25,45.6,45.88,44.91,"237,91K",-0.007675438596491
09.02.2021,45.58,45.33,45.88,45.25,"214,68K",0.00551511140525
08.02.2021,45.4,45.17,45.58,44.58,"357,33K",0.005091875138366
05.02.2021,44.88,43.63,45.02,43.44,"572,96K",0.028650011460005
04.02.2021,43.45,44,44.64,43.26,"463,26K",-0.0125
03.02.2021,43.94,44.51,45,43.85,"337,58K",-0.012806110986295
02.02.2021,44.07,43.48,44.18,43.38,"433,21K",0.013569457221711
01.02.2021,43.48,43.1,43.57,42.68,"328,52K",0.008816705336427
29.01.2021,42.72,41.6,42.85,41.02,"496,61K",0.026923076923077
28.01.2021,42.13,42.05,42.51,41.59,"282,26K",0.001902497027349
27.01.2021,42.5,42.28,43,42.03,"466,22K",0.005203405865658
26.01.2021,42.51,42.2,42.7,42.2,"249,48K",0.007345971563981
25.01.2021,42.42,43.01,43.15,42.11,"242,85K",-0.013717740060451
22.01.2021,42.93,42.55,43,41.67,"388,05K",0.008930669800235
21.01.2021,42.65,42.6,43.09,42.56,"276,31K",0.001173708920188
20.01.2021,42.55,43.37,43.95,42.4,"401,29K",-0.018907078625778
19.01.2021,43.52,43.72,44.07,43.52,"218,26K",-0.004574565416285
18.01.2021,43.71,43.74,43.9,43.41,"125,67K",-0.000685871056241
15.01.2021,43.67,43.81,43.98,43.52,"260,09K",-0.003195617438941
14.01.2021,43.82,43.73,44.18,43.37,"301,53K",0.002058083695404
13.01.2021,43.62,42.84,43.69,42.71,"308,12K",0.018207282913165
12.01.2021,42.86,43.01,43.13,42.54,"356,78K",-0.003487561032318
11.01.2021,42.84,42.65,43.09,42.21,"245,01K",0.004454865181712
08.01.2021,42.79,42,42.97,41.99,"544,78K",0.018809523809524
07.01.2021,41.92,43.79,43.87,41.92,"754,36K",-0.042703813656086
06.01.2021,43.56,45.49,45.49,43.41,"602,20K",-0.04242690701253
05.01.2021,45.16,45,45.58,44.7,"242,72K",0.003555555555555
04.01.2021,44.86,45.73,45.96,44.7,"382,44K",-0.01902471025585
30.12.2020,45.33,45.14,45.71,45,"379,88K",0.004209127159947
29.12.2020,45,44.8,45.15,44.57,"136,26K",0.004464285714286
