Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,2.553,2.5,2.566,2.498,"8,94M",0.0212
18.02.2021,2.53,2.549,2.628,2.516,"14,42M",-0.007453903491565
17.02.2021,2.528,2.661,2.668,2.517,"15,56M",-0.049981210071402
16.02.2021,2.652,2.635,2.716,2.63,"27,61M",0.006451612903226
15.02.2021,2.61,2.524,2.625,2.52,"23,56M",0.034072900158479
12.02.2021,2.489,2.422,2.494,2.417,"15,34M",0.02766308835673
11.02.2021,2.451,2.461,2.485,2.435,"8,00M",-0.004063388866314
10.02.2021,2.468,2.493,2.518,2.434,"13,33M",-0.010028078620136
09.02.2021,2.479,2.472,2.495,2.441,"12,25M",0.002831715210356
08.02.2021,2.455,2.408,2.468,2.406,"13,17M",0.019518272425249
05.02.2021,2.383,2.371,2.417,2.353,"13,76M",0.005061155630536
04.02.2021,2.346,2.317,2.36,2.292,"10,92M",0.012516184721623
03.02.2021,2.293,2.296,2.32,2.247,"11,09M",-0.001306620209059
02.02.2021,2.251,2.193,2.265,2.19,"10,28M",0.026447788417693
01.02.2021,2.171,2.202,2.21,2.158,"7,17M",-0.014078110808356
29.01.2021,2.168,2.21,2.228,2.162,"9,90M",-0.019004524886878
28.01.2021,2.241,2.21,2.269,2.2,"16,00M",0.014027149321267
27.01.2021,2.227,2.124,2.239,2.11,"19,26M",0.0484934086629
26.01.2021,2.128,2.069,2.177,2.056,"10,16M",0.02851619139681
25.01.2021,2.087,2.135,2.148,2.082,"12,23M",-0.02248243559719
22.01.2021,2.123,2.172,2.18,2.114,"17,45M",-0.02255985267035
21.01.2021,2.202,2.316,2.339,2.175,"14,76M",-0.049222797927461
20.01.2021,2.313,2.332,2.352,2.296,"8,13M",-0.008147512864494
19.01.2021,2.334,2.35,2.364,2.32,"7,68M",-0.006808510638298
18.01.2021,2.333,2.296,2.355,2.287,"8,43M",0.016114982578397
15.01.2021,2.327,2.39,2.4,2.277,"10,36M",-0.026359832635983
14.01.2021,2.393,2.406,2.439,2.385,"7,59M",-0.005403158769742
13.01.2021,2.425,2.43,2.457,2.412,"10,21M",-0.002057613168724
12.01.2021,2.41,2.42,2.44,2.377,"7,41M",-0.004132231404959
11.01.2021,2.397,2.42,2.433,2.368,"7,91M",-0.009504132231405
08.01.2021,2.433,2.483,2.525,2.417,"15,49M",-0.020136931131696
07.01.2021,2.459,2.45,2.475,2.393,"18,29M",0.003673469387755
06.01.2021,2.436,2.36,2.476,2.347,"26,43M",0.032203389830509
05.01.2021,2.32,2.227,2.32,2.221,"17,84M",0.041760215536596
04.01.2021,2.228,2.239,2.296,2.213,"20,94M",-0.004912907548012
30.12.2020,2.205,2.199,2.245,2.192,"17,64M",0.002728512960437
29.12.2020,2.171,2.18,2.198,2.154,"6,11M",-0.004128440366973
28.12.2020,2.175,2.19,2.216,2.17,"9,83M",-0.006849315068493
23.12.2020,2.164,2.116,2.173,2.111,"8,53M",0.022684310018904
22.12.2020,2.103,2.078,2.118,2.071,"6,58M",0.012030798845044
21.12.2020,2.076,2.086,2.11,2.013,"17,55M",-0.004793863854266
18.12.2020,2.161,2.147,2.2,2.127,"12,03M",0.006520726595249
17.12.2020,2.174,2.187,2.206,2.162,"8,82M",-0.005944215820759
16.12.2020,2.164,2.18,2.227,2.145,"13,58M",-0.007339449541284
15.12.2020,2.178,2.135,2.18,2.132,"5,18M",0.020140515222483
14.12.2020,2.152,2.19,2.206,2.152,"10,25M",-0.017351598173516
11.12.2020,2.164,2.193,2.204,2.138,"10,20M",-0.013223894208846
10.12.2020,2.192,2.132,2.208,2.114,"10,05M",0.028142589118199
09.12.2020,2.132,2.169,2.208,2.13,"11,31M",-0.017058552328262
08.12.2020,2.142,2.132,2.17,2.121,"4,62M",0.0046904315197
07.12.2020,2.153,2.148,2.184,2.13,"12,24M",0.002327746741155
04.12.2020,2.134,2.1,2.165,2.099,"14,95M",0.016190476190476
03.12.2020,2.069,2.098,2.104,2.043,"7,10M",-0.013822688274547
02.12.2020,2.091,2.019,2.099,1.993,"9,91M",0.035661218424963
01.12.2020,2.038,2.071,2.071,2.025,"9,21M",-0.015934331240947
30.11.2020,2.045,2.048,2.069,2.002,"12,83M",-0.00146484375
27.11.2020,2.076,2.097,2.124,2.046,"16,78M",-0.010014306151645
26.11.2020,2.114,2.174,2.177,2.094,"16,22M",-0.027598896044158
25.11.2020,2.16,2.202,2.245,2.122,"20,93M",-0.019073569482289
24.11.2020,2.169,2.047,2.172,2.04,"29,65M",0.059599413776258
23.11.2020,2,1.95,2.009,1.936,"19,43M",0.025641025641026
20.11.2020,1.913,1.9425,1.9655,1.91,"11,76M",-0.015186615186615
19.11.2020,1.9425,1.94,1.964,1.907,"9,07M",0.001288659793814
18.11.2020,1.95,1.9615,1.9705,1.935,"15,26M",-0.005862860056079
17.11.2020,1.952,1.933,1.973,1.922,"14,23M",0.009829280910502
16.11.2020,1.94,1.879,1.954,1.874,"17,35M",0.032464076636509
13.11.2020,1.853,1.812,1.875,1.796,"10,98M",0.022626931567329
12.11.2020,1.832,1.85,1.851,1.7925,"16,65M",-0.00972972972973
11.11.2020,1.861,1.897,1.9385,1.855,"17,93M",-0.018977332630469
10.11.2020,1.9125,1.875,1.9585,1.814,"29,31M",0.02
09.11.2020,1.87,1.7,1.879,1.7,"39,98M",0.1
06.11.2020,1.665,1.666,1.698,1.6495,"9,81M",-0.000600240096038
05.11.2020,1.6765,1.683,1.692,1.6335,"8,35M",-0.003862150920975
04.11.2020,1.658,1.65,1.72,1.62,"19,54M",0.004848484848485
03.11.2020,1.681,1.67,1.7075,1.6395,"25,20M",0.006586826347305
02.11.2020,1.6225,1.5125,1.6225,1.4745,"20,65M",0.072727272727273
30.10.2020,1.5075,1.3795,1.5135,1.37,"21,63M",0.092787241754259
29.10.2020,1.39,1.416,1.44,1.3725,"14,79M",-0.018361581920904
28.10.2020,1.4135,1.37,1.448,1.271,"26,11M",0.031751824817518
27.10.2020,1.398,1.456,1.473,1.396,"9,47M",-0.039835164835165
26.10.2020,1.443,1.418,1.459,1.404,"7,83M",0.017630465444288
23.10.2020,1.468,1.44,1.49,1.44,"10,39M",0.019444444444445
22.10.2020,1.4445,1.4235,1.4485,1.3935,"8,04M",0.014752370916755
21.10.2020,1.4325,1.5125,1.52,1.43,"13,42M",-0.052892561983471
20.10.2020,1.512,1.4845,1.5225,1.4685,"9,07M",0.018524755810037
19.10.2020,1.5025,1.4635,1.5075,1.4445,"6,28M",0.026648445507345
16.10.2020,1.4625,1.45,1.467,1.425,"10,69M",0.008620689655172
15.10.2020,1.431,1.4575,1.467,1.403,"13,43M",-0.018181818181818
14.10.2020,1.4795,1.4485,1.4955,1.4225,"9,63M",0.02140144977563
13.10.2020,1.4565,1.5,1.507,1.45,"10,25M",-0.029
12.10.2020,1.5115,1.5595,1.562,1.504,"9,81M",-0.030779095864059
09.10.2020,1.5595,1.596,1.608,1.551,"11,66M",-0.022869674185464
08.10.2020,1.59,1.555,1.598,1.54,"9,83M",0.022508038585209
07.10.2020,1.54,1.549,1.5625,1.5205,"9,10M",-0.005810200129116
06.10.2020,1.5695,1.544,1.5795,1.537,"13,32M",0.016515544041451
05.10.2020,1.5395,1.4915,1.566,1.4745,"17,73M",0.032182366744888
02.10.2020,1.4715,1.399,1.478,1.3825,"15,92M",0.051822730521801
01.10.2020,1.4195,1.482,1.496,1.408,"16,23M",-0.042172739541161
30.09.2020,1.4675,1.39,1.496,1.369,"19,93M",0.055755395683453
29.09.2020,1.3985,1.446,1.4735,1.396,"15,12M",-0.032849239280775
28.09.2020,1.445,1.378,1.4495,1.3655,"15,22M",0.048621190130624
25.09.2020,1.362,1.4275,1.44,1.3545,"15,96M",-0.045884413309983
24.09.2020,1.4085,1.45,1.454,1.378,"21,08M",-0.028620689655172
23.09.2020,1.4735,1.516,1.5335,1.4735,"11,76M",-0.028034300791557
22.09.2020,1.515,1.542,1.5715,1.49,"18,00M",-0.017509727626459
21.09.2020,1.5355,1.649,1.649,1.5355,"16,85M",-0.068829593693148
18.09.2020,1.659,1.686,1.705,1.6575,"19,54M",-0.016014234875445
17.09.2020,1.683,1.663,1.708,1.654,"14,03M",0.012026458208058
16.09.2020,1.685,1.63,1.6855,1.6215,"16,27M",0.033742331288344
15.09.2020,1.615,1.602,1.615,1.5765,"14,73M",0.008114856429463
14.09.2020,1.6,1.6485,1.6555,1.596,"14,69M",-0.029420685471641
11.09.2020,1.625,1.661,1.664,1.6105,"20,78M",-0.021673690547863
10.09.2020,1.668,1.6675,1.695,1.631,"16,34M",0.000299850074963
09.09.2020,1.6705,1.657,1.6965,1.653,"12,17M",0.008147254073627
08.09.2020,1.655,1.7,1.737,1.63,"18,73M",-0.026470588235294
07.09.2020,1.6985,1.712,1.7155,1.6715,"14,72M",-0.007885514018692
04.09.2020,1.71,1.749,1.7715,1.6885,"20,12M",-0.022298456260721
03.09.2020,1.749,1.75,1.7885,1.738,"10,69M",-0.000571428571429
02.09.2020,1.744,1.776,1.783,1.733,"9,89M",-0.018018018018018
01.09.2020,1.764,1.8055,1.81,1.7315,"17,30M",-0.022985322625312
31.08.2020,1.795,1.812,1.854,1.793,"10,43M",-0.009381898454746
28.08.2020,1.805,1.819,1.8195,1.782,"8,83M",-0.007696536558549
27.08.2020,1.807,1.8435,1.8435,1.802,"9,01M",-0.019799294819637
26.08.2020,1.8395,1.8465,1.869,1.8285,"7,67M",-0.003790955862442
25.08.2020,1.8465,1.8605,1.8825,1.829,"11,30M",-0.007524858908895
24.08.2020,1.86,1.809,1.86,1.8005,"16,46M",0.028192371475953
21.08.2020,1.791,1.8505,1.851,1.786,"22,37M",-0.032153472034585
20.08.2020,1.856,1.854,1.918,1.838,"11,31M",0.001078748651564
19.08.2020,1.877,1.8935,1.8935,1.853,"12,35M",-0.008714021653023
18.08.2020,1.8935,1.906,1.931,1.8765,"6,98M",-0.006558237145855
17.08.2020,1.91,1.938,1.957,1.907,"6,37M",-0.014447884416925
14.08.2020,1.942,1.955,1.959,1.9045,"11,79M",-0.006649616368286
13.08.2020,1.978,2.004,2.029,1.9735,"8,38M",-0.012974051896208
