Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,4363,4391,4424,4363,"8,78M",-0.006376679571852
18.02.2021,4391,4426,4448,4367,"8,50M",-0.007907817442386
17.02.2021,4430,4450,4465,4408,"7,70M",-0.004494382022472
16.02.2021,4444,4530,4536,4444,"8,13M",-0.018984547461369
15.02.2021,4519,4500,4539,4479,"8,09M",0.004222222222222
12.02.2021,4472,4470,4488,4447,"5,31M",0.000447427293065
11.02.2021,4470,4437,4485,4417,"5,93M",0.007437457741717
10.02.2021,4451,4438,4459,4412,"7,62M",0.002929247408743
09.02.2021,4417,4490,4504,4403,"10,34M",-0.016258351893096
08.02.2021,4490,4510,4528,4445,"11,99M",-0.004434589800443
05.02.2021,4482,4570,4570,4473,"14,21M",-0.019256017505471
04.02.2021,4540,4505,4558,4452,"9,32M",0.007769145394007
03.02.2021,4504,4500,4590,4470,"15,79M",0.000888888888889
02.02.2021,4409,4416,4444,4390,"7,30M",-0.001585144927536
01.02.2021,4397,4344,4420,4344,"6,80M",0.012200736648251
29.01.2021,4328,4388,4400,4328,"13,10M",-0.013673655423883
28.01.2021,4429,4394,4460,4370,"9,44M",0.007965407373691
27.01.2021,4456,4433,4481,4403,"9,54M",0.00518836002707
26.01.2021,4433,4400,4433,4370,"7,46M",0.0075
25.01.2021,4388,4380,4393,4318,"10,77M",0.001826484018265
22.01.2021,4354,4356,4365,4286,"10,69M",-0.000459136822773
21.01.2021,4358,4432,4440,4352,"8,55M",-0.016696750902527
20.01.2021,4406,4410,4419,4362,"10,15M",-0.000907029478458
19.01.2021,4408,4450,4478,4399,"8,11M",-0.009438202247191
18.01.2021,4447,4460,4469,4431,"8,89M",-0.002914798206278
15.01.2021,4563,4580,4619,4527,"10,11M",-0.003711790393013
14.01.2021,4575,4611,4615,4543,"10,18M",-0.007807417046194
13.01.2021,4602,4560,4610,4527,"7,40M",0.009210526315789
12.01.2021,4562,4664,4664,4561,"10,39M",-0.021869639794168
11.01.2021,4644,4646,4664,4619,"6,91M",-0.000430477830392
08.01.2021,4650,4660,4710,4618,"8,86M",-0.002145922746781
07.01.2021,4643,4644,4662,4610,"9,55M",-0.00021533161068
06.01.2021,4625,4638,4650,4591,"12,09M",-0.002802932298404
05.01.2021,4608,4584,4644,4573,"9,24M",0.005235602094241
04.01.2021,4618,4630,4696,4615,"10,72M",-0.002591792656587
30.12.2020,4601,4636,4646,4601,"5,87M",-0.007549611734254
29.12.2020,4617,4650,4654,4577,"6,55M",-0.007096774193548
28.12.2020,4630,4617,4650,4602,"5,72M",0.002815681178254
23.12.2020,4602,4518,4623,4493,"7,84M",0.01859229747676
22.12.2020,4491,4430,4498,4408,"6,59M",0.013769751693002
21.12.2020,4433,4478,4490,4376,"10,96M",-0.01004912907548
18.12.2020,4515,4542,4578,4512,"16,49M",-0.005944517833554
17.12.2020,4570,4545,4628,4525,"10,31M",0.005500550055006
16.12.2020,4559,4523,4578,4500,"8,19M",0.007959319036038
15.12.2020,4496,4553,4560,4496,"7,94M",-0.012519218097957
14.12.2020,4563,4530,4599,4481,"8,39M",0.007284768211921
11.12.2020,4518,4554,4567,4504,"8,64M",-0.007905138339921
10.12.2020,4567,4548,4612,4533,"8,48M",0.004177660510114
