Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,13380,13222,13412,13066,"11,37M",0.011949780668583
18.02.2021,13284,13176,13436,13154,"12,14M",0.008196721311475
17.02.2021,13210,13420,13492,13120,"10,35M",-0.01564828614009
16.02.2021,13500,13470,13538,13310,"7,97M",0.002227171492205
15.02.2021,13404,13380,13460,13308,"6,91M",0.001793721973094
12.02.2021,13266,13160,13308,13030,"7,40M",0.008054711246201
11.02.2021,13160,13338,13380,13152,"7,07M",-0.013345329134803
10.02.2021,13232,13550,13640,13130,"11,06M",-0.023468634686347
09.02.2021,13494,13600,13630,13410,"9,01M",-0.007794117647059
08.02.2021,13600,13506,13694,13416,"12,29M",0.006959869687546
05.02.2021,13364,13120,13460,13010,"16,67M",0.01859756097561
04.02.2021,13110,13068,13182,12932,"13,19M",0.003213957759412
03.02.2021,13014,13300,13384,12932,"16,53M",-0.021503759398496
02.02.2021,12990,12746,13066,12720,"15,44M",0.019143260630786
01.02.2021,12606,12750,12770,12440,"9,95M",-0.011294117647059
29.01.2021,12530,12474,12750,12310,"13,25M",0.004489337822671
28.01.2021,12718,12298,12718,11960,"19,60M",0.034151894617011
27.01.2021,12428,13000,13016,12340,"20,41M",-0.044
26.01.2021,12872,12600,12948,12566,"14,87M",0.021587301587302
25.01.2021,12624,13350,13456,12520,"20,22M",-0.05438202247191
22.01.2021,13240,13544,13566,13110,"21,95M",-0.022445363260484
21.01.2021,13646,14058,14126,13646,"18,59M",-0.02930715606772
20.01.2021,13948,14172,14180,13886,"20,50M",-0.015805814281682
19.01.2021,13874,13890,14250,13756,"33,20M",-0.001151907847372
18.01.2021,13522,12758,13636,12696,"23,73M",0.059883994356482
15.01.2021,12570,13108,13314,12570,"43,06M",-0.041043637473299
14.01.2021,13142,12898,13522,12870,"21,54M",0.01891766165297
13.01.2021,12772,12816,12863,12590,"14,29M",-0.003433208489388
12.01.2021,12826,12674,12875,12456,"12,08M",0.011993056651412
11.01.2021,12569,12634,12650,12366,"11,82M",-0.005144847237613
08.01.2021,12686,13005,13005,12578,"19,02M",-0.024529027297193
07.01.2021,12926,12812,13027,12707,"12,26M",0.008897908211052
06.01.2021,12699,13067,13122,12594,"14,63M",-0.028162546873804
05.01.2021,12971,13052,13192,12852,"16,00M",-0.006205945448973
04.01.2021,13006,13046,13274,12880,"18,88M",-0.003066073892381
30.12.2020,12814,12917,12952,12814,"5,93M",-0.007973987768058
29.12.2020,12838,13017,13032,12810,"9,52M",-0.013751248367519
28.12.2020,12924,12938,13067,12910,"7,39M",-0.001082083784202
23.12.2020,12842,12849,12957,12791,"8,30M",-0.00054478947778
22.12.2020,12760,12473,12803,12470,"9,39M",0.023009700954061
21.12.2020,12456,12356,12464,12185,"18,31M",0.008093234056329
18.12.2020,12699,12588,12734,12491,"13,36M",0.008817921830315
17.12.2020,12590,12671,12737,12510,"9,84M",-0.006392549917134
16.12.2020,12512,12403,12657,12384,"12,80M",0.008788196404096
15.12.2020,12347,12193,12373,12109,"9,55M",0.012630197654392
14.12.2020,12080,12106,12349,12071,"13,07M",-0.002147695357674
11.12.2020,11922,12066,12132,11866,"8,36M",-0.011934361014421
10.12.2020,12088,12150,12277,11935,"15,80M",-0.005102880658436
09.12.2020,12041,11779,12157,11777,"13,65M",0.022242974785636
08.12.2020,11718,11713,11826,11672,"5,14M",0.00042687612055
07.12.2020,11767,11854,11877,11665,"8,37M",-0.007339294752826
04.12.2020,11844,11550,11856,11536,"12,85M",0.025454545454546
03.12.2020,11564,11538,11616,11499,"7,94M",0.002253423470272
02.12.2020,11520,11582,11589,11400,"6,83M",-0.005353134173718
01.12.2020,11562,11529,11597,11443,"8,46M",0.002862347124642
30.11.2020,11421,11457,11609,11421,"9,05M",-0.003142183817753
27.11.2020,11561,11408,11625,11363,"7,83M",0.013411640953717
