Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,34620,34000,34760,34000,"1,88M",0.018235294117647
18.02.2021,33950,34790,35100,33820,"2,57M",-0.024144869215292
17.02.2021,34400,35120,35420,34300,"2,63M",-0.020501138952164
16.02.2021,35140,35700,35730,35140,"2,24M",-0.015686274509804
15.02.2021,35560,35650,35890,35280,"2,36M",-0.002524544179523
12.02.2021,35360,34880,35360,34680,"3,09M",0.013761467889908
11.02.2021,34870,33900,34870,33830,"3,33M",0.028613569321534
10.02.2021,33650,34600,34660,33620,"2,93M",-0.027456647398844
09.02.2021,34570,34510,34810,34280,"2,40M",0.001738626485077
08.02.2021,34300,34110,34440,33810,"4,20M",0.005570214013486
05.02.2021,33720,33650,34140,33240,"3,55M",0.002080237741456
04.02.2021,33630,33320,33930,33110,"2,93M",0.009303721488595
03.02.2021,33710,34400,34550,33680,"3,34M",-0.020058139534884
02.02.2021,33930,34150,34470,33830,"2,94M",-0.006442166910688
01.02.2021,33940,33620,33990,33370,"2,83M",0.009518143961927
29.01.2021,33270,33000,33670,32570,"3,77M",0.008181818181818
28.01.2021,33010,31170,33690,30170,"9,35M",0.059031119666346
27.01.2021,31680,32540,32610,31270,"3,94M",-0.026429010448679
26.01.2021,32700,32580,33210,32550,"2,37M",0.003683241252302
25.01.2021,32650,33150,33710,32350,"3,83M",-0.015082956259427
22.01.2021,32600,33160,33190,32270,"3,16M",-0.016887816646562
21.01.2021,33400,33650,33960,33150,"3,46M",-0.007429420505201
20.01.2021,33490,33020,33880,32960,"2,71M",0.014233797698365
19.01.2021,32750,33410,33500,32710,"2,38M",-0.019754564501646
18.01.2021,33100,32880,33410,32750,"1,54M",0.00669099756691
15.01.2021,32900,33300,33450,32550,"2,56M",-0.012012012012012
14.01.2021,33340,34060,34160,33340,"2,96M",-0.021139166177334
13.01.2021,33670,33620,33910,33290,"2,24M",0.001487209994051
12.01.2021,33630,33750,33910,33360,"2,63M",-0.003555555555556
11.01.2021,33340,32950,33710,32910,"2,99M",0.011836115326252
08.01.2021,33000,33800,34960,32870,"6,07M",-0.023668639053255
