"1,97%",Ultimo,Apertura,Massimo,Minimo,Vol.,Var.%
19.02.2021,0.3776,0.377,0.3804,0.3731,"83,83M",0.00159151193634
18.02.2021,0.375,0.3808,0.3823,0.3746,"78,96M",-0.015231092436975
17.02.2021,0.3807,0.3822,0.3857,0.3788,"60,54M",-0.00392464678179
16.02.2021,0.3841,0.39,0.3907,0.3835,"73,24M",-0.015128205128205
15.02.2021,0.3894,0.385,0.3908,0.3809,"99,87M",0.011428571428572
12.02.2021,0.3801,0.3792,0.3806,0.3755,"71,50M",0.002373417721519
11.02.2021,0.3799,0.3845,0.3877,0.3787,"90,41M",-0.011963589076723
10.02.2021,0.3845,0.3849,0.3869,0.3802,"102,56M",-0.001039230969083
09.02.2021,0.3842,0.387,0.3877,0.3829,"72,86M",-0.007235142118863
08.02.2021,0.386,0.3848,0.3919,0.3841,"139,64M",0.003118503118503
05.02.2021,0.3814,0.3702,0.383,0.3694,"156,41M",0.030253916801729
04.02.2021,0.3696,0.3679,0.37,0.3628,"93,13M",0.004620820875238
03.02.2021,0.3656,0.366,0.3712,0.3632,"140,13M",-0.001092896174863
02.02.2021,0.3557,0.3559,0.3565,0.352,"78,62M",-0.000561955605507
01.02.2021,0.3535,0.3558,0.3581,0.3526,"73,21M",-0.006464305789769
29.01.2021,0.3534,0.3577,0.3606,0.3534,"81,39M",-0.012021246854907
28.01.2021,0.362,0.3611,0.3645,0.3576,"78,09M",0.002492384381058
27.01.2021,0.3645,0.3664,0.3716,0.3613,"104,38M",-0.005185589519651
26.01.2021,0.3658,0.3562,0.367,0.356,"85,72M",0.026951151038742
25.01.2021,0.356,0.3601,0.3664,0.356,"125,15M",-0.01138572618717
22.01.2021,0.3577,0.3612,0.3617,0.3522,"111,86M",-0.00968992248062
21.01.2021,0.3626,0.3698,0.3717,0.3626,"93,24M",-0.019469983775014
20.01.2021,0.3669,0.3613,0.367,0.3613,"76,57M",0.015499584832549
19.01.2021,0.359,0.3676,0.3692,0.3577,"133,04M",-0.023394994559304
18.01.2021,0.3661,0.3729,0.3729,0.3626,"115,06M",-0.01823545186377
15.01.2021,0.373,0.3798,0.3812,0.3715,"79,74M",-0.017904160084255
14.01.2021,0.3789,0.3775,0.3828,0.3748,"91,21M",0.003708609271523
13.01.2021,0.376,0.3773,0.3813,0.3747,"114,15M",-0.003445534057779
12.01.2021,0.376,0.39,0.3915,0.3753,"169,13M",-0.035897435897436
11.01.2021,0.3878,0.3911,0.3945,0.387,"87,57M",-0.008437739708514
08.01.2021,0.3945,0.4,0.402,0.3915,"99,61M",-0.01375
07.01.2021,0.3977,0.4004,0.4018,0.3935,"97,94M",-0.006743256743257
06.01.2021,0.3987,0.3872,0.4009,0.3852,"155,52M",0.02970041322314
05.01.2021,0.3827,0.38,0.3862,0.3792,"64,99M",0.007105263157895
04.01.2021,0.3811,0.3792,0.3905,0.3755,"111,32M",0.005010548523207
30.12.2020,0.3774,0.3808,0.3826,0.376,"52,56M",-0.008928571428571
29.12.2020,0.3808,0.3842,0.385,0.3784,"54,01M",-0.008849557522124
28.12.2020,0.3823,0.385,0.3869,0.3817,"67,06M",-0.007012987012987
23.12.2020,0.3818,0.375,0.3818,0.3739,"59,02M",0.018133333333333
22.12.2020,0.3744,0.3666,0.3754,0.3654,"80,29M",0.021276595744681
21.12.2020,0.3652,0.3715,0.3728,0.3532,"140,58M",-0.016958277254374
18.12.2020,0.3794,0.378,0.3855,0.3761,"152,40M",0.003703703703704
17.12.2020,0.375,0.3876,0.3885,0.3715,"155,74M",-0.032507739938081
16.12.2020,0.387,0.3896,0.3909,0.3861,"91,10M",-0.006673511293634
15.12.2020,0.3863,0.3879,0.3886,0.3837,"70,43M",-0.004124774426399
14.12.2020,0.3851,0.3861,0.3924,0.3851,"89,58M",-0.002590002590003
11.12.2020,0.3831,0.3955,0.3976,0.3831,"123,78M",-0.031352718078382
10.12.2020,0.3988,0.3975,0.4012,0.3949,"84,29M",0.003270440251572
09.12.2020,0.3978,0.395,0.4035,0.3945,"125,45M",0.007088607594937
08.12.2020,0.3909,0.3919,0.3937,0.3862,"74,48M",-0.002551671344731
07.12.2020,0.3938,0.3975,0.3976,0.3912,"69,92M",-0.009308176100629
04.12.2020,0.3936,0.3829,0.3942,0.382,"90,48M",0.027944633063463
03.12.2020,0.3829,0.385,0.3883,0.3787,"99,65M",-0.005454545454545
02.12.2020,0.3857,0.39,0.3934,0.3781,"148,38M",-0.011025641025641
01.12.2020,0.3923,0.395,0.4011,0.3919,"119,59M",-0.006835443037975
30.11.2020,0.3925,0.3993,0.4006,0.3894,"195,70M",-0.017029802153769
