Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,7.24,7.14,7.27,7.09,"3,26M",0.014005602240897
18.02.2021,7.2,7.44,7.58,7.14,"5,16M",-0.032258064516129
17.02.2021,7.37,7.53,7.59,7.33,"4,14M",-0.02124833997344
16.02.2021,7.54,7.56,7.76,7.54,"6,80M",-0.002645502645503
15.02.2021,7.53,7.2,7.57,7.11,"6,47M",0.045833333333333
12.02.2021,7.11,7,7.12,6.96,"3,21M",0.015714285714286
11.02.2021,7.04,7.05,7.09,6.99,"3,14M",-0.001418439716312
10.02.2021,7.03,7.01,7.08,6.92,"3,69M",0.002853067047076
09.02.2021,6.95,7.09,7.15,6.93,"3,37M",-0.019746121297602
08.02.2021,7.07,6.9,7.12,6.9,"4,53M",0.02463768115942
05.02.2021,6.93,6.84,7.04,6.82,"5,80M",0.013157894736842
04.02.2021,6.79,6.71,6.83,6.71,"3,65M",0.011922503725783
03.02.2021,6.69,6.75,6.77,6.57,"5,27M",-0.008888888888889
02.02.2021,6.69,6.53,6.71,6.53,"5,23M",0.024502297090352
01.02.2021,6.42,6.46,6.53,6.39,"3,12M",-0.006191950464396
29.01.2021,6.43,6.42,6.55,6.4,"4,25M",0.001557632398754
28.01.2021,6.56,6.4,6.63,6.37,"7,52M",0.025
27.01.2021,6.37,6.25,6.39,6.16,"5,07M",0.0192
26.01.2021,6.26,6.1,6.37,6.07,"4,64M",0.026229508196721
25.01.2021,6.18,6.38,6.41,6.14,"5,33M",-0.031347962382445
22.01.2021,6.29,6.26,6.37,6.19,"8,61M",0.004792332268371
21.01.2021,6.52,6.76,6.78,6.45,"5,72M",-0.035502958579882
20.01.2021,6.73,6.79,6.87,6.71,"2,98M",-0.008836524300442
19.01.2021,6.75,6.88,6.93,6.68,"4,83M",-0.018895348837209
18.01.2021,6.83,6.73,6.9,6.68,"3,30M",0.014858841010401
15.01.2021,6.82,7.15,7.15,6.71,"6,96M",-0.046153846153846
14.01.2021,7.12,7.04,7.17,7.02,"4,27M",0.011363636363636
13.01.2021,7.05,7.16,7.2,7.05,"3,88M",-0.01536312849162
12.01.2021,7.15,7.04,7.22,6.98,"4,26M",0.015625
11.01.2021,6.95,7.04,7.07,6.87,"3,60M",-0.012784090909091
08.01.2021,7.08,7.2,7.26,7.02,"4,15M",-0.016666666666667
07.01.2021,7.12,7.23,7.25,7.08,"5,05M",-0.01521438450899
06.01.2021,7.13,6.82,7.2,6.77,"7,74M",0.045454545454545
05.01.2021,6.77,6.51,6.77,6.49,"5,05M",0.039938556067588
04.01.2021,6.54,6.65,6.72,6.47,"4,89M",-0.016541353383459
30.12.2020,6.62,6.59,6.66,6.56,"2,37M",0.004552352048558
29.12.2020,6.58,6.68,6.7,6.54,"2,58M",-0.01497005988024
28.12.2020,6.67,6.74,6.78,6.63,"2,26M",-0.010385756676558
23.12.2020,6.71,6.54,6.75,6.53,"3,73M",0.025993883792049
22.12.2020,6.53,6.53,6.6,6.51,"2,74M",0
21.12.2020,6.55,6.54,6.59,6.24,"7,91M",0.001529051987768
18.12.2020,6.73,6.79,6.89,6.73,"7,58M",-0.008836524300442
17.12.2020,6.83,6.85,6.89,6.73,"3,22M",-0.002919708029197
