Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,5934,5960,6000,5928,"4,76M",-0.004362416107383
18.02.2021,5980,6030,6060,5950,"5,75M",-0.008291873963516
17.02.2021,6042,6050,6064,6012,"5,15M",-0.001322314049587
16.02.2021,6052,6158,6184,6052,"5,03M",-0.017213380967847
15.02.2021,6158,6188,6210,6152,"3,82M",-0.004848093083387
12.02.2021,6170,6108,6170,6102,"3,28M",0.010150622134905
11.02.2021,6108,6116,6148,6070,"3,16M",-0.001308044473512
10.02.2021,6120,6152,6194,6090,"4,12M",-0.00520156046814
09.02.2021,6106,6216,6218,6082,"4,93M",-0.017696267696268
08.02.2021,6218,6242,6282,6182,"4,41M",-0.003844921499519
05.02.2021,6192,6278,6318,6192,"5,79M",-0.013698630136986
04.02.2021,6252,6180,6270,6136,"4,72M",0.011650485436893
03.02.2021,6174,6152,6324,6124,"9,95M",0.003576072821847
02.02.2021,6060,6068,6108,6022,"5,16M",-0.001318391562294
01.02.2021,6070,6020,6096,6012,"3,89M",0.008305647840532
29.01.2021,5994,6080,6116,5994,"7,34M",-0.014144736842105
28.01.2021,6134,6134,6176,6054,"6,61M",0
27.01.2021,6200,6142,6208,6114,"6,71M",0.009443178117877
26.01.2021,6138,6090,6138,6080,"4,30M",0.007881773399015
25.01.2021,6084,6040,6106,5986,"5,08M",0.007284768211921
22.01.2021,5984,6010,6028,5924,"5,50M",-0.00432612312812
21.01.2021,6024,6102,6132,5998,"5,16M",-0.012782694198623
20.01.2021,6094,6026,6094,6014,"3,92M",0.011284434118819
19.01.2021,6026,6090,6124,6014,"4,25M",-0.010509031198686
18.01.2021,6094,6044,6094,6014,"3,68M",0.008272667107876
15.01.2021,6092,6068,6092,6030,"5,62M",0.003955174686882
14.01.2021,6086,6136,6136,6052,"5,95M",-0.008148631029987
13.01.2021,6132,6070,6140,6028,"6,47M",0.010214168039539
12.01.2021,6076,6212,6212,6076,"5,79M",-0.021893110109466
11.01.2021,6212,6180,6248,6170,"4,06M",0.005177993527508
08.01.2021,6208,6276,6314,6182,"5,06M",-0.010834926704908
07.01.2021,6230,6280,6290,6230,"4,29M",-0.00796178343949
06.01.2021,6246,6170,6252,6132,"5,65M",0.012317666126418
05.01.2021,6160,6244,6246,6144,"4,73M",-0.013452914798206
04.01.2021,6232,6314,6328,6228,"4,52M",-0.012987012987013
30.12.2020,6250,6288,6298,6250,"3,18M",-0.006043256997455
29.12.2020,6278,6280,6292,6234,"2,67M",-0.00031847133758
28.12.2020,6276,6190,6276,6178,"3,14M",0.01389337641357
23.12.2020,6164,6156,6180,6142,"3,13M",0.001299545159194
22.12.2020,6122,6032,6148,6012,"3,51M",0.014920424403183
21.12.2020,5994,6064,6088,5950,"5,92M",-0.011543535620053
18.12.2020,6124,6194,6230,6110,"7,07M",-0.011301259283177
17.12.2020,6200,6126,6232,6102,"5,98M",0.012079660463598
16.12.2020,6126,6084,6168,6070,"4,54M",0.006903353057199
15.12.2020,6070,6080,6122,6070,"3,84M",-0.001644736842105
14.12.2020,6104,6082,6134,6052,"3,45M",0.003617231173956
11.12.2020,6078,6100,6138,6046,"4,59M",-0.003606557377049
10.12.2020,6108,6188,6198,6092,"4,78M",-0.012928248222366
09.12.2020,6106,6182,6208,6106,"4,99M",-0.012293756065998
08.12.2020,6144,6124,6164,6074,"4,51M",0.003265839320705
07.12.2020,6122,6070,6144,6044,"3,87M",0.008566721581549
04.12.2020,6094,6054,6104,6054,"4,80M",0.006607201850017
03.12.2020,6062,6180,6206,6048,"6,56M",-0.019093851132686
02.12.2020,6170,6240,6300,6154,"6,36M",-0.011217948717949
01.12.2020,6250,6330,6330,6250,"5,81M",-0.012638230647709
30.11.2020,6272,6322,6390,6254,"12,59M",-0.007908889591901
27.11.2020,6332,6226,6332,6226,"4,66M",0.017025377449406
26.11.2020,6216,6240,6262,6210,"3,55M",-0.003846153846154
25.11.2020,6212,6248,6290,6200,"6,41M",-0.005761843790013
24.11.2020,6254,6300,6310,6240,"5,96M",-0.007301587301587
23.11.2020,6230,6422,6446,6230,"10,18M",-0.029897228277795
20.11.2020,6482,6328,6482,6320,"6,54M",0.024336283185841
19.11.2020,6322,6330,6488,6314,"7,42M",-0.001263823064771
18.11.2020,6320,6282,6352,6270,"4,27M",0.006049028971665
17.11.2020,6282,6258,6334,6258,"4,59M",0.003835091083413
16.11.2020,6266,6350,6364,6250,"5,34M",-0.013228346456693
13.11.2020,6302,6340,6362,6302,"4,51M",-0.005993690851735
12.11.2020,6350,6314,6406,6304,"6,22M",0.005701615457713
11.11.2020,6336,6176,6364,6154,"6,96M",0.025906735751295
10.11.2020,6174,6268,6280,6050,"7,85M",-0.014996809189534
09.11.2020,6268,6146,6366,6126,"9,23M",0.019850309144159
06.11.2020,6098,6074,6116,6054,"2,82M",0.003951267698387
05.11.2020,6104,6060,6168,6036,"4,51M",0.007260726072607
04.11.2020,6058,5900,6070,5866,"5,62M",0.026779661016949
03.11.2020,5958,5830,5958,5824,"3,98M",0.021955403087479
02.11.2020,5822,5820,5848,5762,"4,52M",0.000343642611684
30.10.2020,5804,5712,5862,5712,"5,58M",0.016106442577031
29.10.2020,5768,5780,5836,5742,"4,89M",-0.002076124567474
28.10.2020,5786,5870,5920,5750,"7,35M",-0.014310051107325
27.10.2020,5942,5966,5966,5860,"3,87M",-0.004022795843111
26.10.2020,5944,5904,5980,5890,"2,73M",0.006775067750678
23.10.2020,5980,5864,5984,5864,"3,18M",0.019781718963165
22.10.2020,5910,5886,5952,5852,"3,50M",0.00407747196738
21.10.2020,5920,6064,6064,5898,"4,62M",-0.023746701846966
20.10.2020,6060,6012,6096,5996,"2,72M",0.007984031936128
19.10.2020,6002,6096,6142,5996,"2,24M",-0.015419947506562
16.10.2020,6068,6064,6082,6014,"3,60M",0.00065963060686
15.10.2020,6044,6140,6140,6010,"4,45M",-0.015635179153095
14.10.2020,6156,6162,6170,6104,"3,37M",-0.000973709834469
13.10.2020,6142,6120,6160,6068,"4,95M",0.00359477124183
12.10.2020,6104,6002,6104,5968,"3,78M",0.016994335221593
09.10.2020,5974,5976,6004,5912,"3,42M",-0.000334672021419
08.10.2020,5988,5940,5992,5916,"2,85M",0.008080808080808
07.10.2020,5912,5950,6006,5912,"3,46M",-0.006386554621849
06.10.2020,5954,6050,6056,5926,"3,89M",-0.015867768595041
05.10.2020,6028,6058,6070,5996,"2,15M",-0.004952129415649
02.10.2020,6030,5982,6032,5964,"3,11M",0.00802407221665
01.10.2020,6014,6014,6076,6006,"3,54M",0
30.09.2020,5974,6022,6046,5974,"4,49M",-0.007970773829293
29.09.2020,6034,6068,6102,6026,"3,21M",-0.00560316413975
28.09.2020,6062,6040,6074,6016,"3,54M",0.00364238410596
25.09.2020,6018,5912,6028,5912,"4,87M",0.017929634641407
24.09.2020,5928,5864,6024,5860,"4,64M",0.010914051841746
23.09.2020,5920,5888,5958,5888,"3,85M",0.005434782608696
22.09.2020,5862,5912,5954,5850,"4,93M",-0.008457374830853
21.09.2020,5876,5988,6022,5840,"5,68M",-0.018704074816299
18.09.2020,6022,5956,6092,5940,"8,10M",0.011081262592344
17.09.2020,5978,6010,6022,5972,"4,54M",-0.005324459234609
16.09.2020,6054,6070,6088,6010,"2,85M",-0.002635914332784
15.09.2020,6086,6024,6098,5992,"3,43M",0.010292164674635
14.09.2020,6020,6082,6084,5998,"2,93M",-0.010194015126603
11.09.2020,6036,6002,6064,6002,"2,29M",0.005664778407198
10.09.2020,6002,6010,6042,5964,"3,81M",-0.001331114808652
09.09.2020,6036,5974,6064,5950,"4,00M",0.010378305992635
08.09.2020,5944,6078,6090,5906,"3,96M",-0.022046725896677
07.09.2020,6056,5996,6080,5984,"3,73M",0.010006671114076
04.09.2020,5964,6064,6118,5946,"7,48M",-0.016490765171504
03.09.2020,6102,6240,6280,6068,"4,67M",-0.022115384615385
02.09.2020,6208,6084,6208,6058,"4,35M",0.020381328073636
01.09.2020,6036,6118,6162,6036,"3,72M",-0.01340307289964
31.08.2020,6058,6150,6184,6058,"4,40M",-0.014959349593496
28.08.2020,6100,6200,6204,6092,"3,68M",-0.016129032258065
27.08.2020,6166,6262,6288,6166,"2,96M",-0.015330565314596
26.08.2020,6276,6350,6404,6214,"5,41M",-0.011653543307087
25.08.2020,6372,6448,6506,6372,"3,10M",-0.011786600496278
24.08.2020,6438,6340,6482,6340,"4,68M",0.015457413249211
21.08.2020,6296,6266,6302,6204,"3,79M",0.004787743376955
20.08.2020,6260,6342,6342,6242,"3,15M",-0.012929675181331
19.08.2020,6354,6288,6360,6240,"2,69M",0.010496183206107
18.08.2020,6278,6310,6388,6270,"3,84M",-0.005071315372425
17.08.2020,6330,6300,6338,6236,"2,59M",0.004761904761905
14.08.2020,6306,6342,6414,6274,"3,54M",-0.005676442762535
13.08.2020,6390,6438,6464,6356,"4,04M",-0.007455731593663
12.08.2020,6486,6282,6486,6260,"4,59M",0.032473734479465
11.08.2020,6316,6210,6390,6192,"5,60M",0.0170692431562
10.08.2020,6190,6152,6194,6112,"2,40M",0.006176853055917
07.08.2020,6136,6134,6154,6080,"2,35M",0.00032605151614
06.08.2020,6120,6130,6198,6062,"3,68M",-0.00163132137031
05.08.2020,6150,6226,6274,6150,"3,70M",-0.012206874397687
04.08.2020,6224,6310,6316,6146,"5,23M",-0.013629160063392
03.08.2020,6280,6318,6346,6210,"4,82M",-0.006014561570117
31.07.2020,6306,6300,6462,6298,"5,36M",0.000952380952381
30.07.2020,6250,6400,6444,6228,"7,01M",-0.0234375
29.07.2020,6400,6400,6432,6346,"3,48M",0
28.07.2020,6398,6304,6398,6242,"3,56M",0.01491116751269
27.07.2020,6308,6286,6354,6258,"2,55M",0.003499840916322
24.07.2020,6296,6308,6378,6276,"4,14M",-0.001902346227013
23.07.2020,6342,6400,6400,6302,"3,08M",-0.0090625
22.07.2020,6394,6336,6398,6324,"2,96M",0.00915404040404
21.07.2020,6380,6448,6522,6354,"5,24M",-0.010545905707196
20.07.2020,6428,6386,6448,6314,"3,60M",0.006576886940182
17.07.2020,6386,6304,6394,6266,"5,12M",0.013007614213198
16.07.2020,6280,6188,6306,6186,"3,73M",0.014867485455721
15.07.2020,6248,6240,6278,6152,"4,79M",0.001282051282051
14.07.2020,6224,6170,6228,6104,"4,35M",0.008752025931929
13.07.2020,6208,6188,6230,6156,"4,52M",0.003232062055591
10.07.2020,6124,6130,6176,6086,"4,65M",-0.000978792822186
09.07.2020,6156,6302,6306,6156,"5,83M",-0.023167248492542
