Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var.%
19.02.2021,8.346,8.141,8.365,8.074,"25,36M",0.025181181673013
18.02.2021,8.137,8.292,8.38,8.106,"23,44M",-0.018692715870719
17.02.2021,8.3,8.44,8.575,8.255,"26,06M",-0.016587677725118
16.02.2021,8.467,8.523,8.569,8.389,"15,19M",-0.006570456412061
15.02.2021,8.488,8.52,8.571,8.438,"20,32M",-0.003755868544601
12.02.2021,8.396,8.468,8.474,8.244,"23,09M",-0.00850259801606
11.02.2021,8.433,8.621,8.747,8.409,"33,86M",-0.021807214940262
10.02.2021,8.708,8.718,8.808,8.642,"22,62M",-0.001147052076164
09.02.2021,8.637,8.748,8.76,8.582,"21,23M",-0.012688614540466
08.02.2021,8.683,8.638,8.866,8.621,"36,39M",0.005209539245196
05.02.2021,8.459,8.3,8.643,8.273,"41,03M",0.019156626506024
04.02.2021,8.279,8.085,8.347,7.982,"33,53M",0.023995052566481
03.02.2021,8.068,8.27,8.275,8.047,"44,59M",-0.024425634824668
02.02.2021,7.744,7.743,7.787,7.671,"19,44M",0.000129148908692
01.02.2021,7.668,7.677,7.756,7.567,"15,48M",-0.001172332942556
29.01.2021,7.557,7.571,7.654,7.485,"18,51M",-0.00184916127328
28.01.2021,7.727,7.639,7.776,7.526,"20,74M",0.011519832438801
27.01.2021,7.69,7.78,7.909,7.548,"23,72M",-0.011568123393316
26.01.2021,7.75,7.407,7.832,7.375,"30,97M",0.04630754691508
25.01.2021,7.42,7.799,7.823,7.408,"24,44M",-0.048595973842801
22.01.2021,7.749,7.9,7.91,7.711,"20,75M",-0.019113924050633
21.01.2021,8.005,8.16,8.174,7.992,"24,72M",-0.018995098039216
20.01.2021,8.109,7.891,8.111,7.872,"27,36M",0.027626409833988
19.01.2021,7.783,7.806,7.905,7.777,"16,55M",-0.002946451447604
18.01.2021,7.771,7.68,7.806,7.621,"13,13M",0.011848958333333
15.01.2021,7.701,7.801,7.896,7.629,"24,35M",-0.012818869375721
14.01.2021,7.844,7.955,8.035,7.829,"18,74M",-0.013953488372093
13.01.2021,7.956,8,8.076,7.903,"14,78M",-0.0055
12.01.2021,8.027,8.063,8.089,7.945,"15,00M",-0.004464839389805
11.01.2021,8.036,8.14,8.22,7.954,"19,51M",-0.012776412776413
08.01.2021,8.178,8.1,8.34,8.042,"32,14M",0.00962962962963
07.01.2021,8.032,8.021,8.077,7.845,"27,88M",0.001371400074804
06.01.2021,7.957,7.6,8.08,7.576,"43,47M",0.046973684210526
05.01.2021,7.5,7.5,7.627,7.416,"18,04M",0
04.01.2021,7.583,7.666,7.675,7.472,"18,50M",-0.010827028437256
30.12.2020,7.648,7.705,7.739,7.648,"8,33M",-0.007397793640493
29.12.2020,7.696,7.742,7.75,7.645,"8,18M",-0.00594161715319
28.12.2020,7.699,7.775,7.837,7.694,"11,89M",-0.009774919614148
23.12.2020,7.692,7.553,7.716,7.457,"17,18M",0.018403283463525
22.12.2020,7.524,7.46,7.55,7.44,"13,20M",0.00857908847185
21.12.2020,7.419,7.547,7.574,7.301,"34,52M",-0.016960381608586
18.12.2020,7.721,7.733,7.869,7.69,"33,42M",-0.001551791025475
17.12.2020,7.786,7.838,7.925,7.786,"22,23M",-0.0066343454963
16.12.2020,7.801,7.89,7.939,7.688,"23,51M",-0.01128010139417
15.12.2020,7.89,7.65,7.89,7.604,"17,86M",0.031372549019608
14.12.2020,7.694,7.934,7.935,7.694,"19,85M",-0.0302495588606
11.12.2020,7.824,7.91,7.922,7.73,"21,86M",-0.010872313527181
10.12.2020,7.9,8.05,8.112,7.883,"21,51M",-0.018633540372671
09.12.2020,8.029,8.086,8.19,8.003,"25,52M",-0.007049220875587
08.12.2020,7.92,7.998,8.027,7.884,"22,81M",-0.009752438109527
07.12.2020,8.034,8.12,8.185,7.989,"24,45M",-0.010591133004926
04.12.2020,8.13,8.021,8.159,7.957,"37,93M",0.013589328013963
03.12.2020,8.022,8.001,8.106,7.961,"32,62M",0.002624671916011
02.12.2020,7.983,7.959,8.027,7.78,"48,80M",0.003015454202789
01.12.2020,7.95,8,8.26,7.812,"97,31M",-0.00625
30.11.2020,8.643,8.8,8.898,8.641,"33,83M",-0.017840909090909
27.11.2020,9.094,9,9.163,8.981,"14,95M",0.010444444444444
26.11.2020,9.07,9.304,9.317,9.047,"18,33M",-0.025150472914875
25.11.2020,9.299,9.366,9.426,8.978,"30,13M",-0.007153534059364
24.11.2020,9.2,8.9,9.2,8.889,"30,53M",0.033707865168539
23.11.2020,8.757,8.6,8.842,8.55,"24,65M",0.018255813953488
20.11.2020,8.47,8.4,8.566,8.373,"15,29M",0.008333333333333
19.11.2020,8.401,8.402,8.482,8.363,"17,46M",-0.000119019281123
18.11.2020,8.505,8.38,8.538,8.333,"22,59M",0.01491646778043
17.11.2020,8.43,8.341,8.456,8.198,"21,43M",0.010670183431243
16.11.2020,8.295,8.318,8.499,8.185,"29,83M",-0.002765087761481
13.11.2020,8.112,7.91,8.175,7.878,"22,24M",0.025537294563843
12.11.2020,7.988,7.912,8.07,7.82,"21,05M",0.009605662285137
11.11.2020,8.098,8.191,8.252,7.949,"23,10M",-0.011353925039678
10.11.2020,8.14,7.855,8.207,7.751,"46,95M",0.036282622533418
09.11.2020,7.74,6.9,7.83,6.885,"58,98M",0.121739130434783
06.11.2020,6.806,6.928,7.076,6.77,"24,05M",-0.017609699769053
05.11.2020,7.022,7.15,7.15,6.924,"20,16M",-0.017902097902098
04.11.2020,7.01,6.68,7.013,6.65,"24,22M",0.049401197604791
03.11.2020,6.864,6.69,6.908,6.63,"22,03M",0.026008968609865
02.11.2020,6.606,6.448,6.606,6.364,"19,02M",0.024503722084367
30.10.2020,6.401,6.181,6.422,6.161,"19,47M",0.035592946125223
29.10.2020,6.262,6.38,6.432,6.089,"22,18M",-0.018495297805643
28.10.2020,6.318,6.445,6.483,6.22,"27,06M",-0.019705197827774
27.10.2020,6.58,6.907,6.925,6.568,"21,55M",-0.047343274938468
26.10.2020,6.85,6.75,6.963,6.712,"19,67M",0.014814814814815
23.10.2020,6.947,6.855,7.066,6.831,"15,66M",0.013420860685631
22.10.2020,6.815,6.72,6.836,6.643,"11,96M",0.014136904761905
21.10.2020,6.79,7.09,7.127,6.79,"16,44M",-0.042313117066291
20.10.2020,7.056,6.843,7.137,6.82,"14,48M",0.031126698816309
19.10.2020,6.896,6.899,7.046,6.814,"13,71M",-0.000434845629801
16.10.2020,6.866,6.876,6.918,6.641,"20,55M",-0.001454333915067
15.10.2020,6.822,6.936,6.936,6.744,"20,02M",-0.01643598615917
14.10.2020,7.053,7.079,7.2,6.991,"13,37M",-0.003672835146207
13.10.2020,7.077,7.344,7.344,7.037,"18,70M",-0.036356209150327
12.10.2020,7.346,7.438,7.468,7.315,"11,58M",-0.01236891637537
09.10.2020,7.418,7.545,7.585,7.377,"13,28M",-0.016832339297548
08.10.2020,7.545,7.436,7.598,7.366,"15,32M",0.014658418504572
07.10.2020,7.367,7.412,7.48,7.326,"12,39M",-0.006071235833783
06.10.2020,7.45,7.09,7.467,7.058,"21,86M",0.050775740479549
05.10.2020,7.062,7.045,7.119,6.98,"14,62M",0.002413058907026
02.10.2020,6.949,6.84,7.076,6.808,"14,53M",0.01593567251462
01.10.2020,6.958,7.143,7.177,6.933,"12,57M",-0.02589948201036
30.09.2020,7.045,6.95,7.14,6.93,"13,74M",0.013669064748201
29.09.2020,7.023,7.06,7.176,7.011,"14,51M",-0.005240793201133
28.09.2020,7.107,6.9,7.107,6.892,"17,75M",0.03
25.09.2020,6.74,6.961,7.03,6.734,"17,81M",-0.031748312024135
