Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
19.02.2021,4238,4198,4284,4186,"2,72M",0.009528346831825
18.02.2021,4190,4298,4298,4182,"2,80M",-0.025127966496045
17.02.2021,4278,4386,4408,4266,"4,82M",-0.024623803009576
16.02.2021,4400,4444,4450,4384,"2,72M",-0.00990099009901
15.02.2021,4444,4500,4500,4414,"3,01M",-0.012444444444445
12.02.2021,4418,4442,4514,4368,"5,74M",-0.005402971634399
11.02.2021,4432,4490,4500,4392,"4,12M",-0.012917594654789
10.02.2021,4480,4390,4488,4368,"5,02M",0.020501138952164
09.02.2021,4370,4410,4410,4314,"3,76M",-0.009070294784581
08.02.2021,4408,4198,4416,4188,"7,24M",0.05002382086708
05.02.2021,4148,4058,4166,4020,"6,16M",0.022178413011336
04.02.2021,4034,3960,4060,3934,"4,30M",0.018686868686869
03.02.2021,3948,3890,4070,3878,"6,81M",0.014910025706941
02.02.2021,3756,3750,3790,3730,"2,08M",0.0016
01.02.2021,3722,3658,3730,3646,"2,55M",0.017495899398579
29.01.2021,3624,3678,3700,3620,"3,30M",-0.01468189233279
28.01.2021,3720,3702,3732,3668,"2,72M",0.004862236628849
27.01.2021,3718,3850,3868,3714,"3,31M",-0.034285714285714
26.01.2021,3864,3788,3876,3770,"1,65M",0.020063357972545
25.01.2021,3774,3806,3854,3766,"2,29M",-0.008407777193904
22.01.2021,3770,3840,3840,3738,"2,41M",-0.018229166666667
21.01.2021,3840,3952,3964,3840,"2,09M",-0.02834008097166
20.01.2021,3934,3882,3960,3882,"1,91M",0.013395157135497
19.01.2021,3866,3914,3938,3864,"1,52M",-0.01226366888094
18.01.2021,3898,3904,3910,3854,"1,49M",-0.001536885245902
15.01.2021,3906,4012,4012,3876,"2,90M",-0.02642073778664
14.01.2021,4000,4080,4096,4000,"2,20M",-0.019607843137255
13.01.2021,4058,4068,4124,4010,"3,51M",-0.002458210422812
12.01.2021,4062,4120,4148,4048,"1,89M",-0.014077669902913
11.01.2021,4100,4042,4100,4024,"2,30M",0.014349332013855
08.01.2021,4024,4040,4106,4004,"3,12M",-0.003960396039604
07.01.2021,4026,4012,4044,3988,"3,51M",0.003489531405783
06.01.2021,3986,3918,3992,3858,"2,57M",0.017355793772333
05.01.2021,3880,3886,3924,3854,"2,10M",-0.001544004117344
04.01.2021,3890,3934,3970,3872,"3,08M",-0.011184544992374
30.12.2020,3910,3912,3924,3880,"1,40M",-0.000511247443763
29.12.2020,3904,3956,3956,3896,"1,20M",-0.01314459049545
28.12.2020,3930,3922,3948,3902,"1,55M",0.002039775624681
23.12.2020,3878,3890,3928,3854,"2,24M",-0.003084832904884
22.12.2020,3876,3880,3898,3844,"1,57M",-0.001030927835052
21.12.2020,3840,3892,3898,3768,"3,12M",-0.013360739979445
18.12.2020,3968,3912,3996,3880,"3,39M",0.014314928425358
17.12.2020,3938,3910,3962,3900,"2,46M",0.007161125319693
16.12.2020,3884,3820,3920,3820,"2,18M",0.016753926701571
15.12.2020,3818,3804,3824,3770,"1,49M",0.003680336487907
14.12.2020,3810,3858,3890,3804,"1,95M",-0.01244167962675
11.12.2020,3808,3898,3908,3802,"2,71M",-0.023088763468445
10.12.2020,3906,3934,3970,3856,"3,26M",-0.00711743772242
09.12.2020,3916,3962,3996,3904,"3,77M",-0.011610297829379
08.12.2020,3896,3892,3922,3860,"2,16M",0.001027749229188
07.12.2020,3914,3936,3940,3880,"1,98M",-0.005589430894309
04.12.2020,3924,3946,3988,3918,"2,76M",-0.005575266092245
03.12.2020,3954,3972,3988,3950,"1,90M",-0.004531722054381
02.12.2020,3968,4098,4098,3924,"4,07M",-0.031722791605661
01.12.2020,4094,4048,4106,4030,"2,15M",0.011363636363636
30.11.2020,4020,4116,4116,4020,"2,88M",-0.02332361516035
27.11.2020,4124,4090,4138,4040,"2,24M",0.008312958435208
26.11.2020,4102,4200,4220,4084,"2,22M",-0.023333333333333
25.11.2020,4182,4142,4222,4124,"4,48M",0.009657170449058
24.11.2020,4132,4048,4134,4026,"4,49M",0.020750988142293
23.11.2020,3992,4060,4132,3970,"5,48M",-0.016748768472906
20.11.2020,4002,3860,4052,3826,"7,58M",0.036787564766839
19.11.2020,3856,3856,3914,3844,"3,21M",0
18.11.2020,3896,3820,3918,3784,"3,65M",0.019895287958115
17.11.2020,3820,3708,3848,3682,"6,65M",0.030204962243797
16.11.2020,3668,3654,3718,3614,"5,21M",0.003831417624521
13.11.2020,3606,3610,3690,3600,"4,51M",-0.001108033240997
12.11.2020,3596,3558,3614,3534,"2,64M",0.010680157391793
11.11.2020,3558,3582,3604,3536,"3,90M",-0.006700167504188
10.11.2020,3550,3620,3648,3502,"4,67M",-0.019337016574586
09.11.2020,3608,3438,3630,3422,"4,89M",0.049447353112275
06.11.2020,3370,3504,3528,3366,"2,20M",-0.03824200913242
05.11.2020,3494,3448,3502,3400,"2,16M",0.013341067285383
04.11.2020,3412,3266,3422,3228,"2,30M",0.04470300061237
03.11.2020,3336,3260,3336,3246,"1,79M",0.023312883435583
02.11.2020,3240,3156,3242,3100,"2,10M",0.026615969581749
30.10.2020,3128,3096,3148,3056,"2,08M",0.010335917312662
29.10.2020,3140,3168,3204,3054,"2,69M",-0.008838383838384
28.10.2020,3172,3270,3284,3154,"3,26M",-0.029969418960245
27.10.2020,3338,3386,3424,3338,"2,14M",-0.014176018901359
26.10.2020,3376,3364,3418,3350,"2,54M",0.003567181926278
23.10.2020,3416,3500,3524,3406,"2,39M",-0.024
22.10.2020,3498,3552,3552,3444,"1,75M",-0.015202702702703
21.10.2020,3556,3538,3618,3502,"3,16M",0.005087620124364
20.10.2020,3514,3462,3558,3450,"1,60M",0.015020219526285
19.10.2020,3502,3522,3562,3474,"982,37K",-0.005678591709256
16.10.2020,3522,3480,3538,3440,"1,77M",0.012068965517241
15.10.2020,3460,3564,3564,3440,"2,09M",-0.029180695847363
14.10.2020,3606,3610,3648,3574,"1,19M",-0.001108033240997
13.10.2020,3600,3672,3676,3600,"1,33M",-0.019607843137255
12.10.2020,3678,3722,3730,3666,"2,30M",-0.011821601289629
09.10.2020,3702,3740,3748,3692,"954,04K",-0.010160427807487
08.10.2020,3740,3718,3748,3696,"1,37M",0.005917159763314
07.10.2020,3692,3750,3806,3692,"1,46M",-0.015466666666667
06.10.2020,3772,3740,3804,3728,"1,53M",0.00855614973262
05.10.2020,3744,3716,3758,3700,"987,11K",0.007534983853606
02.10.2020,3674,3696,3736,3654,"1,96M",-0.005952380952381
